MonkMan,True,2019-06-05 15:56:00,265.675,AVGO ok lets margin 100 shares and sell a covered call at 190
daviddaubner,,2019-06-05 15:45:00,265.735,NASDAQ 100 stocks with best Dividend Rate AVGO AMGN LRCX WYNN PEP source finscreener
daviddaubner,,2019-06-05 15:45:00,265.735,NASDAQ 100 stocks with highest Dividend Yield KHC WDC AVGO GILD WYNN source finscreener
EstimizeAlerts,,2019-06-05 15:39:00,265.195,AVGOs Gross Margins is a key growth metric for their next report on 0613 AMC Will they beat last quarters 714 Gross Marginsestimizecomintroavgocha
lk12,,2019-06-05 15:16:00,264.999,SWKS NVDA AVGO MU Skyworks cuts outlook Reflects Impact of US Department of Commerce Actions Against Huawei financeyahoocomnewsskyw The outlook provided during Skyworks second fiscal quarter 2019 earnings conference call on May 2 2019 did not anticipate the addition of Huawei to the Entity List and the cessation of shipments to Huawei and its affiliates As a result the company is revising its outlook for revenue and nonGAAP EPS for the third fiscal quarter of 2019 assuming no further shipments to Huawei occur this quarter The company now expects Revenue between 755 million and 775 million compared to the prior outlook of between 815 million and 835 million NonGAAP diluted earnings per share of 134 at the midpoint of the revenue range compared to the prior outlook of 150
ChartMill,,2019-06-05 14:17:00,265.165,AVGO has a Return On Equity of 2799 This is amongst the best returns in the industry chartmillcomanalyzephpu
Composer790,,2019-06-05 14:07:00,265.44,AVGO I guess its not a fan of 266 today Vwap
EstimizeAlerts,,2019-06-05 14:03:00,265.12,AVGO reported 714 Gross Margins last quarter Next report is on 0613 AMC Jury is still out on expectations Whats yoursestimizecomintroavgocha
EstimizeAlerts,,2019-06-05 12:24:00,266.08,AVGOs Gross Margins is a key growth metric for their next report on 0613 AMC Will they beat last quarters 714 Gross Marginsestimizecomintroavgocha
savvytrader,,2019-06-05 12:22:00,265.913,AVGO relative Strength power move with market support yesterday holding on to gains today vs relative Weakness BABA BIDU decent bounces yesterday giving up most gains Today
chuiwaucr,,2019-06-05 11:46:00,266.007,AVGO The daily candle is good consolidation candle today will have the preER run At least to fill the gap 290 OVERSOLD
lk12,,2019-06-05 11:13:00,264.37,AMZN AAPL AVGO NVDA lot of the Chinese ADRs BABA BIDU NTES are down quite a bit imo indication that trade war with china is gonna get a lot worse
lk12,,2019-06-05 10:46:00,263.006,AMZN AAPL AVGO NVDA LRCX Trump Is Said to Have Overruled Kushner and Other Aides in Threatening Mexico With Tariffs nytimescom20190601usp
EstimizeAlerts,,2019-06-05 10:45:00,263.083,AVGO reported 714 Gross Margins last quarter Next report is on 0613 AMC Jury is still out on expectations Whats yoursestimizecomintroavgocha
lk12,,2019-06-05 10:23:00,264.92,AMZN GOOG AAPL AVGO NVDA whomever has google shortputs is making bank right now fang is down esp goog quite a bit prolly on the antitrust probes and judiciary committee probes
lk12,,2019-06-05 10:15:00,265.276,AMZN AAPL AVGO LRCX NVDA imo mexico talks today are not gonna go anywhere so once we get that news and mexico tariffs are gonna go ahead as scheduled on monday market will take a big leg down imo imo dont think fed is gonna do rate cuts anytime soon big boys are pumping the markets on rate cut hopes so that they can bail at higher prices
Piranic,,2019-06-05 09:57:00,263.998,AVGO Amazing Back to 220 thanks to the DONALD
lk12,,2019-06-05 09:51:00,264.212,NVDA AVGO LRCX AAPL AMZN Global semiconductor market to shrink 12 in 2019 trade group Outlook downgraded as USChina trade war eats into demand asianikkeicomBusinessBu The global market for semiconductors will contract 121 to 412 billion this year an industry group forecast Tuesday amid growing economic uncertainties from such factors as the USChina trade war The 2019 downgrade was blamed on shifts in world affairs including the trade war Brexit and weak smartphone demand US data center operators that had bought large amounts of chips through 2018 began reducing their stockpiles Monthly figures for the semiconductor market represented as a threemonth moving average of sales have declined from yearearlier levels since January Demand has plunged for memory chips used in data centers smartphones and elsewhere Memory sales which account for roughly 30 of the semiconductor market are seen tumbling 306 to 1095 billion in 2019Show More
