somecash,True,2019-06-05 15:58:00,3.602,TEUM nothing has changed here amateurs No reason to sell This is how the rich get richer
mikerohansr,,2019-06-05 15:58:00,3.602,TEUM with a 1 BILLION dollar backlog one would expect moreif it was true
ClayTrader25,,2019-06-05 15:58:00,3.602,VIDEO Pareteum Corporation TEUM Stock Chart Technical Analysis 06052019 watch here claytradercomstockchart
pleasing,,2019-06-05 15:57:00,3.602,TEUM
jbalboni,,2019-06-05 15:57:00,3.602,TEUM 350 is like ibuprofen temporary relief for pain
betbetsgold,True,2019-06-05 15:56:00,3.605,TEUM they all seem to follow the same pattern dont they Either they first tip toe in and then unravel and reveal their true self and intentions or they switch alias and continue their relentless posts banging on the drums of inner self insecurity My my Im sure thankful for the gift of discernment
mikerohansr,,2019-06-05 15:56:00,3.605,TEUM rocket ships loading boats moon shotsall signs of a scam
jbalboni,,2019-06-05 15:56:00,3.605,TEUM Somewhere today there is a composer writing Requium of Pareteum
WillFair2,,2019-06-05 15:56:00,3.605,TEUM holy cow Its doing why its always done Like a clock
PatDadBack,True,2019-06-05 15:55:00,3.605,TEUM Teums fundamentals have never been stronger Teums fundamentals have never been stronger Teums fundamentals have never been stronger Teums fundamentals have never been stronger
mikerohansr,,2019-06-05 15:55:00,3.605,TEUM Release the Kracken lmaothere is your sign
frankjohnson123,,2019-06-05 15:55:00,3.605,TEUM not down 10 Small victories
Amsterdam_Trader,,2019-06-05 15:53:00,3.605,TEUM WHERE IS HAL
pranavid,True,2019-06-05 15:52:00,3.602,TEUM Ah So much pain Down by 25 on holding TEUM please dont disappoint
BabyBullish,,2019-06-05 15:52:00,3.602,TEUM TurboTime Hey will you ask Antoine how hes doing Been worried about the man since 495
USOB,True,2019-06-05 15:52:00,3.602,TEUM Going into a quiet period from here on in I will not watch anymore Looking forward to August Fuxk the shorts I only get so much Xanax per month Signing off until next ER
TurdHal,False,2019-06-05 15:52:00,3.602,TEUM You simply cant do as a Chairman and CEO by tweeting out a Release The Kraken tweet and not following up with substance 2 10 losses in 6 days are pathetic Hal should have just stayed quiet This drop bothers me not because I lose money but because Hal lets big boys making money on the little people backs by pumping it up and stays quiet Just my 2 cents
ScuredTrader,,2019-06-05 15:52:00,3.602,TEUM SOS
jbalboni,,2019-06-05 15:51:00,3.603,TEUM The other half keep insisting TEUMs making money hand over fist with new deals and connections and its a good thing too otherwise they would have had to borrow more than 25MM to pay the bills
PatDadBack,True,2019-06-05 15:49:00,3.605,TEUM loading the freaking boat right now
TheMountainThatRidez,,2019-06-05 15:48:00,3.605,TEUM is it Friday yet
