Gametapes808,True,2019-06-05 15:59:00,4.843,PRPO fire sale
BiotechJunkie,True,2019-06-05 15:58:00,4.844,PRPO At level seen before RS It wont matter how many news come out until tutes interest start loading Market is too unpredictable but PRPO s time is at the corner
Scotty_P,True,2019-06-05 15:57:00,4.844,PRPO lets not forget one month ago
Omata,,2019-06-05 15:57:00,4.844,PRPO only thing that I feel will get this off the ground is live application of the tech Thats not going to be soon
QueenofSpades,,2019-06-05 15:57:00,4.844,PRPO every damn stock I see and my port is red I however will keep on buying
FuFu_Trader,,2019-06-05 15:55:00,4.84,PRPO The stocks performance is to blame 1080 to 5 on a good company which discourages investors Prpo has tried to break out and failed many times Need to trade side ways before we can see some real action Also either need a squeeze or covering since short have been adding up since 10 to 5 Great news but the market and stock performance is holding it down Bullish long but I see this trading side ways or may drop a little more Again just my thoughts I could be wrong
Catchabreak,True,2019-06-05 15:51:00,4.865,PRPO I just cant understandHow such good manufacturing news would let this Stock go down Can someone please enlighten me
mrinvestorpro,,2019-06-05 15:50:00,4.9,PRPO adding more while its under 5 into the close I like this one somethings up Smells like news
NinjaBob,True,2019-06-05 15:49:00,4.9,PRPO trying to Turn watching Daily EMA100479
Spuddyy,,2019-06-05 15:49:00,4.9,PRPO TITIESSSSSSSSSSSS Dont worry guys if this ever hits 10 Ill rent out an open bar in NYC all bulls are welcomed bears will be pinned against the wall with darts lolol
Drey5k,True,2019-06-05 15:37:00,4.869,PRPO shit I need my other stocks to move so that I can move more money in here at these prices its a sale all over again
grackhorse,True,2019-06-05 15:35:00,4.837,PRPO This is about to take off
MikeMolten,,2019-06-05 15:34:00,4.88,PRPO
cheewhoo,True,2019-06-05 15:33:00,4.88,PRPO in Yodas voice oooommm yes the force is strong with this oneNever give in to the dark sideLOL
MikeMolten,,2019-06-05 15:32:00,4.88,PRPO Im bullish because of Robert112 Soon hell probably be Robert113
Robert112,False,2019-06-05 15:31:00,4.88,PRPO S C A M Mark it
rotoking20,True,2019-06-05 15:31:00,4.88,PRPO Oh leave them bears alone they are just having some fun When red exists they roar like lions When green comes out they crawl up like cubs and hibernate Cant wait to tell you how right they are when its red but never hear how wrong they are when its green They act like those days dont exist This is what bears do
bassrat,,2019-06-05 15:28:00,4.888,PRPO blood in the street
Littledogz,True,2019-06-05 15:26:00,4.888,PRPO Soon time for Robert112 to exit
Robert112,False,2019-06-05 15:24:00,4.888,PRPO As I said scam Fooling investors CEO should be behind bars
Permabull99,True,2019-06-05 15:22:00,4.84,PRPO why Im bullish
cheewhoo,True,2019-06-05 15:22:00,4.84,PRPO Kind of trueLOLGL to the positive here
Robert112,False,2019-06-05 15:22:00,4.84,PRPO With current cash burn might file BK
Robert112,False,2019-06-05 15:20:00,4.84,PRPO The company is a scam
Chemocles2,True,2019-06-05 15:19:00,4.869,PRPO I hope they phucking RS again 201 Doesnt change the value of the company in my eyes but it would be nice to burn a few shorts into the effing dirt
Shinshady,True,2019-06-05 15:18:00,4.845,PRPO can PHAH get us back above 5
StockInvestorBrad,,2019-06-05 15:16:00,4.858,PRPO I couldnt help but buy 25k shares of wkhs Bought my final shares of PRPO todayim just fully loaded on that Sold SNAP today after a monster run Things are looking very good folks GLTA
rotoking20,True,2019-06-05 15:09:00,4.919,PRPO PRPO had a very bullish chart for weeks up until that 115 reverse split was announced Yes it split to 480 a share and soared to over 10 However no big news accompanied that move up to sustain it Thus as we waited for that news the momentum changed The chart did indeed become bearish However just as no news substantiated that big move up We dont have any news causing this move down its not substantiated for this price levelSure people can point to this or that to try and find a basis for this downward chart However where is the big news or PR that clearly substantiates this I dont see it anywhere and Iv been lookingDo your due diligence and decide for yourselves
Slugzbunny,True,2019-06-05 15:07:00,4.89,PRPO Reversing
peakr,,2019-06-05 15:05:00,4.906,PRPO god bless people who are still bullish Im only still holding because Im down so much I might as well risk losing it all
Shinshady,True,2019-06-05 15:04:00,4.906,PRPO being patient Enjoying WKHS in the mean time
esztherhaine,True,2019-06-05 15:04:00,4.906,PRPO whos even selling at these prices lol
Chemocles2,True,2019-06-05 15:03:00,4.862,PRPO looks like a cup and handle forming on the Big Dipper of Pain
Robert112,False,2019-06-05 15:02:00,4.893,PRPO This pig will go under 2
Boiler_Room_2_RIP,False,2019-06-05 14:59:00,4.833,PRPO LOL how are people calling this chart bullish are you guys that bad at trading look at the 1 month chart here this is on a decline and heading down to 3s soon
Turned_up2_11,True,2019-06-05 14:54:00,4.831,PRPO watching EARS hoping PRPO gets jealous
Spuddyy,,2019-06-05 14:52:00,4.831,PRPO Can someone wake me back up at 8 so I can take a 15k loss lmaooo
Scotty_P,True,2019-06-05 14:51:00,4.831,PRPO Spuddyy Hope so we could use like 3 consecutive days of new contract PRs to get back to 8 I really liked looking at this when it was 8
Littledogz,True,2019-06-05 14:50:00,4.831,PRPO
Spuddyy,,2019-06-05 14:47:00,4.85,PRPO Im watching those bids idk why but I can see Ian dropping news tomorrow n Friday
giovanni2,True,2019-06-05 14:47:00,4.85,PRPO thanks Im buying at prices I never thought keep in mind what might be worth comparing the capitalization of Guardant health
