RagnarBullbrok,,2019-02-11 15:59:00,16.36,CARA not bad
jobe,,2019-02-11 15:40:00,16.213,CARA next pop next week options expiration friday
thetrdr1,True,2019-02-11 15:29:00,16.247,CARA Holding up well today Weak hands mostly sold Glad I bought back this one today Good luck
Ceeport_Global,True,2019-02-11 14:48:00,16.161,CARA Careful with possible 2nd Government shutdown on Fridayour sources say 5050 Also Friday is Options Expiration so lots of volatility
Ceeport_Global,True,2019-02-11 14:44:00,16.186,CARA Can make money holding a long CORE position and scalping some shares Just have to stay on long side and not shorttoo dangerous
shortvolumes,,2019-02-11 14:43:00,16.17,20190208 Short sale volume not short interest for CARA is 52 httpshortvolumescomtCARA via shortvolumes
Ceeport_Global,True,2019-02-11 14:42:00,16.17,CARA Will be another big pop and another short squeeze just dont know exact timing and price levelpatience is the key More here
Ceeport_Global,True,2019-02-11 14:39:00,16.164,CARA Dont know exact time line for final results Q2 but there is supposed to be some interim data and possible news about a pain partner
stocktrader41,True,2019-02-11 13:21:00,16.188,CARA Oh Cara My one day wonder Does anyone know the timeline for results 2 qtr
mrmark4729,,2019-02-11 12:55:00,16.095,CARA Dont worry about the short sellers taking new positions
Ceeport_Global,True,2019-02-11 12:52:00,16.128,CARA Very happy with profits on 200 of the 300 core position Might be a place to add again coming up
EdgePointVA,,2019-02-11 12:03:00,16.318,CARA some wild Head Shoulders today
katherinehampton,True,2019-02-11 11:39:00,16.293,CARA Low volume but were definitely back on the radar
thetrdr1,True,2019-02-11 11:08:00,16.61,CARA Great Reentry today Coiled spring
mrmark4729,True,2019-02-11 10:56:00,16.564,CARA My bet is that we are up before the day is over
EstimizeAlerts,,2019-02-11 10:45:00,16.48,Heres what 3 Estimize analysts believe CARA will report for Q1 2019 revenue Reporting 0508 AMCestimizecomintrocaracha
huanxiangwang,,2019-02-11 10:04:00,16.323,CARA I bought more on 1625 hope this works out Anyway my COTY and EA are generating good money for me D
EstimizeAlerts,,2019-02-11 10:00:00,16.12,CARA estimates distribution heres what 11 Estimize analysts are expecting CARA to report for Q4 Reporting 0314 AMCestimizecomintrocaracha
thetrdr1,,2019-02-11 09:58:00,16.154,CARA Bought the lows Always has to fill the gap Key is never get greedy
katherinehampton,True,2019-02-11 09:56:00,16.111,CARA This is a slingshot wait for it
NoFearHere,,2019-02-11 09:53:00,16.141,CARA 1590 200 dma on 5 d chart should bounce
huanxiangwang,,2019-02-11 09:52:00,16.148,CARA I bought a lot last Friday whats going on here
katherinehampton,True,2019-02-11 09:48:00,16.193,CARA Nice pullback its an opportunity
EdgePointVA,,2019-02-11 09:48:00,16.193,CARA someone blow out that ugly red candle
kew65,True,2019-02-11 09:35:00,16.81,CARA ACB CRON AGEN have been good to me As a total rookie I only wish Id bought more shares a few months back
thetrdr1,,2019-02-11 09:33:00,16.682,CARA Will have to fill the gap
