GivIt,,2019-02-11 14:06:00,1.195,TTPH Brushing off the BS and getting ready to add more
TomCPA,True,2019-02-11 13:17:00,1.202,TTPH My position in here is 75 of my portfolio Booksh 183 vs 121 SP Market giving 0 ÉVALUATION for XERAVA TP271 TP6076 Really
FraudBuster,,2019-02-11 13:04:00,1.21,TTPH You needed to post 3 charts in a row to try and get your point across but sadly youre missing so much theyre pointless
GDS_investing,True,2019-02-11 12:47:00,1.204,TTPH here
GDS_investing,True,2019-02-11 12:45:00,1.205,TTPH update graph looking good on the up side target here 190 LONG
GDS_investing,True,2019-02-11 12:41:00,1.202,PTI if you like my alert here now watch TTPH looking good on the up side target here 190 LONG
fabitx,,2019-02-11 11:57:00,1.21,TTPH no volume no interest nothingonly 80 loss for this ticker in one year
fabitx,,2019-02-11 09:58:00,1.182,TTPH one antibiotic approvalsgood pipeline and hedge funds delinquents drive this company into deep abyss
fabitx,,2019-02-11 09:56:00,1.19,TTPH investment TOXIC loss 2billions capitalfunny
fabitx,,2019-02-11 09:54:00,1.19,TTPH funds speculative loving VTVTnot ttph watching
Growth,True,2019-02-11 09:44:00,1.2,HMNY XSPA VKTX KPTI TTPH fellow longs check out CLD High institutional ownership chart set up undervalued Good bullish momentum
Chuckyboss1,,2019-02-11 09:43:00,1.2,TTPH trading 29 million under cash approved product
Chuckyboss1,,2019-02-11 09:42:00,1.2,TTPH someones buying today wants shares
fabitx,,2019-02-11 09:31:00,1.176,TTPH going 3 bucks todayahah ridiculous pumpers full bashers
