gottsbrain,True,2019-02-11 15:51:00,1.411,HTBX 1 Tradingdays to get in for preData run
ManBearBull24,,2019-02-11 15:10:00,1.415,HTBX
BiotechBilly,True,2019-02-11 15:07:00,1.417,HTBX Welcome FatNinjaRider Here comes the BULL Stock set to go HIGHER
CoolCucumber,True,2019-02-11 15:00:00,1.415,HTBX Here comes POWER HOUR Cmon baby
JordanBelfort27,True,2019-02-11 14:42:00,1.415,HTBX imagine what happens when volume kicks in
FatNinjaRider,True,2019-02-11 14:37:00,1.415,HTBX the box is hot 2day
canadian_trader,,2019-02-11 13:12:00,1.41,HTBX looking for a dip to restart position here
AZona,True,2019-02-11 12:43:00,1.41,RNN abstract avail 2day 5pm EST P2a data 215 RWLK steadilyHTBX VERU P2 14th KPTI accumulating MRK PFE
ChartMill,,2019-02-11 12:09:00,1.425,Although the technical rating is bad HTBX does present a nice setup opportunity chartmillcomanalyzephpu
JordanBelfort27,True,2019-02-11 12:06:00,1.44,HTBX same situation rn as in april 2018
cbaril,,2019-02-11 11:57:00,1.44,HTBX guess 135 probably wont fill today
stockcloud,True,2019-02-11 11:56:00,1.44,TRVN NAT HTBX ATEC WWR AAU CTRV CTXR SDLP EGY AST MBII Potential Reveral Breakout Volume Required Watch
cbaril,,2019-02-11 11:48:00,1.42,HTBX maybe 3 before data
Slashtank,,2019-02-11 11:46:00,1.423,HTBX SCYX its time
MayBull74,True,2019-02-11 11:41:00,1.445,HTBX Yummy
T71,True,2019-02-11 11:36:00,1.431,HTBX TRVN
JordanBelfort27,True,2019-02-11 11:31:00,1.415,HTBX Easy 2 b4 data
MayBull74,True,2019-02-11 11:06:00,1.39,HTBX Thursday will be 2 weeks from should start movin up then
cbaril,,2019-02-11 10:41:00,1.39,HTBX not really any movement
BiotechBilly,True,2019-02-11 10:24:00,1.382,HTBX not too late to load up
cbaril,True,2019-02-11 10:09:00,1.39,HTBX trying to add more
frenchfrog,True,2019-02-11 10:03:00,1.387,HTBX well see if today is the start of a nice PDR
