Yahtzee27,True,2019-02-11 15:44:00,13.694,CLDR can you please wake up and show people what a giant you can be thanks
stockmesilly,True,2019-02-11 14:51:00,13.61,CLDR the sleeping giant
Threewithastick,,2019-02-11 13:55:00,13.655,CLDR she wants to break today highs of 1375 and run and she will stay tuned feb 125 calls get paid
Threewithastick,True,2019-02-11 13:44:00,13.63,CLDR on week chart we hit double bottom on month chart we are winding grinding consulting up Big move coming I I say higher
Threewithastick,True,2019-02-11 13:32:00,13.655,CLDR I guess money is watching dow 25k and sand p 2700 if we hold and bounce and run off those levels then vol spike
Newbee221,True,2019-02-11 12:59:00,13.704,CLDR Id take 23 move up every week until earnings
Threewithastick,True,2019-02-11 12:33:00,13.723,CLDR no volume this is disgusting come on bring on the volume
EstimizeAlerts,,2019-02-11 11:14:00,13.61,Estimize revenue expectations are 010 higher than that of Wall Street for CLDR Q4 Reporting 0402 AMCestimizecomintrocldrcha
Threewithastick,True,2019-02-11 11:01:00,13.685,CLDR soon break of 1375 start to form the letter J lol here we go people
Threewithastick,True,2019-02-11 10:52:00,13.639,CLDR look at one day Chart looks like a v is forming by close it will look like a J rip higher
mastrhiggins,True,2019-02-11 10:48:00,13.66,CLDR How is everyone feeling compared to the end of December
Threewithastick,,2019-02-11 10:48:00,13.66,CLDR getting interesting lol ran out of sellers haha watch her fly now
Threewithastick,True,2019-02-11 10:39:00,13.611,CLDR cldr webinar tomorrow morning to educate all Thats going to be exciting with all the intergration Go sell short It will help me
Threewithastick,True,2019-02-11 10:29:00,13.595,CLDR its coming dollar will roll over been up 6 straight days it will roll and dow will rally
Threewithastick,True,2019-02-11 10:26:00,13.565,CLDR volume coming soon this is a trap too calm its going to go nits soon with vol influx
Threewithastick,True,2019-02-11 10:09:00,13.52,CLDR feb 125 calls yummy right now go get them
Threewithastick,True,2019-02-11 09:43:00,13.53,CLDR like the dow its trying to get its footing and today both should rip higher 14 plus today
