buythis,3,9,12791.06
CriticalBull,45,33,9015.09
lurodriguez3rd,9,5,8508.7
RobertDeniros,13,13,6731.73
Enigma2016,17,25,6497.03
Love19,11,11,6447.76
free2surf,9,10,6188.38
Fresher,33,40,4813.33
MONEY4MAKER,21,14,4361.54
Aandeelhouderwint,24,33,4258.03
SmallProfits,7,19,4226.31
SouthLA,4,5,4204.27
cycloon,30,45,4016.62
KosmoCramer,3,3,3818.84
WolfOfHarlem,14,8,3526.17
Edivad88,11,8,2769.3
Dannss,12,0,2732.63
je123,107,63,2664.43
Rodzilla01,158,126,2591.99
NewbieInvester,9,24,2477.17
ericms76,7,6,2435.63
PowersQuest,1,1,2434.59
BMP8,81,68,2340.47
stocksackher,3,7,2312.72
gregnice69,79,44,2303.0
camodog,12,16,2255.03
Bilderberg,16,22,2216.94
Sharesholder,9,10,2207.71
OfficialNivek,9,8,2198.24
John2222,16,14,2153.69
connormiller95,3,2,2134.99
Seriouslal,20,20,2128.1
angusKong,7,4,2118.81
Everlast,3,10,2110.74
PastorJack,7,13,2106.16
TeachMeHowToStockie,3,8,2058.52
ThirdEye2020,38,66,2000.68
EdmTrader,44,63,1994.18
JohnDoe1911,19,23,1983.81
ClimbthisD,42,40,1953.5
Billionaireclubcollc,117,110,1897.29
whoknows4real,21,4,1819.21
corumjasonyahoocom,9,8,1818.32
jpstrings,95,55,1805.08
ung123,30,3,1744.83
WolfOfLocustSt,10,3,1716.3
jjg223,3,2,1715.69
xio8ups,17,0,1700.0
aaron03,17,11,1392.47
gene777,18,4,1370.2
itbeginx,133,115,1258.49
spicygoo,14,1,1239.62
anthony09,13,10,1129.94
peteto,14,9,1095.9
Augustus77,8,14,1037.09
TradeEight,7,11,1025.94
MeTarzan,87,82,974.18
BATMAN72,86,45,909.88
TheEdTruck,40,22,860.68
kremun,35,62,825.43
JamJells,112,34,811.97
niceguy99,8,0,800.0
ACInvestorBlog,279,224,773.83
TK1906,12,11,770.53
warchest,17,8,716.87
horst80,38,36,715.49
Sickdog6,1,1,715.0
Tnhood90,97,43,646.35
Tommyl,159,52,632.29
Jpmoney05,6,4,619.96
amda,95,58,593.24
Badfish843,50,24,591.49
valuetraderr,9,9,583.58
tribecanyc,18,14,581.55
jpoole524,5,6,574.03
Opdoggg,3,1,571.71
BMWE60M5,3,5,566.9
vtoutdoorguymb,7,3,554.01
mramanathan,133,71,544.27
ehernandez53,25,9,535.74
ChartHawk,221,165,531.01
everythingkid,7,6,521.55
legolas3001,2,1,511.88
Turquoise,7,7,510.53
Palms48,11,15,506.88
Rocketman810,48,38,485.27
InsomniaLife,114,75,473.5
dylanquatts,12,10,461.34
Russell007xx,33,8,459.51
presario100,11,4,456.32
crue1004,5,18,453.8
roni76,16,1,448.37
mozkul82,11,11,436.38
engmerc,9,5,413.21
ThePoodleofWallStreet,165,98,411.96
kbehnz,18,4,407.49
tmtteammoney,5,1,404.88
hayb95,22,5,404.82
Analyzethisstock0324,40,26,397.11
stocktechnician,5,7,396.09
sisacsson,27,26,394.6
TheMoose1026,33,71,394.09
macmakaveli,5,8,383.51
OnlyMy2Cents,10,15,378.79
mharrington5650,84,82,377.56
tradesmctradey,9,13,373.34
Volseeker,10,16,369.05
tradegator,10,12,368.9
Knadlecamp,40,27,363.59
MoneyByTheCharts,218,193,359.64
MrFatBull,35,53,359.1
Royalpicks,59,52,358.44
jtruex12,16,3,353.64
LongInvestor1,18,22,353.53
TraderGOAT,14,10,352.03
GoingLong2019,4,6,345.25
BigMoneyElmo,26,62,339.0
Truman2332,50,51,335.51
jab88,7,0,334.7
Opportunist10,53,22,332.37
MWM,245,176,330.76
jimmi1,20,13,329.56
UpTrendr,23,20,323.38
geffaxp,83,71,322.91
mheadroom,5,0,320.44
ells13,109,66,317.5
to0m,13,5,313.71
harsha1,12,4,312.71
mikepike25,10,2,298.78
ebkbk,11,24,298.32
Badboys03,22,11,296.67
bbossstock,37,1,295.2
ToEasyToCare,36,21,294.23
jsp4423,74,71,294.05
TheTeachingTrader,25,12,293.63
Maxxwall,85,66,292.06
qqqweeklies,6,2,288.97
dirtfrog,15,18,284.31
Mattusmc18,12,13,282.79
sinv,37,44,282.57
kanden,14,7,277.54
Myspec18,54,10,275.09
gravytrail,22,22,271.53
SKIER8731,65,30,268.54
bogtrading,18,11,263.97
jeredcollins,76,28,260.11
SKRHINO,18,9,258.41
Adirs3333,49,48,256.11
itsallaboutheoptions,13,26,252.42
alonzo11,42,50,251.93
rama2050,13,14,250.81
Tesstrader,11,6,250.46
tickertutor,19,28,250.44
Evilzone,7,0,240.22
bostonmike617,36,13,236.68
Trozilla,152,87,232.73
ZoTrade,17,7,231.84
twiifm,15,4,229.89
RyGuy79,73,33,224.63
ProfitAsYouCan,40,31,219.8
KentsBrokerage,33,12,216.13
odumbe,14,3,215.61
lrybolt,3,1,212.66
TheManiac,46,43,212.24
govind220,16,10,211.29
Tanestein,25,17,211.02
Krazykilla,65,76,210.61
imaginelennon,6,4,209.51
biruk757,24,16,209.26
igvmoneymaker,4,4,208.32
Night2,30,11,206.27
blasswun,48,28,204.99
Maddog68,103,100,204.35
janecy,59,125,204.32
pstesh,12,9,203.49
tradernava,5,1,202.69
kwhelmon,3,1,201.84
hinduhamma,3,1,200.0
flashkamal,2,0,200.0
KoalaBEARR,362,262,198.89
cbjim,13,4,198.08
ineedakitkat,4,3,197.68
sauceacquirer,2,1,197.35
murphman83,3,3,197.24
impatientopatient,8,3,197.17
wingfire01,6,7,197.13
frenchfrog,9,6,196.55
RoarHigh,1,21,195.73
coastalstocks843,22,21,194.67
stocktrader911,12,18,188.87
shortyclaus,9,6,188.5
jsks,18,28,187.31
impulsiveinvestor,2,2,185.46
Convest000,20,10,185.26
kingpol86,12,1,184.09
3xMaster,62,47,180.61
laluna2017,32,21,178.25
QuikWitted,17,13,178.14
BullishDaddyDrake,16,1,177.67
eddietowers777,91,29,177.18
dskusa,108,75,173.76
donetta,29,12,173.36
honam168,14,19,172.79
Ravnen,23,34,170.67
Options2Profits,23,15,169.93
TheDailyTraderMI,6,3,169.34
huskythrowaway123,33,23,168.59
seniorPresident,31,17,168.31
gladIsoldsph,50,40,166.87
tf85,13,5,166.79
GreenSpace,32,5,165.35
UKinvestor,9,4,164.92
EstimatedProfit,39,31,163.52
LuckyZ,20,5,162.04
IToldYouSo,54,22,161.49
Thegreatj11,27,0,161.43
mastodon,5,12,158.37
HotBuy,36,58,157.33
johnyseed,6,8,156.21
TraderSoup,41,28,156.08
tradercool,7,3,155.67
Pepe1234,22,4,149.8
Spartanofwallstreet24,58,37,148.96
MasterChi,122,213,148.45
blue42117,4,1,147.18
bluewaterfinancial,12,3,146.61
johnc6,14,13,145.71
KidTrader999,20,13,144.48
TheCulpster,76,36,143.75
Malgotas,26,22,143.64
kerenawi1,9,8,143.26
JVST,59,20,142.86
st0cktits,42,23,140.51
MarkLChelsford,20,0,138.6
knewbie,26,16,138.22
allsystemsgo,30,24,137.5
christrader7,16,10,136.97
CreamSota,2,1,136.85
DosXX,10,11,136.46
Cchristodoulou,30,13,135.18
HeyYouWhoMe,215,196,135.03
FXOutofcontrol,62,50,134.05
billsfan585,10,3,131.87
RumRunna,17,2,129.58
sanketnagrecha,28,13,129.29
Fortune82,17,22,128.28
dadiexcuseme,13,4,127.07
Otje,7,6,125.49
StarLord7,17,1,124.78
eatthepennies,9,1,124.41
shortedcircuit,9,10,123.67
SinisterVirtue,18,1,122.88
GoLeafs,15,7,122.5
suresh36,17,5,122.19
Mooonwalker,8,7,121.43
BadNewsBilly,42,49,121.3
steeplechase,20,14,121.23
Sbuelow76,38,38,120.88
TradingProfessor,57,36,120.67
QnQ,19,17,120.57
LIGator,15,10,120.55
thijssie8,53,12,120.44
fareedg,58,20,120.13
DowntownPJ,66,29,119.54
Dtrader21,12,8,118.92
applepie2014,7,9,118.8
ZenMaven,94,69,118.71
DeadpoolBob,41,59,117.68
kingmax48,9,2,116.84
tradingrules,11,3,116.47
Bulllife2017,14,11,116.15
GreenTeacup,22,24,115.99
Hindsight2020,15,20,115.85
longterminvestment,8,6,114.41
lsufanmaybe,7,4,114.39
WXMan15,10,16,114.33
HighPlainsDrifter45,12,9,114.27
Bottomplaytrades,20,15,113.92
etsai3,11,8,113.12
SkeletorInvestor,59,46,112.84
GoldenKnightsFan,35,15,112.48
daves0ng,8,3,112.33
Nazthebull,4,2,112.0
tink,2,0,111.58
volcano07,17,11,111.55
bobjames232396,28,8,111.47
cinsity991,18,5,111.18
Thedream123,26,10,110.92
pshelby,80,72,110.64
