titan1,True,2019-06-06 14:16:00,20.84,AXDX market is digesting the news up today or tomorrow
WhackaMole,True,2019-06-06 14:05:00,20.845,AXDX given Blair conference I am sure the shorts will do everything in their power to paint the tape Red and make it look like their presentation was a bust
WhackaMole,True,2019-06-06 13:52:00,20.875,CTRV Holy Moly Its happening everywhere AXDX I grow more and more confident Buying August 1750 calls
WhackaMole,True,2019-06-06 13:51:00,20.875,LJPC Wow awesome short covering AXDX will be next with borrow creeping up to 25 plus l
WhackaMole,True,2019-06-06 13:42:00,20.905,AXDX Bought some calls I actually do think we will be well over 225 relatively soon
WhackaMole,True,2019-06-06 13:38:00,20.905,AXDX Borrow creeping up again My broker called me and offered 25 for my shares which means they are a going for a lot more which means timingwise we are setting up for a big move again Over the past 5 years without fail every time my broker called me to ask for my shares we had a big big move No exceptions Ask your brokers if there is demand and double check
largecoffee,True,2019-06-06 13:34:00,20.92,AXDX If there is a one word summary of the presentation it would have to be Cover
largecoffee,True,2019-06-06 13:30:00,20.941,AXDX RD news Next generation machine does urine testing
CravenMoore,True,2019-06-06 13:28:00,20.916,AXDX Strong presentation today Fear the Pheno
largecoffee,True,2019-06-06 13:25:00,20.88,AXDX Respiratory kit solved reportability problem Starting clinical trial mid 2019
largecoffee,True,2019-06-06 13:22:00,20.92,AXDX LOL the lawnmower analogy
largecoffee,True,2019-06-06 13:17:00,20.949,AXDX Mayo study in October at ID Week
largecoffee,True,2019-06-06 11:51:00,20.87,AXDX Blair presentation in about an hour
