From1ktoMill,,2019-05-29 15:55:00,2.391,ONCS 8 down
lenmac08,True,2019-05-29 15:54:00,2.38,ONCS strong into the close
TheWolferNY,,2019-05-29 15:41:00,2.47,ONCS Revenue Thats unreal
G770,,2019-05-29 15:29:00,2.46,ONCS baggies getting nervous
LoyalShark,,2019-05-29 15:10:00,2.495,ONCS Interesting Seeing some stocks pop today for insanely stupid reasons ie ELTK what a joke and yet ONCS nails it in the highest occurrence of melanoma in the world Australia and we are down wcrforgdietandcancercanc
G770,False,2019-05-29 15:04:00,2.501,ONCS Otc by Friday
TheWolferNY,,2019-05-29 15:01:00,2.474,ONCS maybe this can go below a dollar again for yet another rs
TheWolferNY,,2019-05-29 14:59:00,2.474,ONCS lol what a joke
Lstreak,,2019-05-29 14:51:00,2.49,ONCS Thought this puppy would be up by over a dollar today
TheWolferNY,,2019-05-29 14:51:00,2.49,ONCS
SteelForceGreggTwits,,2019-05-29 14:34:00,2.41,ONCS Was hoping for a two day run with another one of those that actually had good news and now thats in the red
SteelForceGreggTwits,True,2019-05-29 14:32:00,2.424,ONCS And those that did earlier losing gains
SteelForceGreggTwits,,2019-05-29 14:32:00,2.424,ONCS Terrible market day I even have catalysts with stocks even very near term not really going up much
Long_Believer,True,2019-05-29 14:30:00,2.425,ONCS 240 again and I average down some Its only money either I make some or donate today AMRN taking good care of me
TheWolferNY,,2019-05-29 14:25:00,2.435,ONCS lol down even more POS
twags88,,2019-05-29 14:10:00,2.405,ONCS Stockbricks still in on this
TheWolferNY,,2019-05-29 14:09:00,2.4,ONCS hear that flushing noise Thats your money going down the drain with this
ILUVSPEWINGNONSENSE,,2019-05-29 14:06:00,2.411,ONCS Use all the excuses in the book it has nothing to do with the market being down
ILUVSPEWINGNONSENSE,,2019-05-29 14:03:00,2.406,ONCS Price is getting better keep selling our next reverse split will be in 6 months
ILUVSPEWINGNONSENSE,,2019-05-29 13:59:00,2.45,ONCS A Merck BUYOUT wouldnt get most of us to our average
ILUVSPEWINGNONSENSE,,2019-05-29 13:57:00,2.493,ONCS Sorry for all the negativity but I wouldnt buy this stock if you gave me the money
SteelForceGreggTwits,,2019-05-29 13:51:00,2.5,ONCS Thats really funny person who is supposed to be banned using part of my name
TheWolferNY,,2019-05-29 13:50:00,2.5,ONCS Lol this stock should be up 4sh On this news and its down DOWN This is as good a news you could have hoped for Incoming Revenue
paxamericana30,,2019-05-29 13:39:00,2.507,ONCS emergehealthcomaupartner
SteelForceGreggTwits,True,2019-05-29 13:38:00,2.507,ONCS
TheWolferNY,,2019-05-29 13:19:00,2.589,ONCS profitable pigg made his lunch money thank God we wont have to see his stupid gifs Probably bought and sold 100 shares Lol
GreggBagsKingofTwits,False,2019-05-29 12:41:00,2.61,ONCS otc
oguzt,True,2019-05-29 12:37:00,2.61,ONCS last insider buys mean anything
IAMWilliamWallace,True,2019-05-29 12:36:00,2.61,ONCS dont care what anyone says this company at this stage is worth way more than 25 million Call it a broken stock if you want I like to call it an opportunity
Wazup,,2019-05-29 12:17:00,2.6,ONCS Hmm This may be saying that Keytruda for melanoma is rereimbursed by government of Australia at around 9k per dose Other interpretations pbsgovauindustrylisting
burchrealtync,,2019-05-29 12:13:00,2.6,ONCS seekingalphacomnews34675
ChartMill,,2019-05-29 12:07:00,2.57,The technical rating of ONCS is bad and it also does not present a quality setup at the moment chartmillcomanalyzephpu
