DevilMask,,2019-05-29 15:59:00,18.974,AMRN what will AH look like
katherinehampton,True,2019-05-29 15:57:00,18.978,AMRN 1903 close Ill take it
VascepaBID,,2019-05-29 15:56:00,18.986,AMRN What is the likely hood we get BO before expanded label
Novo1,,2019-05-29 15:56:00,18.986,AMRN will probably close at 1898 IMO
CBSCapital,,2019-05-29 15:53:00,18.989,AMRN bring all your gains with me over to PRPO
fitoto,,2019-05-29 15:53:00,18.989,AMRN with the spread of the news more buyers will show up in the next a few days
traderxyz,True,2019-05-29 15:53:00,18.989,AMRN give me BO or give me death
Harry71,,2019-05-29 15:52:00,18.99,AMRN Only worried because this is over 10 and it will hit every scanner tomorrow
growth_invest,,2019-05-29 15:48:00,19.087,AMRS Seeing the huge therapeutic difference between pure EPA Vascepa by AMRN and normal fish oil I wonder if pure CBD by AMRS could be likewise a game changer
jserna21,True,2019-05-29 15:46:00,19.052,AMRN wouldnt be surprised if it gets to 22 within the next 57 trading days
bennfine,,2019-05-29 15:46:00,19.052,AMRN fortune brainstorm health daily
bennfine,,2019-05-29 15:46:00,19.052,AMRN fortune magazine just emailed out an article on amrn
PermaBull2,,2019-05-29 15:45:00,19.04,AMRN above 426 close 1933 please since we are asking
EagleMania65,True,2019-05-29 15:45:00,19.04,AMRN Shares being locked up Time to run
VascepaBID,,2019-05-29 15:45:00,19.04,AMRN Every time someone says its not happening it happens Keep talking like you know what is going on
Harry71,,2019-05-29 15:42:00,19.098,AMRN Closing over 19
Ucfknight02,,2019-05-29 15:39:00,19.038,AMRN Im happy with a 19 close 20m volume Sounds good to me Holding for next catalyst
growacet,True,2019-05-29 15:36:00,19.057,RVXCA cant wait for the black share offering swan to fly away from lake Resverlogixmy guess is news early next week but tomorrow or Friday would be better Each day topline gets closer heres hoping for good news and an AMRN type popgood number on Cognition and MOCA scores and maybe Apabetalone can get a valuation like BIIB had for Aducanumab
kimberlee1,,2019-05-29 15:35:00,19.046,AMRN make sure to secure some profits
biffermeister,,2019-05-29 15:35:00,19.046,AMRN presently a bastion of tranquility in this crappo mkt
pharmazed,,2019-05-29 15:27:00,18.932,AMRN currently in this and TEVA
