FonsieTrader,True,2019-02-25 15:56:00,28.595,PBYI nice one for tomorrow Long
DSingh27,True,2019-02-25 15:47:00,28.499,PBYI Shorts will be toasted for holding through ER
mutny_tip,True,2019-02-25 15:41:00,28.398,PBYI hod
Dekooning,,2019-02-25 15:34:00,28.347,PBYI Let close this at 2888 today till ER for a hopeful BOLOL
lets_do_it,,2019-02-25 14:22:00,28.117,PBYI Nice pattern setting up as we move close to the power hour
lets_do_it,,2019-02-25 14:02:00,27.699,PBYI I want to see high volume pushing stock upside Not other way round Volume spikes but SP coming down Ohhhh myyyy goddddd
Dekooning,,2019-02-25 13:03:00,27.74,PBYI Cant believe is less valuable than ONCELMAO 250M in sale per year and only going up Cost 2B to develop a drug even if successful
lets_do_it,True,2019-02-25 12:15:00,28.373,PBYI breaking the current resistance strongly
Dekooning,,2019-02-25 12:03:00,28.26,PBYI FINALLY hit us with a BO and get the show on the road
JaredTyndall,,2019-02-25 11:57:00,28.179,PBYI monster volume here today
lets_do_it,True,2019-02-25 11:55:00,28.095,PBYI and the board is quiet So what is cooking Have to wait for one more hour to see the stability
lets_do_it,True,2019-02-25 11:41:00,27.46,PBYI though price movement is not good enough active trading with noticeable volume came back BLUE You are doing good
Girth_Brooks,True,2019-02-25 10:03:00,27.58,PBYI finally hit big this year on ONCE now its your turn PBYI You pos
