MSD123,,2019-02-20 15:54:00,0.9299,IBIO Aemd see your future be your future Bobby boy working overtime
stockcloud,True,2019-02-20 15:43:00,0.9299,RNN BIOC AMRH ICON ADOM MLNT CGIX IBIO ROX ABIL ARCI ATEC SSLJ Potential Reversal Breakout Watch into 2morrow
Simewin1,True,2019-02-20 15:08:00,0.9271,IBIO OH 4 words that mean saving LIFES 1 Sanofi MERGER 2 FIBROSIS 3 Settlement 4 Why dont you own this No float ridiculous cap
BobBenson,True,2019-02-20 14:50:00,0.9299,IBIO No wonder the CEO said 240300 million in sales in 2020 Rituximab by Roche produced in China wCC pharma biopharmareportercomArti
BobBenson,True,2019-02-20 14:45:00,0.9299,IBIO AEMD is in major magazines we are days or at most weeks out from major news for a 510X return industrynewstodaycom14156
BobBenson,True,2019-02-20 14:40:00,0.9299,IBIO Dont U people understand they expanded a 17 million plant last summer to handle AEMD demand you tube video youtubecomwatchtimecont
BobBenson,True,2019-02-20 14:35:00,0.925,AEMD People are worried about the supply of Lectin for the Hemopurifier DONT IBIO has it covered aethlonmedicalcomnewsmed
skitime,,2019-02-20 13:32:00,0.9199,IBIO nice vol up good job longs
skitime,,2019-02-20 12:13:00,0.92,IBIO 4 words to remember get that ask high
dbl07,True,2019-02-20 11:50:00,0.9195,IBIO XTNT Daddy likes
tradingmy2cents,True,2019-02-20 11:48:00,0.9175,IBIO FWIWOptions exchange for employees and nonemployee directors expire today 500pm Eastern time
skitime,,2019-02-20 11:44:00,0.9181,IBIO now entering in that red circle phase lets get above that red trend line
JBRUN,True,2019-02-20 11:41:00,0.9199,IBIO somebody knows somethinggood now lets move
skitime,,2019-02-20 11:35:00,0.92,IBIO shorts your nasty game will come to an end very soon every single day you pay more interest to your broker lol
Simewin1,True,2019-02-20 11:24:00,0.92,IBIO YEP Any amount of VOLUME and its off
Simewin1,True,2019-02-20 11:16:00,0.8998,IBIO Will not be HELD DOWN so CLOSE FIBROSIS last sold for 8 billion to Pfizer give us 1BL or Settlement 500m
Simewin1,True,2019-02-20 10:45:00,0.8913,IBIO No more saying POTENTIAL or PRACTICE We are in the playoffs with no shares or everyone wanting out NO TURNOVERS in HR
Simewin1,True,2019-02-20 10:42:00,0.8913,IBIO Boom News 101 soon
BobBenson,True,2019-02-20 10:08:00,0.8749,IBIO AEMD 2 great stocks positioned for growth over the next 1218 months or to be acquired by very large pharma I buying on every dip
skitime,,2019-02-20 09:43:00,0.88,IBIO push that ask MUCH higher and ignore shorts manipulation
