icaptrader,,2019-05-21 15:55:00,0.6048,GNCA did they approve a reverse split
stillinthepackage,,2019-05-21 15:51:00,0.6018,GNCA additionaldata comingPostvaccination immune responses detected to 93 of vaccine neoantigens in first three patients analyzedAdditional data to be presented June 1st at ASCO 2019 and discussed on aconference call and webcast on June 3rd
Giamm,True,2019-05-21 15:33:00,0.6295,GNCA this will trade above 5 tomorrow buy now for quick profit
stillinthepackage,,2019-05-21 15:20:00,0.635,GNCA A drug that receives Breakthrough Therapy designation is eligible for the followingAll Fast Track designation featuresIntensive guidance on an efficient drug development program beginning as early as Phase 1Organizational commitment involving senior managersBreakthrough Therapy designation is requested by the drug company If a sponsor has not requested breakthrough therapy designation FDA may suggest that the sponsor consider submitting a request if 1 after reviewing submitted data and information including preliminary clinical evidence the Agency thinks the drug development program may meet the criteria for Breakthrough Therapy designation and 2 the remaining drug development program can benefit from the designation
bradskillz,False,2019-05-21 14:51:00,0.6487,GNCA What a piece of shit company Am done Taking a loss and moving on
stillinthepackage,,2019-05-21 14:39:00,0.6467,GNCA short interest last nas update was 4302019 1373489
stillinthepackage,,2019-05-21 14:03:00,0.6501,GNCA there are two classes of sharesone with warrants one without You cannot buy the class with warrants IMO the value of the company is going to be driven by the stocks that can be tradedOURS the stocks without warrantsand there will be very few left after tomorrow
VJLer,True,2019-05-21 13:31:00,0.65,GNCA Authorized shares are being reduce by a factor a 1 to 3 from 250 MM to 85 MM Interesting
rickysyad,,2019-05-21 12:42:00,0.65,GNCA At least there is no wild selling going on today Looks like volume will stay below 500K That should probably seen at least as a positive factor
stillinthepackage,,2019-05-21 12:37:00,0.65,GNCA I think Iovance pays for gen11
stillinthepackage,,2019-05-21 12:16:00,0.65,GNCA To support efforts to improve the potency of TIL Iovance has entered into a collaboration with Genocea to evaluate its ATLAS platform All they have to do is backtest the bloodwork and compare the cohorts
rickysyad,,2019-05-21 11:05:00,0.6299,GNCA Woow so many bots around here On top of all suffering they try to Spin that news so it looks like it is the end of the world Such Moskitos they just make money now by shorting this When is this bleeding over Did they mention when this RS is effectiv
stillinthepackage,,2019-05-21 11:00:00,0.64,GNCA if one segregates the shares NEA holds how many shares will there be after the roll up not many
Katsfan72,True,2019-05-21 11:00:00,0.64,GNCA Anyone think the reverse split is to make the share price and valuation more palatable for a BO Do you really think NEA bought more shares to have them diluted with no reward
tobira55,,2019-05-21 10:49:00,0.6432,GNCA or if he buys he will buy a few thousand dollars Pennies thinking people is stupid
tobira55,,2019-05-21 10:48:00,0.6538,GNCA he doesnt even have enough dignity to buy stock at this depressed level that he led the stock to He just suck the blood of the company get and pay his luxury life Get him OUT
Rascal7777,,2019-05-21 10:46:00,0.6299,GNCA just left a voicemail for Chip I told him he is killing us I suggest you do the same
tobira55,,2019-05-21 10:46:00,0.6299,GNCA I hope at least these type of guys never ever work again Go set up your own company Chip do your reverse splits to yourself
tobira55,,2019-05-21 10:41:00,0.6328,GNCA CEO is a bloodsucker Lets kick this guy out Lets not allow him get one more from this company
tobira55,,2019-05-21 10:37:00,0.6099,GNCA how long until they fire this insane CEO Reverse split Thats all he knows to do Also spends the day on twitter congratulating others for the good job which he should be doing and doesnt do Worst CEO ever Shareholders move Lets kick this guy out asap
godfreefreeman,,2019-05-21 10:35:00,0.6083,GNCA when do we vote to fire chip that guy just pays himself and burns a hole in shareholders portfolio
Rascal7777,,2019-05-21 10:33:00,0.6083,GNCA are we having a rs for sure I am getting out before that
michael82929,,2019-05-21 10:31:00,0.5999,GNCA make up your loses on mtnb take a look back from sept of last year till now w Amarin and the omega space their setting this co up
rickysyad,,2019-05-21 10:13:00,0.6231,GNCA Yeahh men Thats what I also already told
dl42,,2019-05-21 10:09:00,0.6299,GNCA this is what pisses me off the most This is where we were when Chip decided to throw out we might have a RS on call We were well on our way if he keeps his fing mouth shut
rickysyad,,2019-05-21 10:04:00,0.626,GNCA can they just do a RS split of 18 THIS IS MSILEADING INVESTORS WE DID NOT GET A PROPOSAL FOR VOTING FOR A 18 WE JUST GOT FOR 13 SPLIT HOW IS THIS POSSIBLE
rocket625,False,2019-05-21 09:58:00,0.6302,GNCA these guys have no income
