PencilNeckGeek,True,2019-05-21 14:41:00,96.108,RH lets go baby
Takmau,,2019-05-21 14:26:00,96.216,RH eow 98104 maybe more
EstimizeAlerts,,2019-05-21 14:21:00,96.23,RH reported 50 Comp Brand Rev Growth last quarter Next report is on 0611 AMC Jury is still out on expectations Whats yoursestimizecomintrorhchart
Takmau,True,2019-05-21 13:57:00,95.66,RH 110120 before ER
TheGmork,,2019-05-21 13:55:00,95.635,RH left alot on the table this am
Takmau,True,2019-05-21 13:55:00,95.635,RH if u could remember CEO bought at 90 if not mistaken 900T
Takmau,True,2019-05-21 13:53:00,95.663,RH no turning back
commonking,,2019-05-21 13:42:00,95.422,Never hit my price was looking for 80 maybe a little conservative RH
Takmau,True,2019-05-21 13:32:00,95.51,CRON ACB HUYA RH june 21call 110140 and NBRV oct call 57
EstimizeAlerts,,2019-05-21 10:33:00,94.32,RH analysts on Estimize are expecting 1876 YoY EPS growth for Q1 down from 7751 in Q4 Reporting 0611 AMCestimizecomintrorhchart
jcd42,True,2019-05-21 10:03:00,93.095,RH this is now priced to miss the lowest end of revised guidance 841 Thats pretty low expectation guys Cmon now
