Yahtzee27,,2019-02-15 15:44:00,13.751,CLDR market over 400 and this is flat
KeepWaiting,,2019-02-15 15:42:00,13.754,CLDR There will be a lot of curiosity surrounding how they report in March It could easily run based on how silly the valuation is today
Newbee221,True,2019-02-15 15:34:00,13.752,CLDR at this rate I do not have much hope Even with earnings beat it might go to 15 max
artyst,,2019-02-15 14:52:00,13.79,CLDR failed to go past 14
KeepWaiting,,2019-02-15 14:49:00,13.787,CLDR Its really interesting this hasnt budged today I dont see it as a negative per se but its another unusual reaction
elmers_cow,,2019-02-15 13:42:00,13.855,CLDR market only open 4 days next week selling the majority of my options today to pick up April calls come Tuesday or wed
likesthepunishment,True,2019-02-15 13:36:00,13.834,CLDR 80 institutional ownership Guess Ill be patient
Threewithastick,True,2019-02-15 13:23:00,13.805,CLDR this is winding up creeping makes you fall asleep and then you say what happened here
KeepWaiting,,2019-02-15 12:48:00,13.838,CLDR Last month was fun but remember it was bouncing off a ridiculously low SP even more than it is now We can all still hope though
mastrhiggins,True,2019-02-15 12:07:00,13.77,CLDR Tell my friend KeepWaiting I said hello uptrend O
mastrhiggins,,2019-02-15 11:40:00,13.827,CLDR Zacks downgrade to HOLD boooo
cloudforever,True,2019-02-15 11:17:00,13.79,CLDR slowlyup
jaime4,True,2019-02-15 11:16:00,13.775,CLDR Seen this movie b4 little price movement for sometime then Boom People will soon be chasing in the 20s
Threewithastick,True,2019-02-15 10:33:00,13.777,CLDR 530 k volume in a hours mostly down volume now the day can begin for the longs now
Threewithastick,True,2019-02-15 10:20:00,13.762,CLDR retail shorts can not defeat institutional smart money watch we will be fine my friends
Threewithastick,,2019-02-15 10:14:00,13.676,CLDR trust me calm before the storm shorts keep pounding it want to deflate bulls cant do it we will go up
Threewithastick,True,2019-02-15 10:12:00,13.705,CLDR love this volume price action will follow in line
Newbee221,True,2019-02-15 10:08:00,13.651,CLDR its been stuck at these levels all of February Seems like we might need the earnings to break out
davdh,,2019-02-15 10:07:00,13.693,CLDR i dont like it in the last days
Threewithastick,True,2019-02-15 09:59:00,13.693,CLDR lol go shower and we will break 14 soon
KeepWaiting,,2019-02-15 09:59:00,13.693,CLDR Not a lot of logic playing out here This is a hard one to swing consistently but doesnt mean its not a value
Newbee221,True,2019-02-15 09:53:00,13.627,CLDR Threewithastick looks like someone reading your posts is playing mind games with you
Threewithastick,True,2019-02-15 09:52:00,13.623,CLDR this is unbelievable lol hahahah they will fun this shortly
