persianmeow,,2019-02-15 14:41:00,100.398,RMD well I recovered almost all my costs phew
blakev4,True,2019-02-15 14:38:00,100.4,RMD Looks like were having a little breakout towards the end of the day
RedCedar,,2019-02-15 14:04:00,100.348,RMD new HOD
ScreechOwl,,2019-02-15 13:42:00,100.27,RMD just not enough volume to really rip thinking of exiting calls right here before RH steals them and forcesells for me after 3
blakev4,True,2019-02-15 13:28:00,100.217,RMD Approaching the BE of 10030 for most of us Only an hour and a half left until the selling begins Lets see if we can break 10050
lecorb,,2019-02-15 13:05:00,100.117,FDA issues draft guidance on nonbinding feedback on inspections httpsseekingalphacomnews3434056sourceansh ISRG MDT BSX SYK ZBH SNN RMD TNDM PODD DXCM BAX
ScreechOwl,,2019-02-15 12:56:00,100.2,RMD you dont see this day chart tank often but it IS opex so
Tradewithtechnicals,True,2019-02-15 12:34:00,100.133,RMD Century and more to go
ScreechOwl,,2019-02-15 12:30:00,100.135,RMD going to say this jumps shortly no reason to let it sit even this high if theyre trying to let calls expire Most must be sold
quaintsow1,True,2019-02-15 12:16:00,100.188,RMD welp sold most of my weekly 100 calls for breakevenshould run to 101 now
RedCedar,,2019-02-15 11:55:00,100.105,RMD above the 20 sma at 10008 or better is bullish for continuation
wheresanoutlet,,2019-02-15 11:48:00,100.153,RMD this one was such an easy call Everyone knew it was coming back to 100 shout out to everyone who had time to wait
ScreechOwl,,2019-02-15 11:30:00,100.206,RMD third knock will anyone open the door
ScreechOwl,,2019-02-15 11:29:00,100.225,RMD this sporadic movement is very interesting to me not the slow push down that I expected Anyone still hanging on to 100 calls
RedCedar,,2019-02-15 11:24:00,99.968,RMD gimme some gap
luisenrialeman,True,2019-02-15 10:36:00,100.228,RMD to the moon
swing500,True,2019-02-15 10:24:00,100.028,RMD could be a good swing trade option for a few days
quaintsow1,True,2019-02-15 10:13:00,99.976,RMD 101 on deck
ScreechOwl,,2019-02-15 09:33:00,100.208,RMD alright tread very carefully here if youre holding calls Not sure yet what Im going to do
RedCedar,,2019-02-15 09:31:00,0,RMD there it is
