James_Bond,,2019-02-15 15:56:00,1.908,NDRA Broken Arrow
toonmag50,,2019-02-15 15:33:00,1.9,NDRA
MrScuhz,,2019-02-15 15:09:00,1.89,NDRA I have a strong feeling this is going to touch the low 15s again before any news comes out Ill buy back in then
Tdc1,True,2019-02-15 14:57:00,1.945,NDRA time to add more
Economist4401,True,2019-02-15 14:50:00,1.889,NDRA cant wait the first Human datastudy then ISOCE Mark is a done deal Probably stock will trading way above 5 and still MC is cheap
brytface,True,2019-02-15 14:46:00,1.886,NDRA shaking off traders
pratikpatel614,,2019-02-15 14:44:00,1.886,NDRA cmon give us 15 again
buylocellhi,True,2019-02-15 14:43:00,1.886,NDRA a message for the mms
buylocellhi,,2019-02-15 14:31:00,1.861,NDRA
auroch,False,2019-02-15 13:55:00,1.9,NDRA a few more pennies and it steps off a cliff
Thecash,True,2019-02-15 13:51:00,1.9,NDRA the gain is approaching today it closes green
MrScuhz,,2019-02-15 13:10:00,1.939,NDRA kinda getting annoyed with the lack of communication when it comes to the trials Its been waaaayyy too long
pharmde,,2019-02-15 12:03:00,1.95,NDRA 3000 shares and few thousand warrrants
deanocz99,True,2019-02-15 11:55:00,1.95,NDRA
Tdc1,True,2019-02-15 11:41:00,1.965,NDRA tute ownership up whopping 325 from 4 to 17 from Q3 to Q4 Very impressive Still a few to update per Nasdaq site
buylocellhi,True,2019-02-15 11:37:00,1.978,NDRA someone snapped up 1k shares 195lucky
buylocellhi,,2019-02-15 11:31:00,1.959,NDRA AurochDumb ass
brytface,True,2019-02-15 11:19:00,1.94,NDRA break down first expected
Economist4401,True,2019-02-15 11:17:00,1.935,NDRA long the entire year stocktwitscomEconomist440
buylocellhi,True,2019-02-15 10:16:00,1.98,NDRA will there be a leak of info could we see a run in the sp before data release
auroch,True,2019-02-15 10:06:00,1.981,NDRA companies literally pay people money to tell them WHEN to release news based on factors like these
auroch,True,2019-02-15 10:06:00,1.981,NDRA in other news closing above 2 dollars will mean this is the first time in TWO AND A HALF MONTHS that it has closed above 50SMA
brytface,True,2019-02-15 09:50:00,2.017,NDRA all in
buylocellhi,,2019-02-15 09:48:00,2.017,NDRA truly a binary event we either have proof of concept or we dont
