Bearjerky,True,2019-05-24 15:09:00,0.4654,ISR breakout is on the table I be repeat breakout is on the tableget on or will be left behind
Yenni,,2019-05-24 15:05:00,0.4699,ISR financeyahoocomnewsimag yep I am one of those guys although I have added some probably need to add more
SwingD26,,2019-05-24 14:45:00,0.4673,making money ob IMUX still holding ISR a potential new spiker IMO but it may take time My stop loss on that one is below 04
Nowayroy,True,2019-05-24 13:45:00,0.4624,ISR spike imminent Head basher getting desperat
Sprinklz,True,2019-05-24 13:14:00,0.47,ISR our market cap keeps pushing up against that 32 million mark Bears desperate to keep it under Next week is going 2 be fun too watch
Sprinklz,,2019-05-24 12:59:00,0.4735,ISR Id like to give a big round of applause to all the Bears you have given me nothing but Green Acres all week also thank you for increasing the market cap
jjohn1971,,2019-05-24 12:33:00,0.4696,ISR Back to 046 same price as in February Stock tries to recover and longs think its growth funny
jjohn1971,,2019-05-24 12:31:00,0.4696,ISR No insider buys why
JDinvestments,True,2019-05-24 12:11:00,0.4602,ISR go to GT twitter feed listen to last 2 CEO Likens interviews plenty of valuable DD good luck
JDinvestments,True,2019-05-24 12:07:00,0.4602,ISR JOB Current SOC EPIC FAIL
JDinvestments,True,2019-05-24 12:06:00,0.4602,ISR Brain Holy Grail GT And C131 soon to be SOC Barrows DRs developed it out of desperation to help Brain Cancer patients nod well done
JDinvestments,True,2019-05-24 11:59:00,0.465,ISR There have been only 7 brain tumor treatments approved or cleared by the FDA in the past 30 years twittercomgtmedtech VERY UNDERVALUED
rughead64,,2019-05-24 11:57:00,0.465,ISR go Johnny go
JDinvestments,True,2019-05-24 11:53:00,0.464,ISR funny how a bash know it all seams to forget warrants which negate any offering Whats his AGENDA lie cheat steal
KrachonWidIT,,2019-05-24 11:49:00,0.464,ISR Johns in overdrive Go John go
josephfuller,,2019-05-24 11:42:00,0.4647,ISR Baby JohnSo Why Did Gammatile Choose Cesium131Can You Explain
jjohn1971,,2019-05-24 11:37:00,0.4647,ISR 002 every quarter needs money from diluted offerings overpays execs bonuses when there is no profit
jjohn1971,,2019-05-24 11:33:00,0.4647,ISR if Sabby dumped thats telling you their is nothing new coming too soon
jjohn1971,,2019-05-24 11:26:00,0.4647,ISR any increase in share price will get sliced down with next offering That will be before winter
jjohn1971,,2019-05-24 11:25:00,0.4647,ISR 15 years and theyll still need to dilute to stay in business
LongSwinging,,2019-05-24 10:39:00,0.474,ISRWhat about that NTAP We should be hearing something in a few weeks another copy paste post
JDinvestments,True,2019-05-24 10:33:00,0.47,ISR and Woods silent as a public company avoiding unwanted attention but GT Likens have been saying plenty STRONG BUY
JDinvestments,True,2019-05-24 10:22:00,0.4749,ISR GT CEO already rejected licensing deal from BIG PHARMA so they are watching next step is PARTNERSHIPS or BUYOUT VERY UNDERVALUED
JDinvestments,True,2019-05-24 10:16:00,0.4748,ISR buy before the crooks take out 49 1 shot volume building Good Luck
JDinvestments,True,2019-05-24 10:14:00,0.4701,ISR 25k 47 crooks working hard This will explode
Sprinklz,True,2019-05-24 10:13:00,0.4701,ISR yeah it looks like the last day of The Big Short theyll be covering this afternoon and I think we got Monday off so itll be a long weekend to cool off
ltcman,,2019-05-24 09:57:00,0.47,ISR at least for now the Bid is 47
rughead64,,2019-05-24 09:52:00,0.4726,ISR some resistance at 49
MacJac,,2019-05-24 09:35:00,0.4681,ISR can easily skate right across the 50s and into the 60s
rughead64,,2019-05-24 09:31:00,0.47,ISR nice start
