nickoftime,True,2019-05-24 15:56:00,6.564,Loaded small positions of LABD JNUG UVXY have a good weekend folks
Trozilla,True,2019-05-24 15:51:00,6.535,JNUG Here were my calls today on this ticker 4 total calls today 100 accurate so far since yesterdayGreen dot Long posRed dot Short posCant wait for summer
ChartMill,,2019-05-24 15:43:00,6.54,Although the technical rating is bad JNUG does present a nice setup opportunity chartmillcomanalyzephpu
FoundaPenny,True,2019-05-24 15:43:00,6.54,JNUG China will drop a bomb on markets sunday or monday when markets are closed up from here
Trozilla,True,2019-05-24 15:27:00,6.51,JNUG Still 100 accuratr on day trade calls will be my favorite ticker to trade during the summer
Trozilla,True,2019-05-24 15:25:00,6.5,JNUG Shorts who are day trading should run away when you see me go long
StevenC,,2019-05-24 15:24:00,6.505,JNUG do not get baited into buying 65 there is a really good chance itll get dumped suddenly back to 649651 range at 359
Dailyquota,,2019-05-24 15:17:00,6.49,JNUG 7 and 75 calls got screwed this week I never buy options only sell Thanks for the premiums
MArkethunter,True,2019-05-24 15:10:00,6.49,JNUG start swiching to bull
Trozilla,True,2019-05-24 15:02:00,6.476,JNUG Dont start a short position here longs come out now Start looking here
ShakedownSt,,2019-05-24 14:31:00,6.517,JNUG i think i need a hedge on my hedge play
ChangeTrader,,2019-05-24 14:29:00,6.518,JNUG what is the trash BTG 94 buy rating but no floor on it
ChangeTrader,,2019-05-24 14:23:00,6.517,JNUG anyone know where I can get a detailed list of the stocks this dumpster tracks Only been able to find top 10 holdings
DragonTrader406,False,2019-05-24 14:23:00,6.517,JNUG
Trozilla,True,2019-05-24 14:16:00,6.508,JNUG i might be on the green team but I help you shorties make money too
StevenC,,2019-05-24 14:15:00,6.499,JNUG when it crossed 65 the mentality was option will keep this 6466 range play the range daily or weekly gdxj isnt always correlated to goldsilver
donne420,,2019-05-24 14:11:00,6.495,JNUG how could a reverse split effect the stockWhen it comes and is this a bullish or bearish sign Ty
avidtrader31,,2019-05-24 14:10:00,6.494,JNUG red How shocking Im so shocked This never turns red
Imstock,,2019-05-24 14:09:00,6.532,JNUG why JNUG dose not perform with JDST equally They are usually off percentage just a bit Today its performed less than half JDST Someone needs to sue this ETF
Isuckattradingstock,True,2019-05-24 14:08:00,6.537,JNUG been right all day with it i expect atleast a 2 pop around 330 ahead of the long weekemd
donne420,True,2019-05-24 14:03:00,6.57,Could JNUG perform the same way it performed back in 2016
CaptObvious2014,False,2019-05-24 13:58:00,6.577,JNUG Will do great when The US economy starts to stall or at least the perception right now ZERO rhetoric of a bad economy Dollar still king Waiting patientlyno much longer with tariffs kicking in
avidtrader31,,2019-05-24 13:38:00,6.571,JNUG looked like it was about to run and then you know Jnug did what jnug does
Patstock,False,2019-05-24 13:32:00,6.588,JNUG dont fall for gold bull thesis Riskoffon USD rates all three should align for gold bidding otherwise even one goes against gold gets dump Always short the mini pumps GLD
Prettymomma2019,,2019-05-24 13:32:00,6.588,JNUG Hold on will climb next few days side ways action from last week has triggered upwards trend
Zerostark30,True,2019-05-24 13:30:00,6.59,JNUG go time
Raider_in_Blk,,2019-05-24 13:24:00,6.591,JNUG oh boy oh boy
tripptrades,,2019-05-24 13:17:00,6.615,JNUG NUGT Gave yall the sauce in feb Gonna give yall the sauce again now
ttheylive,,2019-05-24 13:15:00,6.595,JNUG sold took my 40 profit better than a loss
ChangeTrader,,2019-05-24 13:09:00,6.581,JNUG looks like GOLD weighing down the NUG
Trozilla,True,2019-05-24 12:57:00,6.577,JNUG congrats on the people who made money on my calls ending the day with 800 gains good luck all
