GurlwFatazzpurse,,2019-05-24 15:18:00,16.19,EOLS Pumped like an overinjected nasal labial fold
Stone52,,2019-05-24 14:56:00,16.199,EOLS hype is over Company is giving away free product and praying
EchoNature,,2019-05-24 14:38:00,16.225,EOLS findanewscom20190524th Have a great long weekend be safe alert have some fun no make it lots of fun Just do something
jeana,,2019-05-24 14:37:00,16.23,EOLS power hour
GreenFlash,True,2019-05-24 14:03:00,15.973,EOLS I have to say this stock has been the craziest roller coaster ride ever been here since pre approval So many ups and downs we all know Agn is threatened Taking 30 percent from them would be devastating They are using every single resource and tactic they can as a last attempt to destroy evolus I have to say last time we dipped to 19 I doubled down but this time even I am a bit more hesitant I believe in the company just need to get past this lawsuit hurdle and then its a clear path to victory
Stone52,,2019-05-24 14:00:00,16.047,EOLS you will all be bagholders in the end Been telling everyone since 29 All i got was bashing by the bulls
EchoNature,,2019-05-24 13:58:00,16.04,EOLS Hmmmm I sense we are going to start getting some late to the date buyers My calls are getting interesting Well Oct I am a proud bag holder and think many people will be happily surprised Just a hunch Papp
gent123,,2019-05-24 13:48:00,16.054,EOLS dis any of you get through to the IR dept I sent an email yesterday and called 5 times throughout today and no answer
Ortho91,True,2019-05-24 13:47:00,16.099,EOLS thank you thank you berry berry much whoever is selling I appreciate the cheapies This bitch wont be down here much longer
shummy,,2019-05-24 13:37:00,15.938,EOLS low vol sell offWhere is the conviction bears
Renegade_,True,2019-05-24 13:37:00,15.938,EOLS
Ortho91,True,2019-05-24 13:36:00,15.915,EOLS 100 more
shummy,,2019-05-24 13:35:00,15.894,EOLS buying down hereSmall batches though
TheMarathonContinues,,2019-05-24 13:35:00,15.894,EOLS just sold for a loss Im sure I will regret it but the bottom is getting lower and there is no support
jeana,,2019-05-24 13:34:00,15.885,EOLS close over 16 open higher Tuesday 20s soon this is frustrating I know
Stone52,,2019-05-24 13:33:00,15.77,EOLS here comes the crushing
stocker4,,2019-05-24 13:32:00,15.787,EOLS sowhen will we finally bottom here
