Investor35,,2019-05-24 14:55:00,0.77,IBIO this company is as dead as Jimmy Hoffa
BigMoneyElmo,True,2019-05-24 12:58:00,0.77,IBIO
Simewin1,True,2019-05-24 12:55:00,0.77,IBIO wondering why no one sells except a few margin players or shorts Settlement Merger China Billions Brazil a Billionaire e cap20m
Simewin1,True,2019-05-24 12:49:00,0.77,IBIO Check out Settlement Never went to trail they immediately admitted GUILTY check dates Mediation is done and check
Simewin1,True,2019-05-24 12:22:00,0.77,IBIO Plus Settlement 500000000 any moment anytime Buy 10000777700 return on a 40x320000 30ON Settlement 300k620000
Simewin1,True,2019-05-24 12:19:00,0.77,IBIO Chance of a lifetime 1 Merger30 2 China 3 Brazil 4 Fibrosis 5 DARPA plant next to MRK 6 Employees all in 7Bill Gates
Simewin1,True,2019-05-24 12:15:00,0.77,IBIO Because when you add Fibrosis to the impossible burger you get DEATH we are the FUTURE even for animals Billionaire Ken DART WINNER
Simewin1,True,2019-05-24 12:11:00,0.77,IBIO IMPOSSIBLE burger sprinkled with FIBROSIS will cure all sickness last Fibrosis sold for 8 Billion sprinkles CHINA CCPMERGER30
skitime,,2019-05-24 12:07:00,0.77,IBIO price simply not moving cause longs wont sell no vol fine love to see shorts losing with their brokers ask high
jims9999,,2019-05-24 09:45:00,0.7476,IBIO Next RS is the future this stock need to hit 100 and its going in the wrong direction
jims9999,,2019-05-24 09:42:00,0.7476,IBIO Stock continues to slide I wonder why insiders are not buying
