elmers_cow,,2019-05-24 15:53:00,9.61,CLDR outside of WF are there any other sources that allude to major delays in CDP development
NewTrader10,,2019-05-24 15:49:00,9.575,CLDR to be fair it should have been around 115 125 by ER price after last ER drop based on ER it should have gone to 14 or 9 but because of that analyst now this will see 6 if ER is bad
GODDY1,True,2019-05-24 15:46:00,9.575,CLDR I cant stand this anymore Transferring cash and buying more of this POS
ubcomm,,2019-05-24 15:38:00,9.573,CLDR road kill I sure know how to pick em
NewTrader10,,2019-05-24 15:36:00,9.572,CLDR I dont think it will go above 11 in next 6 months they are selling options like anything
NewTrader10,,2019-05-24 15:35:00,9.558,CLDR that analyst could have waited until ER to downgrade very bad person he just wiped 20 of company value for a product delay issue which was not confirmed by management yet we dont even know the financial impact yet pure manipulation to bring down the stock
CEM97,,2019-05-24 15:29:00,9.553,CLDR dont break 951 today please
wavehog,,2019-05-24 15:19:00,9.56,CLDR someone turned on the short algo last earnings and never turned it off
GGeko1,,2019-05-24 15:04:00,9.575,CLDR possible three day sell off from downgrade buying more if it drops again Tuesday
mouchodinero,,2019-05-24 15:01:00,9.572,CLDR earnings in less than 2 weeks Bears will start covering soon
MadaMada,,2019-05-24 14:51:00,9.573,CLDR ouch I have 3500 shares and my avg cost is 125 Pray for me guys
mastrhiggins,,2019-05-24 14:44:00,9.574,CLDR 957 broke throughbastards
mouchodinero,True,2019-05-24 14:36:00,9.595,CLDR green shoots popping up
CEM97,,2019-05-24 14:16:00,9.583,CLDR dont be surprised if stop loss raid hits
mastrhiggins,,2019-05-24 14:08:00,9.592,CLDR Everyone seeing the buys at this level
CEM97,,2019-05-24 13:59:00,9.588,CLDR is 1756 shares a lot for here
mastrhiggins,,2019-05-24 13:57:00,9.584,CLDR A late day push would be a positive sign
chillmartin,,2019-05-24 13:57:00,9.584,CLDR damn this stock just down like every day lol Ive been watching for awhile to see if it bottoms out
CEM97,True,2019-05-24 13:49:00,9.605,CLDR last time I bought this neat its 52 week low it went al the way up from 10 to 14 give me that same rise please
KeepWaiting,,2019-05-24 13:40:00,9.605,CLDR Finally a new level to add Sure this stinks in the ST but this isnt part of my ST port so why freak out Sure Id love for this to be skyrocketing It isnt If you dont believe its coming back in the LT thats fine too Sell Find something you can say trade thats one of the other cloud companies you think is doing so much better Instead people sound like idiots holding on when they tout better options if theyre so much better MOVE ON I know it sounds like common sense but here we are
impairedgait,,2019-05-24 13:23:00,9.613,CLDR ok fired my last shot I am willing to fire at 960 into this puppy Will just wait now Hoping to see some growth into ER but with current market Im not holding my breath GL and have a good weekend everyone
artyst,True,2019-05-24 13:16:00,9.613,CLDR with expectations so low any positive from earnings will take it to atleast 12 Big data is only getting big with everything connected to grid
ewheels88,,2019-05-24 12:56:00,9.597,CLDR today cldr has been going down every time other cloud companies do and staying at the same price whenever they go up Very frustrating Hard for this to recover with the market when its taking all of its negative momentum and none of the positive
RDYY,,2019-05-24 12:54:00,9.607,CLDR I tried to tell people here to sell for weeks after weeks and you never listen so now just have to suck it up
wavehog,,2019-05-24 12:51:00,9.609,CLDR somebody herll bent for months making sure this never rises
artyst,True,2019-05-24 12:40:00,9.625,CLDR analyst use sheeps to manipulate Dont be a sheep to sell at such prices
CEM97,,2019-05-24 12:35:00,9.615,CLDR Im in at 962
donversation,True,2019-05-24 12:27:00,9.625,CLDR WHAT A HEAP
Yeeld,,2019-05-24 12:24:00,9.626,CLDR If this hits sub 5 we are screwed funds may have to drop it
RDYY,False,2019-05-24 12:24:00,9.626,CLDR technically speaking this is drawn to 85 and we shall see this after ER Mark my words lol
RDYY,,2019-05-24 12:23:00,9.626,CLDR just keep going lower so many bag holders wished they had cut their losses weeks ago Never fight against the trend you can always get back in but if you hesitated to cut loss when you should then you will take a huge loss and get wiped out of this game
RDYY,,2019-05-24 12:09:00,9.625,CLDR this stock is red even with market green OMG cant believe how low would it get when next phase of tanking starts
GODDY1,True,2019-05-24 12:04:00,9.625,CLDR alright folks Im going to stop watching this and come back to check after the er Have a great time watching Stay long
mastrhiggins,True,2019-05-24 11:39:00,9.633,CLDR Scared money dont make money
arminhad2,True,2019-05-24 11:23:00,9.678,CLDR I just bough some shares today at 984 it is for a long run of 7 10 years and I am happy with the price I got them I think you should buy this one and do not check its price daily It is not a hype stock to chase it everyday Good luck everyone
swingthetrade,,2019-05-24 11:22:00,9.675,CLDR bottom
mastrhiggins,,2019-05-24 11:17:00,9.66,CLDR Didnt expect any action before Holiday Tuesday should start to heat things up then 7 trading days before ER
RDYY,,2019-05-24 11:15:00,9.671,CLDR ops approaching all time low again I guess it will break this record every day from now on
evansmartin,,2019-05-24 11:12:00,9.681,CLDR what a dud
RDYY,False,2019-05-24 11:01:00,9.705,CLDR look at a stock named EB which dropped 30 after ER also due to acquisition impacting revenue growth and EPS
RDYY,,2019-05-24 11:00:00,9.705,CLDR desperation its gonna feel that soon probably after ER
GODDY1,,2019-05-24 10:59:00,9.705,CLDR what is the debt of CLDR anyways
Malota,,2019-05-24 10:55:00,9.703,CLDR Also should not be here short limitation active for the paper after loosing more than 10 one daySo we re droppping value with short limitation lol
