just_wondering,False,2019-03-25 15:58:00,7.695,TLRD Target 455
cashnout,True,2019-03-25 14:32:00,7.682,TLRD after each new low this went on to hit record highs Doubt that pattern will continue but expecting teens by Fall
TechTrader7379,,2019-03-25 13:53:00,7.637,TLRD Ive had enough going to start liquidating this Probably sellign the low but rather be focused on making money every day
Drock99901,,2019-03-25 13:47:00,7.671,TLRD Used to love Jos A Bank however 4 the quality of suit there were much much cheaper options at nearby shopstailors 4 my wedding
Roy_2018,,2019-03-25 13:23:00,7.723,TLRD When my eyes see red I go to bed
Roy_2018,,2019-03-25 13:23:00,7.723,TLRD Insider buysRaising epsUpgrades without any of this I dont see us moving upshort term
adamdevamp123,True,2019-03-25 13:06:00,7.717,TLRD Honestly I think its bottomed but its going to depend on some type of communication from Mgmt in this Mkt for any kind of a pump
Icahn_Haz_Monies,True,2019-03-25 12:53:00,7.7,TLRD nibbled at a few more at 768
Roy_2018,,2019-03-25 12:41:00,7.707,TLRD I am starting to lose confidence sadly maybe thats how Jeffries felt when they changed the rating haha tears on my account
MotherLodes,,2019-03-25 11:59:00,7.728,TLRD What does Strong Cash Flow mean
Roy_2018,,2019-03-25 11:56:00,7.741,TLRD just when it seemed to be recovering
Drock99901,,2019-03-25 11:41:00,7.805,TLRD Strongly suspect there will b a Divi cut as part of the cost savings plan 9 yield is not a sign of an undervalued stock its sign
rndyjensen,,2019-03-25 11:19:00,7.85,TLRD Here we go boys on are way to the very rare OUTSIDE DAY need to print 8 today with increasing volume over Friday 2647000 shares
rndyjensen,,2019-03-25 11:10:00,7.795,TLRD Looking for that 200000 print with green candle today that will be the sign that the OUTSIDE DAY will happen today
rndyjensen,,2019-03-25 11:04:00,7.794,TLRD Looks like and OUTSIDE DAY is in the cards for today that is a lower low than the previous day and a higher high need print of 8
adamdevamp123,True,2019-03-25 10:54:00,7.782,TLRD when was the last time Management communicated anything to shareholders
MotherLodes,True,2019-03-25 10:32:00,7.777,TLRD Same story different year
EstimizeAlerts,,2019-03-25 10:18:00,7.746,Wall St is expecting 013 EPS for TLRD Q1 Reporting 0612 AMChttpwwwestimizecomintrotlrdcharthistoricalmetricnameepsutmcontentTLRDutmmediumepsupdateutmsourcestocktwits
adamdevamp123,True,2019-03-25 10:04:00,7.82,TLRD lol there is no more shares left for panic sellers or short sellers
