fitbroweaver,,2019-03-25 15:06:00,3.581,CHFS still in will give it this week yet
TrevornT,True,2019-03-25 14:29:00,3.51,CHFS props to whoever is taking stoplosses out and taken those cheap shares That takes time and effort Gj
Fortune82,True,2019-03-25 14:20:00,3.51,CHFS
TRNXwillRecover,True,2019-03-25 14:13:00,3.46,TRNX CHFS BPTH TROV CEI SEEL OGEN DCIX INPX CREG DCIX TOPS MNGA Upcoming ER and breakout Stock practically owned by Tutes
buysellbkr,,2019-03-25 14:02:00,3.605,CHFS here we have dave1978 eating his lunch after failing to manipulate longs
buysellbkr,,2019-03-25 13:52:00,3.53,CHFS below we have shorty dave1978who sucks at his job
FromPenniesTOmillions,True,2019-03-25 13:50:00,3.53,CHFS We gonna have a SHORT ROAST this week BYOB tho covering is going to be painful
Ravern,True,2019-03-25 13:41:00,3.566,CHFS I blocked that fool Ek3 He is really a jerk
buysellbkr,,2019-03-25 13:31:00,3.555,CHFS loser dave1978 shit a brick when I said to put sell orders in highI guess the dummy short confirmed the obvious
Moneyman223,True,2019-03-25 13:24:00,3.595,CHFS
buysellbkr,,2019-03-25 13:17:00,3.6,CHFS block Loser short dave1978
TrevornT,True,2019-03-25 12:47:00,3.544,CHFS yall should really cut out all stop losses set limits high and wait but if not load up and enjoy the attack
FromPenniesTOmillions,True,2019-03-25 12:46:00,3.539,CHFS This short attack is providing an opportunity to establish a position
ek3,,2019-03-25 12:25:00,3.568,CHFS Short term not very good either Down 91 over the past year
ek3,,2019-03-25 11:58:00,3.56,CHFS 19200000 dollars invested in this co in 2012 is now worth a little over 3 dollars Not the best investment to say the least
buysellbkr,,2019-03-25 11:50:00,3.6,CHFS these dummy hedgefunds lost on this big in pastthey will try to recoverthere mistake will be retail wont sellforcing there losses
FromPenniesTOmillions,True,2019-03-25 11:44:00,3.6,CHFS Everyone remember this stock is under SHORT attack meaning they are attempting to activate stop loss sales to drive prices down
TrevornT,True,2019-03-25 11:38:00,3.641,CHFS everything is 100 volume blocks Bleh Im tempted to drop another 10k to start it but time isnt right yet
biostockguru,,2019-03-25 11:35:00,3.66,CHFS 05M FloatXBI greenTrades way below cashPotential 200 move
sisacsson,True,2019-03-25 11:28:00,3.668,CHFS wow just like that red to green move legoo
Wallskeet,False,2019-03-25 11:28:00,3.668,CHFS Dont want to be holding this at 117 dreaming of these days when I shouldve sold Look at the charts Theyll walk this down to 0
Ravern,False,2019-03-25 11:24:00,3.541,CHFS I would buy with all my cash But I have been saying that since 370 Dont trust me
Wallskeet,,2019-03-25 11:21:00,3.512,CHFS Pure fuckery going on here
Marco911,,2019-03-25 11:21:00,3.512,CHFS oof
Ravern,False,2019-03-25 11:15:00,3.456,CHFS lets make the sentiment bearish
sisacsson,True,2019-03-25 10:57:00,3.429,CHFS loading up a little more now they are shaking out shares on very low volumehold strong it will turn around soon
Mike__Hawk,,2019-03-25 10:57:00,3.429,CHFS HATE is a strong wordBut Im starting to have those feelings towards this stock hoping we have greener days ahead
TrevornT,True,2019-03-25 10:54:00,3.5,CHFS such small orders short attacking the shit out of this Good for us to get more cheap shares but damn lol
KingJames3,,2019-03-25 10:52:00,3.5,CHFS Well at least this turd of a CEO bought his own shitI can live with that for a few weeks
Ravern,False,2019-03-25 10:43:00,3.561,CHFS what a piece of shit that Im gonna hold strong
buysellbkr,,2019-03-25 10:33:00,3.61,CHFS this stock is one that you put a sell order much higher to prevent shorts from borrowing your stock actually would make a difference
THAT_BOY_DAYDAY,True,2019-03-25 10:22:00,3.623,CHFS in at 361 holding long lets go
flopy,True,2019-03-25 09:56:00,3.6,CHFS 20 days to see 5 or what
Marco911,,2019-03-25 09:54:00,3.6,CHFS lol did I miss something
FromPenniesTOmillions,True,2019-03-25 09:44:00,3.66,CHFS Shorts are trying very hard to keep this low their struggle is real you just cant keep a good guy downChucky
