WolfOfHarlem,True,2019-03-25 15:47:00,1.28,LMFA somebody wants El Cheapo shares HOLDING
mrinvestorpro,,2019-03-25 15:19:00,1.25,LMFA Im pretty sure everyone is aware its just a low floater that has history of big runs and is oversold But thanx mr Belford lol
mrinvestorpro,,2019-03-25 15:18:00,1.25,LMFA lol Jordan Belford is a short incase u havent figured it out yet folks Everyone is aware this needs volume to fly lol oh my
Iledes01,,2019-03-25 14:10:00,1.213,LMFA RSI in the 15 30 and 60 min is oversold we might see a small spike before it continues its downtrend tomorrow
Iledes01,,2019-03-25 13:46:00,1.22,LMFA RSI at 36 it should take a drop of 1015 to get it to 30 and then potentially see a reversal
Scargs,True,2019-03-25 12:05:00,1.212,LMFA SP forced down with very little money it works the other way as well of course We see strange things on the AIM market as well
JORDAN__BELFORT,False,2019-03-25 11:57:00,1.23,RHE ohh man the clowns the brought u LMFA are now all over this one be careful all dont fall for the scams and be smart with ur money
Iledes01,,2019-03-25 11:54:00,1.23,LMFA no buyers even at 124
sickgets,,2019-03-25 11:47:00,1.238,LMFA I was holding because this usually pumps I might sell for another and re enter next week
lotikhim,,2019-03-25 11:37:00,1.246,LMFA got out of this this morning Maybe next time
JORDAN__BELFORT,False,2019-03-25 11:34:00,1.246,LMFA how is that dead vol Pump Dump ticker treating you guys have you learned yet give the pumpers more money PLZ BAGS HERE
fred_trader,,2019-03-25 11:18:00,1.26,LMFA not at this price
fred_trader,,2019-03-25 11:17:00,1.26,LMFA there are no buyers
fred_trader,,2019-03-25 10:33:00,1.264,LMFA a very complicate situation
Iledes01,,2019-03-25 09:47:00,1.24,LMFA Well this is going at the very least to 1 maybe even lower
