CPKC,,2019-03-25 15:19:00,22.882,ARRY VSTM KTOS happy with todays movement
michalinho,,2019-03-25 14:57:00,22.84,ARRY will this stock make investors shizophrenic wuuuhhhaaaa crazy
Biotech99,True,2019-03-25 14:45:00,22.805,ARRY Areal there any conferences coming up where Ron might release updated data on Beacon
trader_b1,,2019-03-25 14:06:00,22.692,ARRY Ive asked for a truce then make VE statement on CRC Im LT bullish az1 knee jerk attacks attacks me claiming I ignored CRCLOL
midas7576,True,2019-03-25 13:53:00,22.71,ARRY Nice activity May 25 calls bought
SteveTexans,True,2019-03-25 13:51:00,22.679,ARRY twittercomarraybiopharma
Biotech99,True,2019-03-25 13:44:00,22.72,ARRY I SAID IT LONG AGO TRADER1 is short and tries use his BS charting to cover
michalinho,True,2019-03-25 12:57:00,22.72,ARRY time ago we dipped in such periods 5 to 7 now it is a stable rational company Nice ARRY
abqbob,,2019-03-25 12:30:00,22.763,ARRY baseballdailydigestcomnew
Biotech99,True,2019-03-25 11:55:00,22.598,ARRY Lets all get along when ARRY hits the 100 00 and it will we can all meet in the Caribbean Or Hawaii
midas7576,True,2019-03-25 11:28:00,22.919,ARRY 15900 BUY 22915
newbeeinvest,,2019-03-25 11:19:00,22.82,ARRY everybody 321 1122 am pls look for a post by quantcha about a covered call alert Has the same pps range of TA done by traderb1
thegooddoctor1,,2019-03-25 11:05:00,22.648,ARRY Got all my swingin shares back at 2230 Made 600 bucks You can tease me if you want I can take it
BlondeAmbition,True,2019-03-25 10:57:00,22.656,ARRY Up we go
SteveTexans,True,2019-03-25 10:51:00,22.65,ARRY This is a solid investment Midcaps become BP or BO How many people wished got in early Eli Lilly Merck or Pfizer Why bash it
gene63,True,2019-03-25 10:50:00,22.6,ARRY steady
Lunacy,True,2019-03-25 10:48:00,22.52,ARRY When all theres left to complain about is who has a better strategy traders vs investors I guess we have a solid ticker on our
srb123,,2019-03-25 10:46:00,22.534,ARRY everybody settle down this is ridiculous if you dont want to see somebodys messages mute or block them plain and simple
trader_b1,,2019-03-25 10:40:00,22.5,ARRY michalino Number of posts not the issue I am never the instigator or the aggressor I will however defend myself from lies
michalinho,,2019-03-25 10:37:00,22.495,ARRY 4posts to blame Steve and you scream about atacking
trader_b1,,2019-03-25 10:36:00,22.424,ARRY SteveTexans as a result TA allows you to follow the whales It doesnt make you one You can follow the whale or not ur choice
michalinho,,2019-03-25 10:35:00,22.435,ARRY what the hell is your problem Its enough
trader_b1,,2019-03-25 10:34:00,22.45,ARRY SteveTexans TA does not manipulate the mkt It tells you what the mkt is doing including those who have the cash to manipulate
trader_b1,,2019-03-25 10:33:00,22.492,ARRY SteveTexans believes that by reading a chart which tells you what the mkt is doing I can manipulate SP Its the 100 the opposite
trader_b1,,2019-03-25 10:26:00,22.359,ARRY Thought we called a truce Each trades their own wayBut SteveTexans continues to attack bc he doesnt understand TA
Ready4Action,True,2019-03-25 10:23:00,22.26,ARRY Double down 2227 fingers crossed
michalinho,,2019-03-25 09:49:00,22.3,ARRY to 2150 and we have 1st day of 1 spread
Ready4Action,,2019-03-25 09:48:00,22.282,ARRY How cute we got little scalpers Go big or go home
heavenlyton,True,2019-03-25 09:36:00,22.53,ARRY I love red start Jmho
