stocktowatch7,,2019-03-25 15:33:00,1.645,GERN here goes on stocksequitycomactivesto
gwik,,2019-03-25 15:08:00,1.65,GERN Day trading bs There is nothing inherently wrong with this thing
hitandruntothirdbase,,2019-03-25 13:39:00,1.667,GERN an update on the imetvenetoclax combo would be timely
gwik,,2019-03-25 12:24:00,1.7,GERN Statistics for a small cap biopharm getting its drug to a P3 are NOT huge This is 10yrs in the making Be silly to crap out now
srac84,True,2019-03-25 11:53:00,1.698,GERN added today
gwik,,2019-03-25 11:47:00,1.7,GERN Inverted yield curve Recession BS China owns our debt They wont let that happen Theyd lose too much Watchm step in
gwik,,2019-03-25 11:43:00,1.708,GERN IMO That new Dr that came onboard she should be the CEO Certainly qualified Scarlett should take a hike
gwik,,2019-03-25 11:40:00,1.71,GERN Once the P3 is OVERthats in 2 years wo a partner or bo the 52wk hi will be the norm Long wait but strong return IMO
gwik,,2019-03-25 11:36:00,1.71,GERN One thing for sure This will be the last year for this stock to be at these lows Not sure how high it WILL go but by EOY 2x 3x
susananderson,,2019-03-25 11:21:00,1.705,GERN part 2
susananderson,,2019-03-25 11:20:00,1.704,GERN I hope INCY bids then gets outbid by AbbVie
dashtone,True,2019-03-25 11:17:00,1.71,GERN penny up and penny down dont care long run is still bright hold strong and avg down as much as I can
dashtone,True,2019-03-25 11:15:00,1.71,GERN I know there are a lot rats out there trying to push this down with lawsuits and other nonsense F u all thugs GERN with thrive
Mail_Dog,True,2019-03-25 11:15:00,1.71,GERN Dp drifting with IBB Could see a green day today if IBB stays positive
dashtone,True,2019-03-25 11:13:00,1.699,GERN when it comes to GERN all I care is stability above 1 Everything else will be perfect in due time
TradinUp007,True,2019-03-25 09:50:00,1.664,GERN could get ugly on no news and inverted yield curve Investors pulling out of risky stocks aka most of biotech
