Dachshundtrader,False,2019-03-28 15:51:00,0.4209,BLRX knock knock Whos there Reverse Reverse who
djcal,,2019-03-28 15:14:00,0.4249,BLRX I would be looking to see if BRLX files a proxy with the SEC everyday If they do RS is coming
bessadok,,2019-03-28 15:12:00,0.422,BLRX the fact that there is no sell off is a good sign whoever saying tutes r selling is wrong
djcal,,2019-03-28 15:04:00,0.4249,BLRX boogeyman keeping it down
djcal,,2019-03-28 15:04:00,0.4249,BLRX Add what i have said and the fact that this is attacked everyday by 0103 flippers makes it ridiculous No there is no MM
djcal,,2019-03-28 14:54:00,0.422,BLRX takes off from there Look what BPTH did They did an offering then a RS and then released data all in a short span
djcal,,2019-03-28 14:53:00,0.4203,BLRX If they know the data is good i think the do a 1 for 8 RS to bring the price to 320 and then release the data soon after and price
djcal,,2019-03-28 14:44:00,0.4249,BLRX BLRX has only done 1 RS in 2015 and that was to make Israelli share US shares
djcal,,2019-03-28 14:42:00,0.4205,BLRX Come June 3 if the request another 6mo and no RS this will rocket
djcal,,2019-03-28 14:41:00,0.4225,BLRX If they do a RS without requesting another 6mo to bring the price up before data they will loose current shareholders confidence
djcal,,2019-03-28 14:40:00,0.4225,BLRX If they request another 6mo without RS that would lead into December when data is expected from trials
djcal,,2019-03-28 14:39:00,0.4249,BLRX The reason this stock doesnt go up is because of one question that needs answering Will BRLX request another 6mo or RS b4 6319
Erichtimm0427,True,2019-03-28 14:38:00,0.4199,BLRX I feel like this thing is gonna pop very soon
V2018,,2019-03-28 14:26:00,0.4162,BLRX Announcing reverse split like ADXS
humour,,2019-03-28 13:58:00,0.4147,BLRX Yikesthis is Israel based penny biotech for you
BioBee,,2019-03-28 13:48:00,0.4179,BLRX Just one word on the conference callPathetic
royv2k71,,2019-03-28 13:40:00,0.417,BLRX almost down 7 nice bounce few more weeks and I will have lost my entire invstment its a completely worthless stock
Dark_prince,True,2019-03-28 13:31:00,0.4162,TTPH AXGT BLRX all 3 have AML catalysts and Im loading up on these
MaximilianOtte,,2019-03-28 13:29:00,0.4125,BLRX We read and enjoy
MaximilianOtte,,2019-03-28 13:28:00,0.4125,BLRX seekingalphacomarticle42
zaza1,True,2019-03-28 13:13:00,0.4177,BLRX algorithm in control
LockMan,True,2019-03-28 13:02:00,0.4186,BLRX Well at least most of the board is negative now Hopefully that means we will go up from here
Tizzybit,,2019-03-28 12:52:00,0.4147,BLRX at this moment he realized he probably messed up xP
Neil_Armstrong,,2019-03-28 12:49:00,0.412,BLRX told yall yesterday to wait on buying Hope you listened
blackfish10_Twits,False,2019-03-28 12:46:00,0.4152,BLRX One entity was creating extra selling pressure yesterday Everyone should have sold then They control PPS not lil guy
blackfish10_Twits,False,2019-03-28 12:45:00,0.4152,BLRX Never question your gut feeling It stock doesnt react as it should Always sell itThis is a perfect example
blackfish10_Twits,False,2019-03-28 12:42:00,0.415,BLRX Almost down 20 from just the highs yesterday on what was suppose to be good news I think it was just rehashed news
risenhoover,,2019-03-28 12:39:00,0.4169,Also if you are new to BLRX heres some background for you httpsfinteliob17462blrxbiolinerxltdstockresearchreport
risenhoover,,2019-03-28 12:39:00,0.4169,BLRX BioLineRx files form 6K httpsfinteliosusblrx
risenhoover,,2019-03-28 12:38:00,0.417,BLRX BioLineRx files form 20Fhttpsfinteliofilingsusblrx
elijahpaul888,False,2019-03-28 12:20:00,0.4199,BLRX im out
Kevin_Wolcott,,2019-03-28 12:04:00,0.4208,BLRX so topline w MDACC pushed to 2020 and releasing partial data in 1H 2019 instead The rest 2H 2019
gargoyl,True,2019-03-28 11:53:00,0.4234,BLRX Form 20F ER reported both SEC filings READ the 100 pages Do your diliI found this gem others regarding futr milestones
blackfish10_Twits,,2019-03-28 11:44:00,0.4249,BLRX Big Players sold this yesterday They are slowly buying back but they know there is no rush DEAD MEAT PPS under 45 next 30 days
Susu_Rafraf,,2019-03-28 11:40:00,0.4202,BLRX thats my last 1600 left from the buy Had to sit it above 42 too many buys in there
Susu_Rafraf,,2019-03-28 11:26:00,0.4211,BLRX picked up a fewThousand more of these this morning I guess well see if that works out
RockinWithDokken,,2019-03-28 11:26:00,0.4211,BLRX I think they released that good news yesterday as a cover for institutional dumping
RockinWithDokken,,2019-03-28 11:25:00,0.4211,BLRX Has there been a delisting notice yet
RockinWithDokken,,2019-03-28 11:24:00,0.4211,BLRX I hate this stock Like CLD and look where that went
TheRealGil,,2019-03-28 10:49:00,0.4243,BLRX Tired of it raise case stock drops to cash value Im here because 8040 looks like it has potential in conjunction with keytruda
Jbanger,True,2019-03-28 10:43:00,0.421,BLRX small cup in handle forming on daily
TheRogers,,2019-03-28 10:39:00,0.4205,KevinWolcott Hi Kevin question for you what are you more confortable between PTI TRIL BLRX LPTX What is your first pick
cloudforever,,2019-03-28 10:20:00,0.4244,BLRX hmwhere is KevinWolcott when we need him
royv2k71,,2019-03-28 10:20:00,0.4244,BLRX exactly the company is saying while the stock keeps tanking we want you u to hang in there until we file Chap 7 bankruptcy
jc10138,,2019-03-28 10:20:00,0.4244,BLRX Great pipeline and big things to come Get in hold and be patient Add when you can Certainly no risk at this price
cubfan22,,2019-03-28 10:16:00,0.4156,BLRX Wow this is getting down near cash value Shocking with the pipeline they have going here Its like its worth nothing
royv2k71,,2019-03-28 10:16:00,0.4156,BLRX we look forward to providing future updates throught out the year How nice of them
Jbanger,True,2019-03-28 10:16:00,0.4156,BLRX FDA APPROVAL FOR 12 YEARS
alexvanr,,2019-03-28 10:10:00,0.4199,BLRX walletinvestorcomstockfo
LockMan,True,2019-03-28 10:09:00,0.42,BLRX Curing cancer I guess isnt what people need They need more pixels in their camera so they can take better selfies
LockMan,True,2019-03-28 10:08:00,0.42,BLRX the ER all sounded great to me and it drops Maybe if they invented something important like a better smart phone it would soar
jsp4423,,2019-03-28 10:07:00,0.4201,BLRX updates throughout the year
cubfan22,,2019-03-28 10:06:00,0.4201,BLRX Cmon Phil Give us a surprise in the CC
Neeners,,2019-03-28 10:02:00,0.4194,BLRX conference call is starting now
KonaStar,,2019-03-28 10:00:00,0.4197,BLRX most of these people saying AddedLoading UpCheap SharesBacking The Truck Up aint paying crap If so very minimal
jsp4423,True,2019-03-28 10:00:00,0.4197,BLRX added back
royv2k71,,2019-03-28 09:57:00,0.4193,BLRX another fine red day down 6 just terrific
cubfan22,,2019-03-28 09:54:00,0.4215,BLRX Conference call on ER coming up in 5 Lets see if we get any further details
newnormal,True,2019-03-28 09:52:00,0.425,BLRX Added Very exciting prospects Willing to wait for big time
cubfan22,True,2019-03-28 09:49:00,0.426,BLRX People are picking up really cheap shares today Good if you can get em Wish I had available funds to average down more
cloudforever,,2019-03-28 09:46:00,0.4269,BLRX ER is just ok
cubfan22,True,2019-03-28 09:40:00,0.4298,BLRX Indicators show how cheaply valued this is so not sure what the wait is for Licensing agreement or FDA approval coming soon
jsp4423,,2019-03-28 09:37:00,0.4268,BLRX is top line data for phase 2a still by Mid year KevinWolcott
AOT,,2019-03-28 09:31:00,0.4208,BLRX smart people will be adding here
Tizzybit,True,2019-03-28 09:30:00,0.4204,BLRX guess Im sticking around a little longer
