Brasher270,,2019-06-11 15:52:00,1.637,EYPT is it done running
tediwatchmarkets,,2019-06-11 15:41:00,1.62,Heres the deal with EYPT iwatchmarketscom2019061
Trader7981,,2019-06-11 15:41:00,1.62,EYPT can it hold
Cream4349,True,2019-06-11 15:38:00,1.64,EYPT close above 16 and we could build to next BB resistence at 19 Also made this trade pool side
Cream4349,True,2019-06-11 15:36:00,1.652,EYPT YESSSS did i call ph or what wish i took my gut instincts and bought 152 in at 156 lets not be picky
ShortSuckieTuckie,,2019-06-11 15:34:00,1.66,EYPT Cmon lets see 400k volume on the close
magicsf18,True,2019-06-11 15:28:00,1.631,EYPT
kingofGotham,True,2019-06-11 15:27:00,1.621,EYPT remember what I said before market opened about Jan 3rd that 21 spike We are overdue
Maximus99,,2019-06-11 15:27:00,1.621,EYPT This sucks the stock is going up What is the reason Get my bonus money on Monday 617 Would Luv Luv Luv to buy below 150 Come on shorts do me a favor and short this stock back to 150 Plzzzz
theworldyoulove,True,2019-06-11 15:18:00,1.612,EYPT anyone know what the float is
Trader7981,,2019-06-11 14:37:00,1.595,EYPT sell OCUL Buy
Jiffyjiffy,False,2019-06-11 14:37:00,1.595,EYPT ocul CEO bought shares stock up 21 Nancy bought stock down 20 Fire her Now
cranmer00,True,2019-06-11 14:37:00,1.595,CJJD our China PLay is Breaking out Today from our sms Alert BAY BAY EYPT holding from text pushing up well NBY HAS to hold this trend brreak for an EOD run its best shot at itREKR SWING OF THE WEEK FOR THE TEAM YEEEE HAW 40
CaptainTwits,,2019-06-11 14:36:00,1.595,EYPT hey Chris displaystocks can u invite all of the damn snowflakes here that blocked me when I criticized the CRG loan to unblock me Getting too hard to follow some posts Ima significant SH here ask IR but you and my fellow bigs know Ive been 100 accurate in calling every single price dynamic here up and down since before they were even eypt
Trader7981,,2019-06-11 14:32:00,1.6,EYPT knew I should have got OCUL
PizzaTime,,2019-06-11 14:30:00,1.597,EYPT 161 close would be dreamy
Cream4349,True,2019-06-11 14:17:00,1.562,EYPT closing 16
Jiffyjiffy,False,2019-06-11 14:13:00,1.565,EYPT well Nancy is heavily paid in salary so who gives fun about her few k shares She cut best deal to her cronies and now shes doing even more damage to this company Sooner or later board will agree to fire her Fire her
ShortSuckieTuckie,,2019-06-11 14:06:00,1.56,EYPT Come On Nancy girl this is how its done Pizza Face Chrissy girl have faith in you Even I put some s into this dont lay a big ole fart on us
Cream4349,True,2019-06-11 13:42:00,1.53,EYPT 80 buyers will get on traders radar if gains hold today
Jiffyjiffy,False,2019-06-11 13:35:00,1.53,EYPT even 145 is also possible Bring her to 105 and fire Nancy Then we might see some movement
Jiffyjiffy,False,2019-06-11 13:23:00,1.55,EYPT I will believe once you some sample of your past adventures nancys minions talks rubbish just like her
Jiffyjiffy,False,2019-06-11 13:22:00,1.56,EYPT dump inbound
BallRipper1987,True,2019-06-11 13:20:00,1.575,EYPT I will rip your balls off
Jiffyjiffy,False,2019-06-11 13:14:00,1.575,EYPT thanks fundamentalvalues Appreciate your kind words Something that majority of bulls lack on this board
FundamentalValues,,2019-06-11 13:12:00,1.575,EYPT thanks to Jiffy for the nice pop145 to 158taking profitsI like daily money while I hold my other long term holdings
Jiffyjiffy,False,2019-06-11 13:12:00,1.575,EYPT going up on few k shares Yeah someones ramping her up so that they can exit with minimum losses Simple as always
Trader7981,,2019-06-11 13:04:00,1.575,EYPT 150
traderjoze,,2019-06-11 12:58:00,1.575,OMER EYPT in competition with Omidria
Trader7981,,2019-06-11 12:55:00,1.575,EYPT thinking 15 close
Cream4349,True,2019-06-11 12:52:00,1.58,EYPT i got in the 13 of full position under 16 is good right now
Cream4349,True,2019-06-11 12:21:00,1.525,EYPT
Cream4349,True,2019-06-11 12:20:00,1.524,EYPT now thinking reversal in play anyone else see the double bottom at 143 on the daily yesterday was a doji today strong buying accumulation rsi at 40 range might wait until tmw to see if we close higher 155 is tough to break
Jiffyjiffy,False,2019-06-11 12:19:00,1.528,EYPT not moving
Cream4349,True,2019-06-11 11:19:00,1.525,EYPT order in at 139 I think this week ends red then hopefully a run up into Q2 earnings
CriticalCapital,True,2019-06-11 10:19:00,1.505,EYPT thinkk the bulls may have done it here folks Been watching the tape for days and today feels like the day to get in Long in size
H73,,2019-06-11 10:03:00,1.517,EYPT latest exec appointments Ok I get dr Saim but Scott Jones as chief commercial officer has me a bit lost It seems his background is more on the medical device side and not in the pharmaceutical drug commercializationany one see something Im missing
fnu2,True,2019-06-11 09:57:00,1.52,EYPT OCUL trading higher every day but EYPT stays the same doesnt make any sense
BadGas,,2019-06-11 09:43:00,1.51,EYPT Jiffy whos payroll are you on Your not an investor here are u
Jiffyjiffy,,2019-06-11 09:36:00,1.5,EYPT nope No ones buying Dive begins in minutes
