paul36,True,2019-06-04 15:56:00,2.45,ALT damn someone chewed all into that 13k ask at 245
Jasonbush,,2019-06-04 15:52:00,2.45,ALT she kinda stagnant
ells13,True,2019-06-04 15:40:00,2.447,ALT its POWERLESS HOUR
Cchristodoulou,True,2019-06-04 14:59:00,2.45,ALT its time for our favorite POWAAAA HOUWAAAS
maltdmark,,2019-06-04 14:35:00,2.444,ALT couple other swingholds also kinda stagnant but at least my DRYS is doing nicely today we gotta have something keep the lights on right
maltdmark,,2019-06-04 14:20:00,2.47,ALT ok guys see now you get taste what happens to me when i go on these 10day no drinking runs no Bacardi too much deep thought emotion wired but least im aware of it right now wsome of your help ill put it back in the bottle so to speak GLTA
alprazolam,False,2019-06-04 14:11:00,2.47,ALT
petikal,True,2019-06-04 14:05:00,2.448,ALT still not throwing a bone I guess we just need to focus on a buffet cuz you know bones are for dogs
maltdmark,,2019-06-04 13:59:00,2.45,ALT one of toughest aspects in a situ like this one is not being privy to the keyforward information that certain people already have and gain continued access what just happened yesterday again in ABIO 50 day OON closed 30 down 6 today what would that do for everyone here alot can happen here and everything changes on a dime yes that is possible so is also possible now to restest 52wk so many variables technical fundamental with no solid answers moreover a real lack of communication via PRs let alone SH reaching out directly and getting panned replies its not just secrecy its very poor action for communication wSH their real in a public Co and look how they treat people when they again attempt to reach out for a bone of info
AlanazNYtwits,,2019-06-04 13:57:00,2.45,ALT ATOS everything is green today except these two hoochies
maltdmark,,2019-06-04 13:52:00,2.45,ALT at any rate its healthy then for us to discusswork together even harder such as rob does regularly and bobby hatrak2 has just recent uncovered some tangible info if constructive discussion can alleviateremove some emotion from the mix for our ups downs then thats good but we goota try and deduce how long this canwill drag out and some accurate as possible pps levels they have likely broken key technical levels to keep people away and that does work and i know bobby hatrak2 and i talked about that a while back too
maltdmark,,2019-06-04 13:42:00,2.45,ALT can i ask seriously how many who hold relative large and are carrying here again bcz all is relative to each person big loss how many very very close to liquidate and move on to start feeling some energy and making again maybe if you feel better touch base over on DM to discuss for myself im hairtrigger away i think although id likely leave shares in the ROTH IRA just exit the cash acct large block like gopher just mentioned and i touched on too typical small cap recovery or spike move usual 1030ish is it worth it most gonna still be hit so hard anyhow can make it somewhere else and start feeling human alive and good again most of us been together 1 week shy of 4 months now is not to make waves just some venting and 2 cents FWIW
RubberJ,,2019-06-04 13:40:00,2.45,ALT pfffff what a shit stock Market doesnt see value I am stuck with far too many shares
Thinkingmanstwits,,2019-06-04 13:39:00,2.45,ALT I would like to remind everyone that they put no volume in when we were sub 240 even down at 170 they didnt insert any real volume until 240s and up then execs at 260 then shorts at 270
ells13,,2019-06-04 13:31:00,2.45,ALT I knew this shelf would cause major issues
Big__Papa,,2019-06-04 13:28:00,2.45,ALT volume is pathetic Price will drive down til buyers are actually interested Need news
thegopherTwits,,2019-06-04 13:20:00,2.46,ALT wow some stocks are rocking today and this doesnt even budge please tell me why we are all obsessed with this shix stock that will probably only pop 20 before they dilute I dont even know anymore
maltdmark,,2019-06-04 13:18:00,2.46,ALT so we will def need to found and then assemble a handpicked Consortium of solid guys to work together but with a certain cough cough ticker banned to the DNT shizzlist permapinned up on the office corkboard
maltdmark,,2019-06-04 13:11:00,2.45,ALT ya know im really gonna miss some of you guys whence i am the fack out of this living hellhole
gravytrail,,2019-06-04 13:07:00,2.47,ALT if i sold everything yesterday I would have made already made back 25 of my loss or so today haha but I sit and wait like a bowl of congealed gravy for this company to create shareholder value sigh
mharrington5650,,2019-06-04 13:04:00,2.464,ALT Piss on it
mharrington5650,,2019-06-04 13:03:00,2.464,ALT This should really be green today
ells13,,2019-06-04 12:51:00,2.464,ALT we should be following suit with the IBB and be in the late 2526 range but no we left in the tail winds
hatrak2,,2019-06-04 12:51:00,2.464,ALT Does anybody know how many shares are short
maltdmark,,2019-06-04 12:47:00,2.47,ALT A A B C D E A A A A B A A ABCDEFGHIJKLMNOPQ A B A B A A
ells13,,2019-06-04 12:28:00,2.47,ALT hello hello are you stuck
Conflitm749,,2019-06-04 12:27:00,2.47,ALT only red in my watch listwhat a turd
maltdmark,,2019-06-04 12:16:00,2.47,ALT 1 2 3 all together now If I ever get out of here all I need is a pint a dayif I ever get outta hereif we ever get outta of here
Thinkingmanstwits,,2019-06-04 11:48:00,2.473,ALT this is their last month to keep their word
Thinkingmanstwits,,2019-06-04 11:47:00,2.473,ALT why even put dates and timelines if we dont follow them
popndrop1,,2019-06-04 11:38:00,2.471,ALT Why isnt this at 10 yet it has all the pumpers behind it cmon man
maltdmark,,2019-06-04 11:23:00,2.478,ALT
thegopherTwits,,2019-06-04 11:08:00,2.469,ALT hate this shix stock
Thinkingmanstwits,,2019-06-04 11:06:00,2.469,ALT biotechs been popping off nothing has held a gain in this market remember that
Big__Papa,True,2019-06-04 10:23:00,2.462,ALT loaded more
petikal,True,2019-06-04 10:12:00,2.45,ALT low volume continues most weak hands are gone and not much DCA going on just resilient patient folks trapped and hoping for the big payday
maltdmark,,2019-06-04 10:10:00,2.45,ALT current L2 dataup top click full view
maltdmark,,2019-06-04 10:09:00,2.45,ALT PC 248 OPEN 247 LOD 246 HOD 249 VOLlow 20Ktues suppresistS3 228 S2235 S1 241 PP248 R1 254 R2261 R3267MAs all declining 247 248 259 282 292 425RSI14 41 70335 1MOH 308 13WKH 594 52WK 1703625
maltdmark,,2019-06-04 09:51:00,2.48,ALT yeesh the volume or lackof
Conflitm749,,2019-06-04 09:51:00,2.48,ALT fag
