Ge8888,True,2019-06-04 14:53:00,1.043,ANFI
christinebond,,2019-06-04 14:14:00,1.04,ANFI Technical chart claims that the stock will settle between 099share to 103share level
christinebond,,2019-06-04 14:13:00,1.04,ANFI Twoweek RSI stands at 5028 This figure suggests that stock for now is neutral meaning that the shares are stable in terms of price movement
christinebond,,2019-06-04 14:13:00,1.04,ANFI The one year price forecast for ANFI stock indicates that the average analyst price target is 6 per share
christinebond,,2019-06-04 14:12:00,1.04,ANFI The stock sets an active trading volume day with a reported 280988 contracts so far this session
christinebond,,2019-06-04 14:12:00,1.04,ANFI Looks like institutional buying support coming in the stock to keep it above 10 levels
christinebond,,2019-06-04 14:10:00,1.04,ANFI the stock is in demand
christinebond,,2019-06-04 14:10:00,1.04,ANFI the immediate target is 110 in this week if it sustains buying
christinebond,,2019-06-04 14:09:00,1.04,ANFI good buying coming in to support the stock at the lower levels
christinebond,,2019-06-04 14:09:00,1.04,ANFI The stock has rebounced totally
swingtrade7,True,2019-06-04 10:35:00,1.182,ANFI get some
NewStockguy87,,2019-06-04 10:33:00,1.172,ANFI should i get in at 120 or is it too late
DFK,True,2019-06-04 10:32:00,1.187,ANFI up 20 previous runner two weeks or so ago
Cdoch1,,2019-06-04 10:30:00,1.163,ANFI days not yet but call on ANFI
formerlysteelcity2,True,2019-06-04 10:29:00,1.075,ANFI what did I say Down on pitiful volume so it was obviously going to snap back Traders only win Longs lose
larkspurdave,,2019-06-04 10:12:00,1.033,ANFI spike
Cdoch1,,2019-06-04 09:54:00,0.9682,ANFI over sold af
