StockHeads,,2019-06-04 14:17:00,2.11,OPTT a breakout play above 104 is SSI SSI BREAKOUTS COULD SPIKE THIS STOCK LIKE OPTT
Chadj1575,True,2019-06-04 14:09:00,2.12,OPTT
StockMarketdiaper,True,2019-06-04 13:19:00,2.116,OPTT love the ones trying to get it down Playing swings Thats fine But when this gets news will open Dollars up Not cents Im not risking the in and out Just me
buysellbkr,,2019-06-04 12:54:00,2.137,OPTT 175
StockMarketdiaper,True,2019-06-04 12:07:00,2.142,OPTT we hit 250 this afternoon IMO
StockMarketdiaper,True,2019-06-04 11:47:00,2.119,OPTT look at 5 day chart 210 bottom
AZOZ,True,2019-06-04 11:29:00,2.119,OPTT oversold worth to keep close eye on it folks
Upperwards,,2019-06-04 11:18:00,2.15,OPTT this really ran to the teens
PeaceOfMind,False,2019-06-04 11:07:00,2.12,OPTT George has been pretty quiet on his twitter should see some fluff posted today in the SP continues its downtrend
PeaceOfMind,False,2019-06-04 11:01:00,2.119,OPTT June announcement already reflected in the price the announcement that they will be delivering a Buoy to a client Old news
StockMarketdiaper,True,2019-06-04 10:56:00,2.103,OPTT good luck on those waiting June announcement coming
PeaceOfMind,False,2019-06-04 10:41:00,2.134,OPTT 3 day rule wait for 175 again if you looking to enter
PeaceOfMind,,2019-06-04 10:38:00,2.131,OPTT may get back in again after selloff still ticking higher at CVEO always like playing BBW for a swing love them Bears
Chadj1575,True,2019-06-04 10:16:00,2.163,OPTT holding
