Obake,,2019-02-14 15:58:00,2.635,ACRX oh we might finally breakthrough 50 MA close it
Tdc1,True,2019-02-14 15:57:00,2.625,ACRX squeeze em
techniepedia,True,2019-02-14 15:57:00,2.625,ACRX Super Bullish
techniepedia,True,2019-02-14 15:54:00,2.61,ACRX I want it to touch 263 50dma
anonymous111,,2019-02-14 15:49:00,2.605,ACRX It Hass to be like 15 to 20 days to cover at this volume I wouldnt want to be in that position
evenmorehating,True,2019-02-14 15:33:00,2.605,ACRX just bought 400 more Something gotta give
Tdc1,True,2019-02-14 15:09:00,2.603,ACRX Aggressive tute buying and adding in Q4 Bullish
SullaMaximusDictatorRome,,2019-02-14 15:09:00,2.603,ACRX Institutional Shares 13124334 Now Up to 2120 ex NQ and climbinghttpsfinteliosousacrx
ChartMill,,2019-02-14 14:45:00,2.599,With a Debt to Equity ratio of 015 ACRX is one of the better performing companies in its industry chartmillcomanalyzephpu
InsiderForms,,2019-02-14 14:43:00,2.594,TWO SIGMA ADVISERS LPhas filed Form 13F for Q4 2018Opened NEW positions in ADT AGCO AKS AMCX ACAD ACRX ACIW ATVI ADXS AMD AGI
InsiderForms,,2019-02-14 14:43:00,2.594,MOORE CAPITAL MANAGEMENT LPhas filed Form 13F for Q4 2018Opened NEW positions in AMCIU ACRX ALTM BBL BERY BIIB BLMN BA BWMCU
InfoTheory,True,2019-02-14 14:41:00,2.596,ACRX yawn
Manifest87,,2019-02-14 14:38:00,2.6,ACRX I dont get it but Im still buying
SullaMaximusDictatorRome,,2019-02-14 14:37:00,2.595,ACRX MORGAN STANLEY has filed Form 13F and opened a NEW Position 197521
GODcollin,True,2019-02-14 14:37:00,2.595,ACRX id bet theres an announcement Monday this bad boy is being held down for a reason
mdmitc,,2019-02-14 14:37:00,2.595,ACRX V8 Dr LEGO double 0 and manicure are probably working for Tutes to scare retail out of cheap shares They did a good job
Manifest87,,2019-02-14 14:37:00,2.595,ACRX SO with all these institutions buying why isnt the SP going up Who is selling the shares they are buying What am I missing
SullaMaximusDictatorRome,,2019-02-14 14:26:00,2.6,ACRX Exoduspoint Capital Management Lp has filed Form 13F for Q4 2018Opened NEW position
InsiderForms,,2019-02-14 14:17:00,2.593,Boyer Corporon Wealth Management LLChas filed Form 13F for Q4 2018Opened NEW positions in ACRX ETE ERUS EBND SCHB SCHZ GDX
Steve_TheBull_Rogers,,2019-02-14 14:12:00,2.594,ACRX So studying the chart the past week we are gradually getting higher If we finish this week on 270 then news will put us to 4 GLTA
Goodfellasfinancial,,2019-02-14 14:01:00,2.6,ACRX hold that 260
filmaiello07,True,2019-02-14 13:53:00,2.595,ACRX httpsfinteliosobusacrx vanguard last year December upped it to over 2mm shares
anonymous111,,2019-02-14 13:39:00,2.592,ACRX wait guys if hes a lego he has no genitals NOW IT MAKES SENSE
SkippyJack,,2019-02-14 13:37:00,2.593,ACRX DrTalbytron Dr Talbytron aka Raeford Brown
raylin,True,2019-02-14 13:29:00,2.59,ACRX Dr LEGO could be Dr Brown still venting after missing the ADCOM also sounds a bit like multiID Ret00pa but much better grammar
godFatherfrazer,True,2019-02-14 13:29:00,2.59,ACRX uh oh I dont know what to do all these buyers selling short Its a catastrophe
anonymous111,,2019-02-14 13:25:00,2.585,ACRX which is it Overly restrictive or dangerous opiates Bashers want to use both as a negative But they are mutually exclusive
DrTalbytron,,2019-02-14 13:16:00,2.59,Happy Valentines Day From TRVN To ACRX
InsiderForms,,2019-02-14 13:13:00,2.585,Alpine Global Management LLChas filed Form 13F for Q4 2018Opened NEW positions in AKS AXAS AKAO ACRX ACHN ATVI ADMP AKRX ALYA
TunicaKid,True,2019-02-14 13:11:00,2.58,ACRX Pls be correct
lanream,,2019-02-14 12:56:00,2.58,ACRX Getting ready to pop people5 next
anonymous111,,2019-02-14 12:45:00,2.581,ACRX We got that bullish engulf buy signal
anonymous111,,2019-02-14 12:44:00,2.58,ACRX hey dr LEGO sounds more like you took a hypocritical oath
Tdc1,True,2019-02-14 12:30:00,2.574,ACRX squeeze Please
DonkeyBoy17,,2019-02-14 12:27:00,2.58,ACRX Finally above 261 I have to admit I think she is slowly starting to grind upward Im hoping to hear sales to mover her higher
godFatherfrazer,,2019-02-14 12:24:00,2.59,ACRX pls post lvl 2
Ronaldo86,,2019-02-14 12:17:00,2.598,ACRX The panel of physicians who attended the Investors Conference in December provided an excellent summary of Ds clinical applications
filmaiello07,True,2019-02-14 12:14:00,2.59,ACRX httpsfinteliosousacrx no stopping TUTES from coming in Some people have no clue on what this really means
SkippyJack,True,2019-02-14 12:07:00,2.596,ACRX DrTalbytron What is your hate for this stock did it cause you to loose your mtg I can understand some bashing but you are xtreme
anonymous111,,2019-02-14 12:06:00,2.595,ACRX if we can touch 2615 then were bullish engulfing
SullaMaximusDictatorRome,,2019-02-14 12:06:00,2.595,ACRX SUSQUEHANNA INTERNATIONAL GROUP LLP added 528627
BiotechJunkie,True,2019-02-14 12:03:00,2.595,ACRX 1638 and keeps moving up
Tdc1,True,2019-02-14 11:58:00,2.58,ACRX Wow Impressive Tutes aggressively added started new positions in Q4 6 of 15 listed have yet 2 report Ave SP in Q4 about 340
jtdesz,True,2019-02-14 11:54:00,2.58,ACRX block lego guy Annoying
godFatherfrazer,True,2019-02-14 11:53:00,2.572,ACRX institutional ownership has increased over 100 Must be a bad sign right bears They are prolly all short right right
SullaMaximusDictatorRome,,2019-02-14 11:51:00,2.578,ACRX Institutional Shares 12529260 2024 ex NQ
OldTimeMoney,True,2019-02-14 11:37:00,2.58,PTI RationalBiotech Thanks for you insights Im in PTI now Also ACRX EKSO SESN Starter position in AVEO
DrTalbytron,,2019-02-14 11:34:00,2.57,ACRX Trauma patient in the ED with 1010 pain has no IV You give Dsuvia Yay Patient becomes hypotensive stops breathing Now what
DrTalbytron,,2019-02-14 11:26:00,2.572,ACRX Can anyone here tell me the ABCDEs of a primary trauma survey The patients who would supposedly be getting D
hiberuptor,True,2019-02-14 11:26:00,2.572,AQST VLRX ACRX Large Insider and tuts buys before major catalysts to come Uprising trend before breakout Like recent APDN action
johnnyglass86,True,2019-02-14 11:23:00,2.58,ACRX my apologies sir Im done have a good day all
