sully101,True,2019-02-14 15:57:00,0.9991,BIOC added10k total
PUTTINONRITZ,,2019-02-14 15:34:00,1.008,BIOC PPL TRUMP SIGNED SPENDING BILL BUT IS DECLARING NATL EMERG ON BORDER WALLSO BEARS THIS IS YOUR 25MIN CHANCE LET GO COVER FRI FACERIP
movingfast77,True,2019-02-14 15:32:00,1.002,BIOC BEARS will soon be trapped forced to buy and cover will create a fast upward movement if you raise your limits high price will rise
movingfast77,True,2019-02-14 15:28:00,1.001,BIOC if you bought at 3 last month come back weeks later and its at 4 or higher didnt matter where it was at inbetween that time
ibson_iba,True,2019-02-14 15:26:00,0.9998,BIOC yall need to chill man Even a plane need to run a bit before taking off sit belt one please
AleksEars1,True,2019-02-14 15:22:00,0.9997,BIOC all longs sold at 34 with no news i renter at 1 for 20k my limit sale is at 59 it will take a month to go there
jpd555,,2019-02-14 15:22:00,0.9997,BIOC as the chart shows it may pull back 10 more but watch for a jump then
HouseofJenga,True,2019-02-14 15:21:00,0.9994,BIOC Consolidating near 100 before next news event Earnings on Feb 26 Anyone got other news announcement dates
LoOseMoNeY,True,2019-02-14 15:16:00,0.9975,BIOC just spent 12 mins on the phone with Jody from LHA IR firm bioc uses incredible lady answered everything and beyond Call yourself
jpd555,,2019-02-14 15:15:00,0.9977,BIOC its history Dec at 080 then mid Jan jumps one day to 3 its maybe a big fund starting a position with huge Vol
LoOseMoNeY,,2019-02-14 15:14:00,0.9996,BIOC Sideways jig all week My shares dont have interest attached Its all good
LoOseMoNeY,True,2019-02-14 15:13:00,0.9995,BIOC MrDaniel88 And What are you going to do if it doesnt Block hide from your worthless comments
LoOseMoNeY,True,2019-02-14 15:12:00,0.9995,BIOC smartinvestor94 Based on what Being sub 1 You mean possibly start a 1yr process that wont happen yeah ok doors that way toots
mrWOOOO,,2019-02-14 15:11:00,0.9998,BIOC lame
smartinvestor1994,,2019-02-14 15:05:00,0.9976,BIOC delisting zone now
jpd555,,2019-02-14 15:03:00,0.9994,BIOC bought at 1 still may retreat 5 hope not may take few weeks for bounce
MrDaniel88,,2019-02-14 14:59:00,0.9996,BIOC so whatcha gonna do if it bleeds down and then gets delisted Im sure a handful will still pump it
