Jonesy99,True,2019-02-14 15:41:00,3.129,TYME anyone think the presentation this evening will cause movement
risenhoover,,2019-02-14 14:45:00,3.16,Hoffman Steve has filed an amended 13GA reporting 260 ownership in TYME httpsfinteliosoustyme
brc1,,2019-02-14 11:54:00,2.955,Tyme Techs SM88 shows somewhat encouraging action in midstage prostate cancer study shares down 9 httpsseekingalphacomnews3433503sourceansh TYME
The1Realist,,2019-02-14 11:22:00,3.05,TYME if shorts ruin a great cancer treatment sick cancer patients cant utlize SM 88 their eventual sick QOL deaths r on their hands
The1Realist,,2019-02-14 11:16:00,3.029,TYME shorts trying to ruin a good company w a viable cancer treatment will eventually lose the science will eventually win SM 88 works
The1Realist,,2019-02-14 11:12:00,3.08,TYME ask the cancer patients taking SM 88 if they like it Hell yes they do because its working w NO fcking side effects like Chemo
The1Realist,,2019-02-14 11:11:00,3.1,TYME Great entry point only a matter of time before this takes off hard the treatment flat works w NO Side effects QOL
The1Realist,,2019-02-14 11:10:00,3.094,TYME not sure why some are selling shares no cancer treatment to date can do whar SM 88 is doing
jpoole524,,2019-02-14 11:04:00,3.09,TYME good entry point
Hugh_G_Wrecksion,,2019-02-14 10:50:00,3.078,TYME what did I say yesterday shorts own this bitch Last time it was the same story Hope you guys got some profit
Imran_Goku,,2019-02-14 10:06:00,3.271,TYME I think we will be getting extra news at 1pm est
The1Realist,,2019-02-14 09:48:00,3.33,TYME SM 88 works W NO side effects almost ALL cancer treatments have horrendous side effects QOL is unpararelled SP is very cheap
topstockalerts,True,2019-02-14 09:45:00,3.4,Names to watchYGYI RKDA NBEV DBVT MFGP FUV MDGS CLD CGC PYX RCON YETI RBZ BLMN AZN TELL IVC SOLO CYBR TYME STNG
Imran_Goku,True,2019-02-14 09:43:00,3.341,TYME
neel261983,,2019-02-14 09:38:00,3.34,TYME microsmallcapcomnews7602
Imran_Goku,True,2019-02-14 09:38:00,3.34,TYME
The1Realist,,2019-02-14 09:35:00,3.217,TYME is a strong viable cancer treatment w out the horrendous side effects of current treatments QOL is unparallele
