JORDAN__BELFORT,,2019-02-21 15:59:00,0.9115,Shorts holding VALE 1517 CRON 18 APR 10 PUTS Longs SYN 064 IBIO 088 AMRS 429 MDR 694GL ALL
Simewin1,True,2019-02-21 15:48:00,0.9115,IBIO I am not a Billionaire like Ken Dart a 50 year veteran or Bill Gates or Vanguard all invested no FLOAT 10000949400x40400000
Simewin1,True,2019-02-21 15:30:00,0.92,IBIO This is a DD call Plenty of info IBIOCMO 3 Dr Carol UTUBE videos Fibrosis last sold for 8BL 23m IN BANK BUY 1000001300k
Simewin1,True,2019-02-21 15:20:00,0.9132,IBIO NICE articles SMILEY We are going to be the next KBIO 1 to 44 in a week but LEGIT LET LIFE WIN and so will we CONGRATULATION LONGS
BigMoneyElmo,True,2019-02-21 14:42:00,0.914,IBIO Soon to be a celebration here at IBIO
smiley7,True,2019-02-21 13:58:00,0.9199,IBIO Interesting news from iBio partner Theoremdx theoremdxorgtheoremdxyea
smiley7,,2019-02-21 13:57:00,0.9199,IBIO New article mentioning iBio CCPharming pharmamanufacturingcomart
Simewin1,True,2019-02-21 10:50:00,0.92,IBIO Soon MERGER 1 BL 1 Sanofi 2 PFIZER 3 MERCK Believe Because its TIME
nukalicious,False,2019-02-21 10:28:00,0.9171,TRNX or MNGA Im not buying anymore not selling and I figure my whole 24k here is goneglad I got TEUM IBIO XTNT VSTM TRVN
MSD123,,2019-02-21 10:13:00,0.9126,IBIO is called a short squeeze Probability is zero
MSD123,,2019-02-21 10:10:00,0.9197,IBIO The pumpers keep blaming the shorts If there where people to buy the stock this would only help the stock go up
MSD123,,2019-02-21 10:01:00,0.9101,IBIO I think the high for the year is in watch out below Be concerned when the pumpers are working overtime Salvage the you have
