gggekko,True,2019-02-21 15:59:00,49.1,TNDM A green close forming a hammer After a short break we couldnt have better Good sign
DetroitDaveOptionsPlayer,True,2019-02-21 15:57:00,49.101,TNDM announced on Feb 15th an agreement wRubin Medical 2 distribute in Sweden Norway Denmark earnings should b able 2 guide in this big
sql5000,True,2019-02-21 15:39:00,48.91,TNDM Today low4764 2 4964Swing traders sold at 4950ish
DetroitDaveOptionsPlayer,True,2019-02-21 15:38:00,48.899,TNDM will earnings show a 4th QTR penetration into the International markets as they hoped Will they raise 2019 estimates Will EPS b pos
DetroitDaveOptionsPlayer,True,2019-02-21 15:34:00,48.95,TNDM Last Aug they raised guidance a 2nd time set goal of 55 GPM up fm 44 retired 82 million in debt this Call is all about guidance
Tommyl,True,2019-02-21 15:21:00,48.944,VLRX TNDM MDT
ShortOneTime1599,True,2019-02-21 15:07:00,48.712,TNDM bought some slightly otm calls for tommorow Play on dxcm earnings
skilledone,True,2019-02-21 14:20:00,48.862,TNDM shes a wild one but we love her and shell put out a lot more
cybercash28,,2019-02-21 14:19:00,48.825,TNDM green hammer forming PB on low volume from 5203 is good entry
ScuredTrader,True,2019-02-21 14:17:00,48.94,TNDM saw almost 50 thats a good sign
Mr_Tandem,True,2019-02-21 14:13:00,49.057,TNDM Hey short suckas Keep averaging up dont cover no matter how uncomfortable it gets Heres my prediction for you
Chark,True,2019-02-21 13:56:00,49.576,TNDM DXCM beat by a mile last qtr It will beat by 2 today Both charts are cup handle breakouts
gsharofsky,,2019-02-21 13:52:00,49.711,TNDM The shorts just got trapped
Share_Hunter,,2019-02-21 13:48:00,49.582,VLRX hope this is like TNDM
iwanderer,True,2019-02-21 13:44:00,49.544,VLRX If VLRX number of watchers reach the number of TNDM SP will be 10 I like the odd LOL
SGTLYNCHUSMC,True,2019-02-21 13:39:00,49.441,TNDM Fridays were always TNDM days
PigInABlanket,True,2019-02-21 13:39:00,49.441,TNDM its rare you get a great investing stock and trading stock together
Mr_Tandem,True,2019-02-21 13:38:00,49.475,TNDM shorts had better cover before DXCM call today If not before then before China deal is struck Their accounts will vaporize after
Tommyl,True,2019-02-21 13:37:00,49.381,VLRX TNDM SENS
Mcdx177,True,2019-02-21 13:20:00,49.398,TNDM I was getting worried I added a little to soon in the dip Take some off I the spikes and add in the dips So far so good
Chark,True,2019-02-21 13:10:00,49.106,TNDM DXCM ER today AMC This is going to be so much fun
SGTLYNCHUSMC,True,2019-02-21 13:00:00,48.98,TNDM she rises from the ashes like always
momojo,True,2019-02-21 12:57:00,49.063,TNDM Watch how the media ramps up on TNDM as we get closer to Earnings next week We had to give back a few bucks thats Wall Street 60
Chark,True,2019-02-21 12:56:00,49.058,TNDM Trend reversal bullish engulfment short squeeze coming on increasing volume Handle forming for this massive cup
Tommyl,True,2019-02-21 12:45:00,49.095,VLRX more 100 watchers today I alerted LOL learned lessons from TNDM is patient will be mother of successful I bought 25Kshares 1
Chark,True,2019-02-21 12:45:00,49.095,TNDM This was just rated a Strong Buy on Second Opinion with an RSV of 99 PF target of 65
Investo101,,2019-02-21 12:43:00,48.998,TNDM added a bit of shares haha
Mr_Tandem,True,2019-02-21 12:40:00,49.08,Apparently TNDM isnt going to 35 like the trollish bears with no balls called for yesterday Terrorists each and every one of them
Chark,True,2019-02-21 12:18:00,48.512,TNDM A little profit taking on that nice pop but now buy the dip
BB77,True,2019-02-21 12:16:00,48.55,TNDM looks like reversal is in good luck all traders of all disciplines
DetroitDaveOptionsPlayer,True,2019-02-21 12:09:00,48.785,TNDM loaded up again 2day 4755 Mar 29 Vertical just a great pull back Breaks 52 wk high easy after earnings Guidance 2019 will b great
ScuredTrader,True,2019-02-21 12:07:00,48.677,TNDM xbinasdaq turning
sql5000,True,2019-02-21 12:03:00,48.274,TNDM Will sell some and buy a new car after ER next week
Chark,True,2019-02-21 11:37:00,47.841,TNDM Hammer doji Up we go
Tommyl,True,2019-02-21 11:37:00,47.841,VLRX TNDM MDT
Double_O_Eight,,2019-02-21 11:33:00,47.783,TNDM buy PEP and TNDM get em fat then medicate them Throw in some GALT for their obese livers BOOM
Tommyl,True,2019-02-21 11:20:00,47.873,VLRX TNDM MDT All diabetic devices
Tommyl,True,2019-02-21 11:19:00,47.866,VLRX TNDM MDT Waiting giant volumes today
Mcdx177,,2019-02-21 11:09:00,47.936,TNDM We going a few dollars lower first
SGTLYNCHUSMC,True,2019-02-21 11:07:00,47.963,TNDM loaded here for a blowout ER I think we break away from 52 on to new highs
ijustwantafewbucks,,2019-02-21 11:05:00,47.933,TNDM thinking about averaging up but at what priceevery penny matters to me
Mr_Tandem,True,2019-02-21 10:10:00,48.135,TNDM Down 2 today Shorts make pennies Im still up 560 Not selling Cant have my shares Bigger profits ahead Patience is the key
ScuredTrader,True,2019-02-21 10:09:00,48.025,TNDM whatever we have had small down days 4 swings multiple times and then takes off every month Dexcom earnings tonight
Mr_Tandem,True,2019-02-21 10:06:00,48.245,TNDM Trolls betting against Tandem are betting against and American company that helps sick kids live better lives Grow some morals EVIL
Investo101,,2019-02-21 10:02:00,48.261,TNDM ok past 48 47 next come on
ParrotLife,True,2019-02-21 09:57:00,48.493,TNDM VLRX IS AMAZING
ParrotLife,True,2019-02-21 09:56:00,48.398,VLRX wish we get a buy out from TNDM
ScuredTrader,True,2019-02-21 09:54:00,48.405,TNDM xbi is down big Bio is down
skilledone,,2019-02-21 09:53:00,48.364,TNDM Curious whos even dumping their shares at this levelOver 52 next week Shorts can try to have their 4647 for 23 more days
Mr_Tandem,True,2019-02-21 09:53:00,48.364,TNDM Still waiting for the troll du jours prediction of 35 to come true Have some conviction NoBalls BaselessBasher Troll
Tommyl,True,2019-02-21 09:46:00,48.49,VLRX TNDM SENS Look volumes early
Chark,True,2019-02-21 09:41:00,48.81,TNDM Massive cup formed on the daily now backfill for the handle When this breaks out its going to be swift strong
Jv007,True,2019-02-21 09:38:00,48.656,TNDM VLRX is on the move to 1 Selling some of my TNDM for buy more VLRX GLTA
gsharofsky,,2019-02-21 09:36:00,48.452,TNDM i was hoping this would have growth leading up to earnings Unless MM trying to keep price down so they can get a discount
Investo101,False,2019-02-21 09:35:00,48.406,TNDM another down day not good
