TekATL,,2019-02-19 14:50:00,1.981,ONCY looks hot
aaron03,True,2019-02-19 14:48:00,1.981,ONCY I wouldnt be surprised if we get a PR by this week at the latest 8 more trading days left in February including today
aaron03,True,2019-02-19 14:48:00,1.981,ONCY Matt mentioned in that interview with the Nasdaq representative that new data would be coming at the end of the month
aaron03,True,2019-02-19 14:47:00,1.981,ONCY Volume approaching that 100K markit appears some accumulation is occurring today Volume more than doubled Fridays mark
Reneejordan001,True,2019-02-19 13:30:00,1.979,ONCYCome on and get us already financeyahoocomnews2ph
IronLion,True,2019-02-19 12:53:00,1.99,ONCY when is ER so we can hear what they have done so far with the ATM
IronLion,,2019-02-19 12:53:00,1.99,ONCY and with all this volume today accumulation I guess because hard selling st this volume would hurt it more than 4 cents
IronLion,,2019-02-19 12:52:00,1.99,ONCY always with the downwards drip AllTime lows are very near ATH is dreams away
DL14,,2019-02-19 12:17:00,1.98,ONCY Half a Million Breast Cancer Deaths Avoided in Last 30 Years medscapecomviewarticle90
DL14,,2019-02-19 12:16:00,1.98,ONCY
SCROTOX,True,2019-02-19 11:51:00,1.98,ONCY maybe if we start bashing it will start moving up
Gringo444,,2019-02-19 11:34:00,2.01,ONCY CEO needs to get on BNN Canadian Investing show to get TSX volume up 6k in 90min if trading
rim2rim2rim,True,2019-02-19 11:13:00,2,ONCY Volume Just a tiny taste of whats to come IMHO
rim2rim2rim,True,2019-02-19 11:04:00,2,ONCY Prepare for blastoff
DL14,,2019-02-19 10:42:00,1.984,ONCY Combination immunotherapy promising in advanced prostate cancer houstonchroniclecomnewsh
