blaqheart88,,2019-02-19 15:17:00,2.525,NOG I just took a full position Im scared about ER buffoonery but want to stick with her
wiseowl18,True,2019-02-19 15:08:00,2.526,NOG need Saudis to follow through in March with only 6 mil barrelday exports Dry the market up and get back to 6570 a barrel
wiseowl18,True,2019-02-19 15:04:00,2.527,NOG company needs to stop conversion deals they are killing value Should be 6 Stick At this point just sell damn company for 360
kbeebe,,2019-02-19 15:02:00,2.522,CHK NOGscmpcomnewschinadiploma
brex6466,,2019-02-19 14:43:00,2.523,NOG I do remember the days we would jump 10 percent but thats before they sold out to crestview and west energy
brex6466,,2019-02-19 14:40:00,2.524,NOG oh I see the problem now cotton and grain is red lol
brex6466,,2019-02-19 14:39:00,2.524,NOG RICH I doubt it but it is a head scratchier low volume to me means no buying interest Prob is all markets are green and all oils
richshay,,2019-02-19 14:33:00,2.527,NOG are we pinned down becoz crestview still selling
brex6466,,2019-02-19 14:30:00,2.533,NOG still dont understand how nog goes down when all markets are green
kbeebe,,2019-02-19 13:41:00,2.54,CHK NOGreuterscomarticleususa
brex6466,,2019-02-19 12:05:00,2.547,NOG come on nog you were at 280 when oil was 54 a month ago Lets make up that crestview dump
brex6466,,2019-02-19 11:50:00,2.562,NOG no volume wall street still on holiday
brex6466,,2019-02-19 10:18:00,2.551,NOG down with oil and dow up typical NOG
EstimizeAlerts,,2019-02-19 09:36:00,2.549,NOG analysts on Estimize are expecting 33561 YoY revenue growth for Q4 up from 14584 in Q3 Reporting 0221 AMChttpwwwestimizecomintronogcharthistoricalmetricnamerevenueutmcontentNOGutmmediumrevenuegrowthutmsourcestocktwits
