rynchk,,2019-02-26 15:36:00,2.219,CLSN Now thats what I call CONFIDENT Hurrah for you ostraderz
ostraderz,True,2019-02-26 13:34:00,2.212,CLSN so confident i removed my 46 sell order
GrannyGangSterZTwits,True,2019-02-26 12:50:00,2.232,CLSN cmon baby why slow shix we need to move up before news
mahe5204,True,2019-02-26 12:25:00,2.221,CLSN just quiet b4 thunder storm Watch those 245 267 levels Then blue skys awaits
Glopolon,,2019-02-26 12:23:00,2.221,CLSN Data set from Ovation I From the Noble conference
Glopolon,,2019-02-26 12:18:00,2.221,CLSN The data we will be getting is from the dose escalation portion of OVATION II
Glopolon,,2019-02-26 12:18:00,2.221,CLSN OVATION Phase II starts with a dose escalation phase up to 100 mgm² to identify safetolerable dose while maxing an immune response
ChartMill,,2019-02-26 12:18:00,2.221,CLSN has only a medium technical rating but it does show a decent setup pattern chartmillcomanalyzephpu
Glopolon,,2019-02-26 12:17:00,2.221,CLSN That should be Phase Ib The trial was very promising
Glopolon,,2019-02-26 12:16:00,2.221,CLSN PIb Demonstrated 100 Disease Control 86 Objective Response Rate and 86 R0 R1 Surgical Resection Rate in All Patients Treated
Glopolon,,2019-02-26 12:08:00,2.221,CLSN ASCO is pertaining the Phase IIB OVATION I trial not the new Phase II trial that we should be hearing about soon
bigBIOboom,True,2019-02-26 12:06:00,2.221,CLSNExtremely
Glopolon,,2019-02-26 12:05:00,2.221,CLSN OVATION II is a Phase III study designed with a single dose escalation phase to 100 mgm² of GEN1 in the Phase I portion
Glopolon,,2019-02-26 12:05:00,2.221,CLSN People may get confused by the different results from Phase IIb GEN1 and then the new Phase II trial that just started Sept 2018
Glopolon,,2019-02-26 12:04:00,2.221,CLSN the first data set from the Phase I portion of the OVATION II Study is expected late in quarter one 2018
GrannyGangSterZTwits,True,2019-02-26 11:35:00,2.24,CLSN FCSC Same shix everyday I want to see good shix one day
Matmar,True,2019-02-26 11:33:00,2.24,CLSN check this link about abstractmeetinglibraryascoorgrec
2wired2trade,True,2019-02-26 10:57:00,2.22,CLSN FCSC LPTX stable lines right at support lets goooo for data
