Dark_prince,True,2019-02-26 15:25:00,113.284,IBB
WaveGenius,,2019-02-26 14:29:00,113.006,22619 Elliott Wave Updates For ETFs NUGT IBB TQQQ TNA wavegeniuscom22619elli
homer212,,2019-02-26 13:31:00,112.771,VCYT oh would you like to test for lung cancer with a nasal swab Ok we have that IBB
homer212,,2019-02-26 13:20:00,112.849,EXAS VCYT GHDX NVTA GH RHHBY The profiteers of the genetic age Make money and improve the world Like MSFT in 1990 IBB
homer212,,2019-02-26 13:18:00,112.828,EXAS VCYT GHDX NVTA GH RHHBY These cos lowering the systemic cost of healthcare improving outcomes OK with both partiesFDA IBB
homer212,,2019-02-26 13:16:00,112.829,EXAS VCYT GHDX NVTA GH RHHBY These cos are quietly changing the face of medicine Buckshot to Sniper All right under your noses IBB
BioTecTrader911,True,2019-02-26 13:08:00,112.74,AVGR Quick 7 min tech analysis video on todays action and why it may turn around at 55 for a bit SPY IBB XBI youtubecomwatchveBRNfRb
cybercash28,,2019-02-26 12:41:00,112.781,EXEL Higher high today W forming IBB XBI LABU UBIO
BioTecTrader911,True,2019-02-26 12:35:00,112.727,AVGR Very nice bull pennant on the 15m Expecting a break to the upside in due time Up 53 from my 34 entry SPY IBB XBI AVEO AMRN
cybercash28,,2019-02-26 11:31:00,113.046,CLVS green hammer good setup Good BO bio IBB XBI LABU UBIO
homer212,,2019-02-26 11:26:00,112.979,ORTX one of 3 cos Kite and ONCE are the othrthat have an APPROVED gene therapy drug europe What do Kite and ONCE have in common IBB
homer212,,2019-02-26 11:22:00,112.939,ORTX could easily go up 40 from here Everyone knows pharma cos need there own ONCE for a gene therapy platform IBB AMGN
Tischendorf,,2019-02-26 11:20:00,113.011,NVTA price targets were discussed in the recent Premium issue Learn how to identify and profit from the beginning of a move IBB XBI
homer212,,2019-02-26 11:19:00,112.945,BLUE could easily go up 150 from here Everyone knows pharma cos need there own ONCE for a gene therapy platform IBB AMGN
cybercash28,,2019-02-26 11:04:00,112.757,XLRN up 7 good setup IBB XBI LABU UBIO
BioTecTrader911,True,2019-02-26 10:52:00,112.777,AVGR Look what happened after it broke that resistance at 47 Bye bae Something newswise might be getting out XBI IBB SPY
homer212,False,2019-02-26 10:51:00,112.732,RHHBY has cash flows from legacy drugs and optionality from genetic testing and gene therapy This will be the biggest co in the world IBB
cybercash28,,2019-02-26 10:50:00,112.838,ARMN broke 20 level looking good IBB XBI LABU UBIO
homer212,,2019-02-26 10:49:00,112.912,RHHBY Starting to think I might sell all and let roche manage my money They are buying all the cos I think are great and pay a div IBB
BioTecTrader911,True,2019-02-26 10:47:00,112.962,AVGR AMRN AVEO Gr8 day today Yesterdays entries are proving to be timed very well Expecting more from AVEO in time SPY IBB XBI
cybercash28,,2019-02-26 10:23:00,112.923,EOLS Good setup for an entry last 2 days R all good entry IBB XBI
cybercash28,,2019-02-26 10:12:00,112.79,AMRN HH good setup next MA IBB XBI LABU UBIO
dpac,True,2019-02-26 10:03:00,112.653,MNK UP 26 on Massive Beat Huge Guidance 30shorts IBB XBI XLV SPY BHC CELG AGN
guyrogers227,,2019-02-26 09:53:00,112.541,LABD not impressed with labd IBB dropped close to 96 cents n this crap moved just 72 cents where the fk is 3 times
