morgangj,True,2019-02-26 15:59:00,10.667,GE Consolidating as a prelude to further upside movement 12 imminent
Chad_Smash_ya,False,2019-02-26 15:59:00,10.667,GE na
RxDocTrader,,2019-02-26 15:59:00,10.667,GE if you sold yesterday do you still get WAB shares
JordanInvestments,False,2019-02-26 15:51:00,10.641,GE this is why you dont trade shit stocks get screwed in the end
Girba,True,2019-02-26 15:50:00,10.64,FCEL FCEL dont be a quitter Understand the value of your shares Strategic partners in sight XOM TM NRG GE
Wavezero,True,2019-02-26 15:46:00,10.655,Perhaps the Olympic Games sponsors could get a nice momentum V KO PG INTC BABA TM GE Tokyo2020 OlympicEffect
KPL1974,,2019-02-26 15:44:00,10.649,GE the new ST layout really sucks big time
MILLERTIME7,,2019-02-26 15:41:00,10.642,GE BILLS BETTER HOLD TIGHT MACD CCI COULD CROSS AND A DROP BELOW 20 MA COULD SEE A NOSE DIVEFACTZ
johnyyywardyy,,2019-02-26 15:39:00,10.639,GE buy em up
gulfmako,False,2019-02-26 15:37:00,10.654,GE So if I sold the 11 puts 37 additional to the price
daddystick,,2019-02-26 15:35:00,10.655,TEUM aka GE
FalconGreen817,True,2019-02-26 15:34:00,10.655,GE will my 12 38 be worthless Much confusion right now
MILLERTIME7,,2019-02-26 15:31:00,10.652,GE THIS IS A WAR
mrsports90210,,2019-02-26 15:27:00,10.655,GE Newbie in 1066
mrsports90210,,2019-02-26 15:24:00,10.655,GE Starting a Position as we speak
JimmyStew,,2019-02-26 15:24:00,10.655,GE My 10 LEAPS looking good Over 300 days before expiration
MILLERTIME7,,2019-02-26 15:21:00,10.655,GE something has to give on daily the 20 day or 50 day Or does it We will see
thegunners,,2019-02-26 15:18:00,10.655,GE so what was the logic behind those WAB shares we got
MILLERTIME7,,2019-02-26 15:17:00,10.662,GE so will the drop in wab stock price have any effect on option prices for ge tomorrow All just a little confusing
beth2018,True,2019-02-26 15:17:00,10.662,GE Nice my 100 call option contracts dont expire for months Thank you GE for the nice bonus I received yeowww
benitocamelas01,,2019-02-26 15:16:00,10.665,GE dont sell your options the price adjustment is still undetermined until the cash in lieu just wait until the 21billions is clear
thegunners,True,2019-02-26 15:12:00,10.657,GE 13 by EOW
mojomama,,2019-02-26 15:11:00,10.655,GE I think Ill sell some puts
mojomama,,2019-02-26 15:11:00,10.655,GE
GuyB,True,2019-02-26 15:09:00,10.672,GE added 1063 wWAB funds
Pingvin,,2019-02-26 15:09:00,10.672,GE Cmon get back to 1082
mhanson86,True,2019-02-26 15:09:00,10.672,GE wish i could buy more fuking calls on this
benitocamelas01,True,2019-02-26 15:08:00,10.675,GE moving back to 11
dev_tango,,2019-02-26 15:04:00,10.68,GE for how many stocks in GE you got WAB
johnyyywardyy,,2019-02-26 15:03:00,10.679,GE anyone holding call into tomorrow
johnyyywardyy,,2019-02-26 15:01:00,10.674,GE anyone holding options till tomorrow
uknatty,,2019-02-26 14:59:00,10.665,GE Are the WAB shares worth keeping
cullenobrien,,2019-02-26 14:55:00,10.666,GE for every share contract you get 54 of the trading price of wab roughly 35 for every contract on top of the price of GE
JordanInvestments,False,2019-02-26 14:52:00,10.654,GE if this goes 2 1000 im still goodby 2m 20 from 50 is bullshit but better than those who sold at a lost today bc they confused lol
BudFoxAtl,True,2019-02-26 14:52:00,10.654,GE The New Wabtec WAB wabteccomuploads4Q1820a
Stockdude525,,2019-02-26 14:52:00,10.654,GE Wonder how badly calls and outs got crushed today due to iv crush and price crash
AlexanderHandleton,True,2019-02-26 14:50:00,10.674,GE 11 close leh go
beth2018,True,2019-02-26 14:48:00,10.646,GE I meant adjusted drop
beth2018,True,2019-02-26 14:47:00,10.645,GE Recovered 23 of the 40 drop this morning due to GE deal
jmpaul,False,2019-02-26 14:45:00,10.636,GE Bullish on what The debt Selling assets
beth2018,True,2019-02-26 14:43:00,10.627,GE Fast action
blamblamblam,,2019-02-26 14:42:00,10.641,GE Should end day strong
buynholdin,True,2019-02-26 14:41:00,10.63,GE Let daddy see 1070 eod so we can prepare for tomorrow
GuyB,True,2019-02-26 14:39:00,10.619,WAB Dumped free 9 WAB shares bought more GE
Closetiguana,True,2019-02-26 14:37:00,10.633,GE The next bullet for the shorts to dodge is Boeing unveiling of the 777x
northstarmoon,,2019-02-26 14:36:00,10.63,GE anyone able to post a current minute chart
JordanInvestments,True,2019-02-26 14:34:00,10.625,GE go to 1020 at least
AlexanderHandleton,True,2019-02-26 14:32:00,10.615,GE inside day Easy play from here
BK74,,2019-02-26 14:30:00,10.608,GE Anyone dealing with options today Cash value is about 37 cents per option
ShockExchange,,2019-02-26 14:29:00,10.605,General Electric 21 Billion Biopharma Sale Sends Shock Waves newyorkshockexchangecom20 GE DHR
johnyyywardyy,,2019-02-26 14:28:00,10.604,GE buy em up Going to spike eod or in the morning Dont miss the train again
johnyyywardyy,,2019-02-26 14:28:00,10.604,GE lots of fighting at 1060 feel like its gonna spike again
MasterBullCake,,2019-02-26 14:26:00,10.595,GE so whats getting adjusted The position avg Or the stock price
alfredomunozz,,2019-02-26 14:26:00,10.595,GE got 18 WAB shares today from 3500 GE shares and now
OrganicGr0wth,,2019-02-26 14:21:00,10.605,GE so many puts fighting the current here
flashkamal,,2019-02-26 14:21:00,10.605,GE y my option are showing as GE1 I have put credit spread on it as I m bullish on it
jamiemaybe,,2019-02-26 14:21:00,10.605,GE
johnyyywardyy,True,2019-02-26 14:16:00,10.593,GE watch for spike eod Due some news soon
mojomama,,2019-02-26 14:07:00,10.605,GE when will we be able to buy GE options in Robinhood
Bang4Buck,,2019-02-26 14:05:00,10.598,No way Im investing in anything at this time Believe this stocktwitscomBang4BuckmeGOOGLGOOG AMZN IBM C FB NFLX AAPL GE CMG BA
TheCulpster,True,2019-02-26 14:05:00,10.598,GE Us WAB and DHR makin it work
MaineMoney,True,2019-02-26 14:04:00,10.596,GE OSTK Google music is playin passenger fitting Im on for the the ride this week La La La La La La lol youtubecomwatchvhLhNo
TheCulpster,True,2019-02-26 14:04:00,10.596,GE Feel the power
beth2018,,2019-02-26 14:02:00,10.614,GE Level 2 is cool
StockCamel,,2019-02-26 14:02:00,10.614,GE looks like up from here for today
beth2018,True,2019-02-26 14:02:00,10.614,GE Fill that up gap
beth2018,True,2019-02-26 13:58:00,10.59,GE 200 PM Algo kicks in
gaedikus,,2019-02-26 13:56:00,10.598,GE id really like it if we could clear 11
beth2018,True,2019-02-26 13:56:00,10.598,GE glima0026 Just joined ST today and saying 900 by Friday LOL very intelligent NOT
MaineMoney,True,2019-02-26 13:55:00,10.607,GE So those MASSIVE buys at 1110 yesterday are they holding long term VolumeBot
ThousandDollarMan,,2019-02-26 13:49:00,10.593,GE who else sold their ITM puts for a loss Such bullshit today
MinHsun,,2019-02-26 13:48:00,10.586,GE rechasement bottom yet
harry2hill,,2019-02-26 13:47:00,10.579,GE looking good
