Daedal,,2019-06-03 15:53:00,41.932,SIGA Heres hoping PFE teaming up with SIGA leads to more partnering
ChartMill,,2019-06-03 15:21:00,41.856,PFE has a Return On Assets of 738 This is amongst the best returns in the industry chartmillcomanalyzephpu
cpq17777,,2019-06-03 14:41:00,42.005,PFE another 42 fail wow
JohnJohnJohnson,,2019-06-03 14:27:00,42.108,PFE QQQ BTCX People say just because I need huge enemas to POOP means I am somehow stupid But the Market Pharma and Cryptos are all so easy I am a MOGUL I am the Walrus I am the Eggman Koo koo cacho cacho cacho Koo koo cacho cacho cacho Koo koo cacho cacho cacho Koo koo cacho cacho cacho Koo koo cacho cacho cacho Koo koo cacho cacho cacho Koo koo cacho cacho cacho I am the Walrus
cpq17777,,2019-06-03 14:08:00,42.064,PFE above 42 is like climbing mount Everest
KMD_Capital,True,2019-06-03 13:28:00,42.065,PFE look at that candle
cpq17777,,2019-06-03 13:22:00,41.958,PFE another chance at 42 lets see and hope
cpq17777,,2019-06-03 13:02:00,41.76,PFE didnt hold 42 as i said so we are drifting away from the gains
KMD_Capital,True,2019-06-03 11:33:00,41.99,PFE BMY up over 2 come of Pfizer what u got
cpq17777,,2019-06-03 11:15:00,41.999,PFE big fight around the 42 level
cpq17777,,2019-06-03 11:05:00,42.01,PFE unless it holds must close over 42
cpq17777,,2019-06-03 11:05:00,42.01,PFE again looks like it is having problems with 42 back to 41
cpq17777,,2019-06-03 10:59:00,42.083,PFE must hold 42
EstimizeAlerts,,2019-06-03 10:54:00,42.089,Estimize revenue expectations are 007 lower than that of Wall Street for PFE Q2 Reporting 0730 BMOestimizecomintropfechar
EstimizeAlerts,,2019-06-03 10:54:00,42.089,PFE reported 4195M Essential Health Rev last quarter Next report is on 0730 BMO Jury is still out on expectations Whats yoursestimizecomintropfechar
EstimizeAlerts,,2019-06-03 10:54:00,42.089,PFE reported 8922M Innovative Health Rev last quarter Next report is on 0730 BMO Jury is still out on expectations Whats yoursestimizecomintropfechar
KMD_Capital,,2019-06-03 10:41:00,42.158,PFE one of the best opening hours of trading this stock has seen in months
KMD_Capital,True,2019-06-03 10:35:00,42.105,PFE looking good Higher highs higher lows
KMD_Capital,,2019-06-03 10:29:00,42.046,PFE just gimme a rocket to 43 One 5 day then send it to 45
KMD_Capital,,2019-06-03 10:27:00,42.056,PFE i was a week early last week still have a bunch of 4254344 calls for next three weeks maybe we will catch a breakout finally
KMD_Capital,True,2019-06-03 10:19:00,41.977,PFE looks like distribution is finally happening Tech crashing healthcare and safe stocks holding or up
