martin41,True,2019-06-07 15:58:00,0.39,ISR thanks for cheap shares
JDinvestments,True,2019-06-07 15:54:00,0.3926,ISR were buying millions 75 plus looking gift horse in the mouth now INCREDIBLE STRONG BUY
capodon,False,2019-06-07 15:53:00,0.3926,ISR
Sandmansleeper,,2019-06-07 15:52:00,0.3926,ISR amazing
JDinvestments,True,2019-06-07 15:46:00,0.3946,ISR got 2k at 40 thank you adding as funds available these cheapies nice surprise
JDinvestments,True,2019-06-07 15:40:00,0.395,ISR JMHO we will get a partnership or BO Brain Holy Grail VERY UNDERVALUED
JDinvestments,True,2019-06-07 15:36:00,0.408,ISR 160k shares traded lol dance bash sad bear raid no sellers Tick tock
TonyKLestor,,2019-06-07 15:30:00,0.408,ISR What has the overall stock market done over the past couple of days The Dows up several hundred points And then theres this filth called ISR
Tstocks30,,2019-06-07 15:22:00,0.408,ISR We were incredibly close to breaking the golden cross of the 200 MA Go figure
PlanetSags,,2019-06-07 15:09:00,0.408,ISR does this have anything to do with anything
MacJac,,2019-06-07 14:28:00,0.4,ISR F it Take er back down dont care at the moment I will buy another 10k Then take er down more and Ill buy another 10k All the way to a nickel if thats what it takes
TonyKLestor,,2019-06-07 14:27:00,0.404,ISR Where are the pathetic delusional and neurotic ISR pumpers now Utter filth Can throw all of those nice technical setups out In fact they will end up here
LongSwinging,True,2019-06-07 13:42:00,0.4015,ISR Theres no such thing as a hold Buy or sell If its good enough to hold its good enough to buy Otherwise sell and go away
JDinvestments,True,2019-06-07 13:30:00,0.4031,ISR 0015 of shares traded no sellers just bad actors soon down on low volume up on even less
LDRunner,,2019-06-07 13:22:00,0.4001,ISR wow wallstreet is still NOT impressedthey must know something we dont
LongSwinging,,2019-06-07 13:22:00,0.4001,ISR What rhymes with cry
ltcman,,2019-06-07 13:18:00,0.4001,ISR everyone is wondering what is up with share price Simple The inmates shorts MMs have us all by the short hairs Pure manipulation
LongSwinging,,2019-06-07 13:10:00,0.4096,ISR Just keep selling
toxigen_83,,2019-06-07 12:53:00,0.401,ISR wtf is wrong with this one Under 40Again Weird
Tstocks30,,2019-06-07 12:46:00,0.401,ISR The way I see it management doesnt want to Take Liberties if you catch my drift
Sprinklz,,2019-06-07 12:32:00,0.4054,ISR yup back into the 30s
JDinvestments,True,2019-06-07 12:19:00,0.401,ISR they want all the sub 40 shares you got on the cheap scare tactics on low volume STRONG BUY here
MacJac,,2019-06-07 12:18:00,0.401,ISR pathetic for a company that inserts radiation directly into the tumor I remember when 88 cents was a good buy years ago Somethings not adding up
LongSwinging,,2019-06-07 12:16:00,0.4026,ISR
JDinvestments,True,2019-06-07 12:16:00,0.4026,ISR hehehe true colours showing on low volume you guys out what did u have 500 shares feast strong LONGS feast VERY UNDERVALUED
perfectional,False,2019-06-07 12:12:00,0.4026,ISR
WallStreetCub,False,2019-06-07 11:50:00,0.401,ISR I have been holding this POS for years Its time to throw in the white flag I mainly blame on incompetent management and their PR team
LongSwinging,True,2019-06-07 11:43:00,0.415,ISR Enjoy your weekend
kapustin,True,2019-06-07 11:31:00,0.4133,ISR any upcoming catalysts we are to expect here
Sandmansleeper,True,2019-06-07 11:18:00,0.4197,ISR Ok Im out LongSwing you are missing the point There goes your JJ thing againFinal thought Will not repost again Isoray needs to stand up and fight for their product Get the discussions going and the investors BEHIND them Quit working on this solo island Get creative Get bold about what they have Woods and executive team are not SELLING what they have No guidance Give guidance Stand behind the change you will be making on the industry Break the barriers Stand up and be heard Im out
LongSwinging,,2019-06-07 11:13:00,0.4197,ISR And yes I have enough info to sue Johnny Johnson on behalf of isoray investors if I decide Anyone can sue anyone
LongSwinging,True,2019-06-07 11:08:00,0.4197,ISRWwwgammatilecomWhile youre at it
Sandmansleeper,True,2019-06-07 11:01:00,0.4197,ISR So here is the deal I dont care about JJ and buddies etc Who cares What I care about is ISR Management communicating and to start being up front good or bad All discussions should be about the business
LongSwinging,,2019-06-07 10:48:00,0.4105,ISR Place a large ask then place several medium size bids Lets see if we can heard the sheep Says JJ
perfectional,False,2019-06-07 10:37:00,0.4121,ISR sub 40 coming Pump that
LongSwinging,True,2019-06-07 10:37:00,0.4121,ISR If you are here for a quick daytrade You are in the wrong room If you are an intelligent investor read and learn
Sandmansleeper,,2019-06-07 10:28:00,0.419,ISR Is Executive team ever going to speak Im long but geez help out a shareholder every so often
LongSwinging,True,2019-06-07 10:05:00,0.41,ISR Buy the big ask Its Johnny
jjohn1971,,2019-06-07 09:59:00,0.41,ISR Isoray has fooled everyone once again
JDinvestments,True,2019-06-07 09:43:00,0.434,ISR less than 0035 of float traded daily and most on Mickey Mouse xchanges trading back and fourth shaking the tree long strong
