dee64,,2019-06-07 15:58:00,3.755,ADMA ADMA Biologics ADMA Investor Presentation Slideshow
Erod70,True,2019-06-07 15:58:00,3.755,ADMA More will take notice
Jv007,True,2019-06-07 15:58:00,3.755,ADMA Seeking alpha posted the great ADMA slides show
CJ777,True,2019-06-07 15:57:00,3.753,ADMA All this bull crap did get my average down to 376
NON_FICTION_1,,2019-06-07 15:57:00,3.753,ADMA Biologics ADMA Investor Presentation Slideshow ADMA Wake up 5 coming seekingalphacomarticle42
FunToMental,,2019-06-07 15:43:00,3.748,ADMA violent reversal next week
Bread_collector,,2019-06-07 15:42:00,3.745,ADMA pinned
colombo1787,,2019-06-07 15:41:00,3.74,ADMA or EARS which one is gud buy
KingflySC,True,2019-06-07 15:37:00,3.746,ADMA picked up some more around 367 to average down even more This will be a nice profit one day
Erod70,True,2019-06-07 15:34:00,3.745,ADMA
NON_FICTION_1,True,2019-06-07 15:33:00,3.745,ADMA retail keep selling this is why you will never make money ever
Erod70,True,2019-06-07 15:29:00,3.745,ADMA ashporgDrugShortagesCur
Erod70,True,2019-06-07 15:24:00,3.745,ADMA added
NON_FICTION_1,True,2019-06-07 15:15:00,3.745,ADMA the retail trash selling under 4 will be the same loading above 5 Always the same donkeys
BlueRain,,2019-06-07 15:11:00,3.745,ADMA ADMPI blocked beachsidefreddy a long time ago can someone reshare this pic with him
RENM,,2019-06-07 15:06:00,3.745,ADMA R8Plus beachsidefreddy You boys need t settle this in one of 4 ways and where going to vote to determine the method of se battre en duel 1 bananas at 10 paces2 Poo throwing match3 Best contrived monkey face4 Or whos got the biggestI volunteer either Ginos2000 or Ronaldo86 to be your second R8Plus and perhaps Juicy John to hang with beachsidefreddy
Enigmatron,,2019-06-07 15:03:00,3.745,ADMA Standing by my statement from this morning Still ending green Last candlestick was solid green Going to get a little bump to end the day
justpassingthrough_,,2019-06-07 14:51:00,3.743,ADMA I dont suppose those firms ever returned any of our folks phone calls on the factual basis for the investigation right
lucascrum1,,2019-06-07 14:48:00,3.75,ADMA will jump to 39 before end of day I think
LucentOne,,2019-06-07 14:44:00,3.745,ADMA Id love to see this close aroundbut Im not feeling it
Gus_gus,True,2019-06-07 14:42:00,3.747,ADMA would have thought at least a small bounce today
BlueRain,True,2019-06-07 14:39:00,3.74,ADMA R8PlusI think you got under his nerves lol
R8Plus,True,2019-06-07 14:30:00,3.755,ADMA I wouldnt be that shocked if biotest hired those firms to do that Adma management u win I guess this is biotest way of protesting and saying FU for taking our plant bivigam and nabi This was an emotional tantrum no logic what so ever They lost control of company and they became minority explains plenty BTFD
StockMan112909,,2019-06-07 14:30:00,3.755,ADMA still no clear indication of when they will launch products Anyone know if this was stated yesterday Just sometime this quarter Year
beachsidefreddy,,2019-06-07 14:26:00,3.76,ADMA R8PLUS IS GOING TO HAVE TO SHUT IT DOWN WHEN ADMP PASSES ADMA IN PRICE SHORTLY ON SANDOZ LAUNCH THEN ALL HIS FIST PUMPING BS WILL GO DOWN FOR WHAT IT WASDOMINATION BY BEACHSIDEFREDDY WHO CALLED ADMA DROP AND ADMP RUN
lucascrum1,,2019-06-07 14:24:00,3.765,ADMA getting ready to take off buy at 375 and get a quick 35 in the next hour and a half
