StockInvestorByEagle,,2019-06-07 15:07:00,19.93,stockinvestorcom41587the ACB CRON CGC CARA
katherinehampton,True,2019-06-07 14:47:00,19.995,CARA Ive been here way too long
Ceeport_Global,True,2019-06-07 14:32:00,20,CARA Pathetic volume
katherinehampton,True,2019-06-07 14:03:00,19.933,CARA Lousy volume
Ceeport_Global,True,2019-06-07 13:47:00,19.98,CARA CARA struggling today buy HRTX having a nice day
Ceeport_Global,True,2019-06-07 12:58:00,19.98,CARA No DILUTION necessary Plenty of funds on hand
RagnarBullbrok,,2019-06-07 12:57:00,19.98,CARA this is what happens when the management dilutes every time they released good data People are waiting for dilution and not buying imo
Alex1183,,2019-06-07 12:42:00,20,CARA didnt we get screwed on last oral hip and knee stock drop like 13 in one day Also whats this oral results in regards to
Winston_Shade,,2019-06-07 11:40:00,20.04,CARA Now we are waiting for oral itch come on admit it this is just not as gangbusters as they pumped it
Ceeport_Global,True,2019-06-07 11:31:00,20.015,CARA Agreedoral is the key with a much bigger market If oral meets endpoints then stock will go to 4050 If oral does not meet data then stock falls back to 11 We are betting that oral meets all primary and secondary EPs We are taking some profits in various areas in the mean time on L positions with 20 and selling Covered Calls Cant loose taking profits LT VERY BULLISH Very good chance of BO but not before oral data is out
LBCAMERA,,2019-06-07 11:14:00,20.075,CARA Oral Korsuva in non dialysis patients due 2nd half 19 If trial results are good on the oral side then you will see this move Much bigger market in oral Those results will be key
LBCAMERA,,2019-06-07 10:50:00,20.18,CARA I have said this from the startThey will be acquired at some point as they dont have enough money to launch their pipeline once NDA is filed and FDA approved
Winston_Shade,,2019-06-07 10:36:00,20.11,CARA
Winston_Shade,,2019-06-07 10:35:00,20.11,CARA Well I was right with thisITCH WAS PRICED IN just as I have said It did not move above where it was prior to itch and we have had some good days in the market and this has not participated Many of you cursed me and said when itch is announced it would be north of 30 and that I have no idea what I am talking about Well You were wrong Itch is fully priced in because they will need to raise a lot more money and it is not that big a market It will take decades The best they can do now is sell the entire company and move on
Pal10,True,2019-06-07 10:33:00,20.077,CARA Glad Mr Orange showed up Everytime he does and talks garbage about CARA we get a nice bump up
MisterOrange,False,2019-06-07 10:08:00,20,CARA ST REAL CONVO Hey everybody Its going up Buybuy Hey everyone its going down down BUY Get the difference
MisterOrange,False,2019-06-07 10:07:00,20,CARA NOT
MisterOrange,False,2019-06-07 10:06:00,20.04,CARA GOING GOING BACK BACK To 6er 6er Traded for 6 years Will buy at 6 8 range by EOY Offering soon
