TOutaker,,2019-05-23 15:58:00,4.175,BLIN This company is in a lot of trouble buy ecor to recover your losers
Moneyman223,False,2019-05-23 15:57:00,4.187,BLIN its over Johnny
mailhot,,2019-05-23 15:53:00,4.171,BLIN LOD to end the day What BS
newtrader_1,,2019-05-23 15:43:00,4.2,BLIN already in huge loss should I wait or sell off guys
TonyKLestor,,2019-05-23 15:39:00,4.21,BLIN nobody listens Well they do but only to cowardly slimy pumpers
GeauxTigers1,True,2019-05-23 15:36:00,4.165,BLIN Im Miami right now About to enjoy a lot of things lol kingpol86
kingpol86,,2019-05-23 15:30:00,4.18,BLIN 420 anyone want to smoke
kingpol86,,2019-05-23 15:29:00,4.18,BLIN thats what happens when dman and his crew starts selling otherwise show position to prove me otherwise
NoRedDays_,,2019-05-23 15:28:00,4.18,BLIN Never been a fan of catching falling knives On watch here
JM83_46,,2019-05-23 15:25:00,4.18,BLIN hmmm will see see below 4 here soon
GeauxTigers1,,2019-05-23 15:24:00,4.18,BLIN Screw it Ill in blood
Justified,,2019-05-23 15:24:00,4.18,BLIN Well I guess if you believe Warren Buffet now is the time to buy stocks The blood is running
Gornography,True,2019-05-23 15:17:00,4.265,BLIN not expecting much tomorrow but see what happens after the long weekend Stay positive
kingpol86,True,2019-05-23 15:13:00,4.27,BLIN at times like these you buy more not when its at 10 tomorrow Im buying more as people follow the sell button
ReturnOfTheMackIV,True,2019-05-23 14:58:00,4.343,BLIN Was 5min bull flagging But light volume brought it back down This is the work of MMs and its evident they dont want this up Out breakevenwell minus commissions Not gonna look for a bottom on this Ill just wait for the volume surge to be safe A 4 break might actually be in the cards GL guys Ill be watching for reentry
bigchops24,,2019-05-23 14:57:00,4.343,BLIN Buying this was such a mistake just hoping for a bit of a bump closer to 5 to sell I bought it wo full due diligence on the reverse splits this company will go back down to pennies
Alfie26,True,2019-05-23 14:57:00,4.343,BLIN where is
HuggieNoonan,,2019-05-23 14:49:00,4.29,BLIN what is going on here I dont look for 1 day and this is tanking
NotTheSec69,True,2019-05-23 14:42:00,4.388,BLIN people need to stop bombarding Dman lol hes not your god he got into high and couldnt average down and he knows it the rest of you followed and got burned small account traders are better off playing momentum than trying to catch a bottom
SaveTheOceans,True,2019-05-23 14:38:00,4.388,BLIN this is definitely trying my patience but you dont sell on a day like today you add
JORDAN__BELFORT,False,2019-05-23 14:31:00,4.358,FBIO BLIN TIGR GUYS wanna make shit ton of money short all this guy calls hes nothing more than a pumper telling everyone hes so good and he and his so called friends know when the news is coming out HAHAHAHA i seen him one time he said i wanna sell my news indicator for 1 million dollars what a clown
ReturnOfTheMackIV,True,2019-05-23 14:27:00,4.358,BLIN Price action looking like market makers bluff Big eod green candle spike coming jmo
ReturnOfTheMackIV,True,2019-05-23 14:24:00,4.37,BLIN In unrelated news TeamTfue FckScumFazeClan
tradesidewaze,,2019-05-23 14:24:00,4.37,BLIN With such a low float any news gets this back to 12 Dont bag hold though Be discipline in your purchase price
SaveTheOceans,True,2019-05-23 14:23:00,4.37,BLIN go baby go
Seventylife,True,2019-05-23 14:21:00,4.37,BLIN what people seem to not understand is that the market in general is fucked today Go ahead and sell off your shares and take your fat loss you boneheads This bitch will rocket soon enough
JoeMario,,2019-05-23 14:21:00,4.37,BLIN The good news for today is that in 1 min chart the biggest volume of this red day IS GREEN Maybe good action coming
tradesidewaze,,2019-05-23 14:19:00,4.392,BLIN They always announce new contracts time to time premarket Thats the play for those that are new
ReturnOfTheMackIV,True,2019-05-23 14:19:00,4.392,BLIN Bout to get super volatile 100 share trades moving this 1520 cents at a time Lets hope MM algos switched up and in our favor now
NotTheSec69,,2019-05-23 14:16:00,4.371,BLIN avg is now high 458 large position size looking for strong close eod
