LamboLogan,True,2019-05-23 15:59:00,9.714,ERIC
FJSCapital11,,2019-05-23 14:51:00,9.686,ERIC turning bullish again soon going to breakout and hit new highs AGAIN then break those too I will be at a summit beginning of next month
FJSCapital11,True,2019-05-23 14:48:00,9.686,ERIC
Chr0nos,False,2019-05-23 14:41:00,9.703,QCOM People really acting like China India Africa Middle East and rest of Asia wont use Huawei 5G or that Japan South Korea South America all of Europe and the rest of the developed world wont use NOK or ERIC 5G tech do you know how many more companies can now get access to Qualcomms patents and develop their own tech off of it at what the GOVERNMENT deems fair value This is literally a death blow to QCOM domination I dont think you realize this They dont OWN 5G
taguru,,2019-05-23 13:08:00,9.725,ERIC Telefon Ericsson ERIC 1005 was the markets top winner yesterday jumping 361 tickeroncomeventid11826
FJSCapital11,,2019-05-23 11:26:00,9.722,JBoorman Risk Mitigation is everything ERIC is IMO well suited strong growth and going to perform well as 5G continues to grow They have 1 million towers inc small cells to deploy within a 4 year scope for major carriers they carry 40 of the worlds mobile traffic All around
JBoorman,,2019-05-23 11:10:00,9.726,ERIC quick recovery from recent pullback 7day win streak ending today but longterm trend well intactMarketSmith IBDinvestors IBDPartner shopinvestorscomoffersp
FJSCapital11,True,2019-05-23 10:58:00,9.733,ERIC More news yesterday from anyone who didnt see this its a very good read please check it out
FJSCapital11,,2019-05-23 10:48:00,9.705,ERIC our PT is 1050 but this is very promising from yesterdays news regarding Merills PT of 1140 0308 PM EDT 05222019 MT Newswires Shares of Ericsson ERIC rose by almost 4 intraday after Bank of America Merrill Lynch lifted the stock to Buy from Neutral on the back of 5G leadership and difficulties being faced by its Chinese rival Huawei the second biggest smartphone maker in the world Bank of America Merrill Lynch expects Ericsson will benefit from the US governments decision to place restrictions on Huawei ability to do business in the US It lifted the price target on the Swedish companys ADRs to 1140 from 1040 Price 1008 Change 038 Percent Change 392
alphavertex,True,2019-05-23 10:26:00,9.685,MSI ERIC Motorola and Ericsson could be long term beneficiaries of Huawei trade war fall out Both stocks are likely to see share gains in telecom equipment as the US continues pressures on Huawei and looks for alternative 5G suppliers Both stocks are now favored in the QuantEdge Model
FJSCapital11,,2019-05-23 10:25:00,9.7,ERIC I think we may very well see the 1050 PT before MidJune Look at the trading volume over the last month Lately its been phenomenal surpassing most other major companies
FJSCapital11,True,2019-05-23 09:53:00,9.745,ERIC Sell off was expected this morning 50 000 shares stronger
