CRMD,104,0,104.0
AVGR,82,0,82.0
ACB,324,5,64.8
TRXC,125,2,62.5
GLBS,62,0,62.0
WFT,119,2,59.5
VLRX,59,1,59.0
SBOT,54,1,54.0
RNN,53,1,53.0
MNKD,96,2,48.0
FPAY,48,0,48.0
NXTD,47,1,47.0
SAEX,343,8,42.88
STAF,85,2,42.5
AUPH,41,0,41.0
F,38,1,38.0
OMER,38,1,38.0
BIOC,188,5,37.6
CHFS,37,0,37.0
RWLK,147,4,36.75
NIO,375,11,34.09
NEPT,34,1,34.0
BAC,33,0,33.0
NBEV,1170,37,31.62
FRAN,31,0,31.0
PED,178,6,29.67
OPK,29,0,29.0
NTWK,28,1,28.0
MICT,54,2,27.0
IBIO,27,1,27.0
LCI,26,0,26.0
AKER,25,1,25.0
MRIN,25,0,25.0
SESN,74,3,24.67
NVCN,49,2,24.5
DFFN,24,1,24.0
HSGX,24,0,24.0
RGSE,47,2,23.5
TNXP,23,0,23.0
CLD,66,3,22.0
TEUM,22,0,22.0
NAK,43,2,21.5
OHGI,21,1,21.0
FLKS,20,0,20.0
SPHS,19,0,19.0
HMNY,56,3,18.67
GRPN,37,2,18.5
AWSM,18,0,18.0
UWT,35,2,17.5
GSAT,17,0,17.0
MJ,17,0,17.0
CSIQ,16,1,16.0
CPRX,16,0,16.0
OGEN,32,2,16.0
XSPA,16,1,16.0
TWTR,16,1,16.0
EXEL,15,0,15.0
RAD,15,1,15.0
VKTX,15,0,15.0
TRVN,15,1,15.0
LMFA,29,2,14.5
BOXL,42,3,14.0
VUZI,14,0,14.0
ALT,27,2,13.5
BPMX,65,5,13.0
CGIX,13,0,13.0
HEAR,13,0,13.0
CHK,65,5,13.0
KNDI,13,0,13.0
SWN,13,0,13.0
MYSZ,25,2,12.5
CFRX,12,0,12.0
CLDR,12,0,12.0
DNR,12,1,12.0
GOOGL,12,1,12.0
JCP,12,1,12.0
TTPH,12,0,12.0
LIQT,11,0,11.0
NUGT,11,1,11.0
TXMD,11,0,11.0
GNC,10,0,10.0
SN,10,0,10.0
SHOP,10,1,10.0
SNES,10,0,10.0
TENX,10,0,10.0
GE,235,25,9.4
CGC,572,61,9.38
ADMP,9,1,9.0
ASNS,9,0,9.0
ATIS,9,0,9.0
CYTR,9,1,9.0
FNKO,9,0,9.0
GALT,9,0,9.0
GSM,9,1,9.0
GBR,9,0,9.0
SENS,9,1,9.0
PIXY,9,0,9.0
ROKU,63,7,9.0
UGAZ,260,30,8.67
ACRX,16,2,8.0
APHA,64,8,8.0
FIT,8,0,8.0
NDRA,8,0,8.0
PYPL,8,0,8.0
SGYP,8,1,8.0
RGLS,8,0,8.0
UXIN,32,4,8.0
GUSH,15,2,7.5
LULU,60,8,7.5
JD,37,5,7.4
MNGA,185,26,7.12
ABIL,7,0,7.0
AKAO,7,0,7.0
CELG,7,1,7.0
CVM,7,1,7.0
HTBX,21,3,7.0
IDXG,7,1,7.0
INSG,7,1,7.0
FDX,7,0,7.0
MTBC,7,0,7.0
TRPX,7,0,7.0
TWLO,21,3,7.0
TNDM,7,0,7.0
GNMX,41,6,6.83
BABA,26,4,6.5
AYTU,13,2,6.5
MSFT,13,2,6.5
STZ,13,2,6.5
SQ,81,13,6.23
AMRH,6,1,6.0
BA,6,1,6.0
CZR,6,0,6.0
FCEL,18,3,6.0
NBR,6,0,6.0
PTLA,6,0,6.0
MAXR,12,2,6.0
MRKR,6,0,6.0
RIOT,12,2,6.0
YUMA,6,0,6.0
TTD,6,1,6.0
DCIX,34,6,5.67
TTNP,31,6,5.17
ARWR,5,0,5.0
AVEO,5,0,5.0
ATOS,5,0,5.0
BHC,15,3,5.0
DRYS,5,0,5.0
ESV,5,0,5.0
KL,5,0,5.0
OBLN,5,0,5.0
PLM,5,0,5.0
RHE,5,0,5.0
RVP,5,0,5.0
SGMO,5,0,5.0
WYY,5,0,5.0
OPGN,5,0,5.0
SLV,5,0,5.0
UAVS,5,0,5.0
NVAX,44,9,4.89
FB,87,20,4.35
ARRY,13,3,4.33
TOPS,21,5,4.2
IQ,50,12,4.17
AETI,4,0,4.0
ANFI,4,0,4.0
CAT,4,0,4.0
BMY,4,0,4.0
CRBP,4,0,4.0
ASTC,4,0,4.0
DCAR,16,4,4.0
EARS,4,0,4.0
CREG,4,0,4.0
DWT,4,1,4.0
MOSY,4,1,4.0
HEB,4,1,4.0
IMMU,4,1,4.0
QTT,4,0,4.0
SBGL,4,0,4.0
T,8,2,4.0
SQQQ,8,2,4.0
UPL,4,0,4.0
OHRP,4,0,4.0
TGT,4,0,4.0
WINS,4,0,4.0
VSTM,68,18,3.78
CLVS,11,3,3.67
PTX,11,3,3.67
NVDA,80,22,3.64
CRON,110,31,3.55
GOOS,7,2,3.5
M,16,5,3.2
AMZN,204,66,3.09
APRN,3,0,3.0
AG,3,0,3.0
BIDU,3,0,3.0
CCCL,3,0,3.0
GERN,3,1,3.0
GOGO,3,0,3.0
GEVO,3,0,3.0
GOOG,3,0,3.0
GTXI,3,0,3.0
ICON,3,0,3.0
ISRG,3,0,3.0
EYEG,3,0,3.0
MRNS,3,0,3.0
NKE,3,0,3.0
NSPR,3,0,3.0
ICPT,3,0,3.0
LENS,3,0,3.0
SRPT,3,0,3.0
WTI,3,0,3.0
YY,3,1,3.0
NOG,3,0,3.0
PLUG,6,2,3.0
PTN,3,0,3.0
TLRY,177,66,2.68
IDEX,8,3,2.67
PIR,16,6,2.67
AMPE,5,2,2.5
USO,7,3,2.33
MU,41,18,2.28
HUYA,9,4,2.25
TTWO,9,4,2.25
AMD,306,137,2.23
LABD,11,5,2.2
TSLA,103,48,2.15
AKS,6,3,2.0
ATHX,2,0,2.0
ARLO,2,0,2.0
DGAZ,32,16,2.0
ESEA,2,0,2.0
CARA,2,0,2.0
GLUU,6,3,2.0
HTZ,2,0,2.0
IZEA,2,0,2.0
CRSP,2,0,2.0
DIS,2,0,2.0
DRIP,4,2,2.0
MDCO,2,0,2.0
NAVB,2,0,2.0
