Travolta,True,2019-05-31 15:57:00,5.46,PRPO what a slow painful bleed today
NinjaBob,,2019-05-31 15:56:00,5.48,PRPO on EMA50545
rotoking20,True,2019-05-31 15:54:00,5.45,PRPO Im watching CNBS McDonalds is the only dow stock up today and barely at 008 Everything else red red red
castrom78,,2019-05-31 15:53:00,5.441,PRPO I really want to see this sucker goes to 0 today rather than see how Im loosing little by little this shitty stock the only thing that has been doing this fucking shit is causing mental illness to myself
jman73,,2019-05-31 15:52:00,5.441,PRPO 550 is the insiders number At least I will speculate that it is
MoneyJune,True,2019-05-31 15:52:00,5.441,PRPO everything is red today next week should look better Holding strong
CBSCapital,,2019-05-31 15:52:00,5.441,PRPO hahahhaha losers
King_Danimal,,2019-05-31 15:51:00,5.445,PRPO One sellbuy was at 544 and the next was at 54401 Really we are now buyingselling at 0001
Mantises,,2019-05-31 15:50:00,5.445,PRPO
CBSCapital,,2019-05-31 15:48:00,5.449,PRPO wheres pumpers TheZman13 and Permabull99 you guys have been shooting rockets for the past month as this heads further and further into the ground
Marelli321,True,2019-05-31 15:47:00,5.425,PRPO we have been lower folks it hurts but this is what we must go through in order to achieve greatness
Burnabagel,,2019-05-31 15:46:00,5.425,PRPO ouch
Realcashcow_,,2019-05-31 15:46:00,5.425,PRPO really
rotoking20,True,2019-05-31 15:43:00,5.45,PRPO Dow still dropping as we come to the close now down 342
ChartHawk,True,2019-05-31 15:42:00,5.467,PRPO MMs going to squeeze into close Level II cheapest shares 577
ChartHawk,True,2019-05-31 15:41:00,5.479,PRPO Damn nice load marketscboecomusequitie
jman73,,2019-05-31 15:38:00,5.49,PRPO anyone familiar with insider buying Can they purchase share premarket
rotoking20,True,2019-05-31 15:38:00,5.49,PRPO LT holders wait these things out its not a sprint its a marathon This is when investors have to believe in their DD
jman73,,2019-05-31 15:37:00,5.49,PRPO wow 19k purchase at 548
_R34_,True,2019-05-31 15:36:00,5.488,PRPO looks good to me
rotoking20,True,2019-05-31 15:36:00,5.488,PRPO stock market now down more over 300 points S P is down over 30 points The newest Trump created crisis is playing havoc with companies
Desjardb,,2019-05-31 15:30:00,5.5,PRPO For those of you who have spare cash look at ATNM for next week Stage 3 results
KashFloh,True,2019-05-31 15:28:00,5.503,PRPO shes such a low float beauty
Jbrock90,True,2019-05-31 15:27:00,5.503,PRPO lmfao me af
kror74,True,2019-05-31 15:25:00,5.503,PRPO dip on low volumen
rotoking20,True,2019-05-31 15:23:00,5.503,PRPO Only a certain amount of buyers and only a certain amount of sellers With uncertainty sellers go up and buyers go down This is typical across markets not just with PRPO News PR or something else can alter that but without a catalyst most stocks follow market trends
breaking_stocks,,2019-05-31 15:23:00,5.503,PRPO described at httpwwwalphafinewscomearningsreviewdefinitiveproofthatinvestorsshouldtakenoticeonthisprecipioincnasdaqprpo
JussieSmutlett,,2019-05-31 15:22:00,5.503,PRPO the head in the sand pumpers are all like
KashFloh,True,2019-05-31 15:20:00,5.503,PRPO nobody selling we stable
Burnabagel,,2019-05-31 15:20:00,5.503,PRPO just doesnt doesnt want to break 550 huh
jzaskar,True,2019-05-31 15:20:00,5.503,PRPO Soooowhen is ERHAHAHA KIDDING Hope everyone is feeling better today The world did not end Just be patient and hold long guys Oh and your charts cant help you here Just saying Cant waitbut I will
maddy84,,2019-05-31 15:18:00,5.503,PRPO looks like halted at 550 all day haha
Bluwhale,True,2019-05-31 15:17:00,5.503,PRPO
SarahVI,True,2019-05-31 15:16:00,5.503,almost the right time comings patient calm down and carry on SEEL PRPO AKER
NinjaBob,,2019-05-31 15:13:00,5.5,PRPO Daily Ichimoku Future Cloud chart showing some similarities to May 1st2nd to read Future chart count 26 days back red line arrows black line arrow was today Fri start past start wondering if this Mon be similar to May 1st 2nd red arrows stockchartscomhscuisP
ChartHawk,True,2019-05-31 15:12:00,5.5,PRPO One of the best pricetargets in the market
Permabull99,True,2019-05-31 15:05:00,5.509,PRPO
Burnabagel,,2019-05-31 15:03:00,5.519,PRPO end of day dump
Desjardb,,2019-05-31 15:01:00,5.51,PRPO PAYTIENCE
kror74,True,2019-05-31 15:00:00,5.51,PRPO lets go PRPO
captain_kirk_99,,2019-05-31 15:00:00,5.51,PRPO Funny when the price goes down its a scam when price goes up there great
Renegade55,True,2019-05-31 14:58:00,5.511,PRPO GBTC ETCG
captain_kirk_99,True,2019-05-31 14:58:00,5.511,PRPO This stock should be 10 easily Great product great management just need a little bit of PR here and there to promote themselves Lets go to the moon
SixStringKing,True,2019-05-31 14:56:00,5.511,PRPO again HSGX is my top watchlist stockthis day is ehhhhhhhhhhhhhhhhhhhhhhhhhhhhhh Thats just a fact Im longterm bullish PRPOvests and all Vest when this sucker hits ten I love B O L O G N A Biobaloneythe whole market is down Its easy pickins for now
ChartHawk,True,2019-05-31 14:56:00,5.511,PRPO 300 target trading at 36 or 5 and you take issue with the price LOL Wrong audience
RIVERKING7,True,2019-05-31 14:55:00,5.511,SixStringKing PRPO Grinning Elk Guitar Show Atlanta next week
BioBaloney,False,2019-05-31 14:55:00,5.511,PRPO Way too many trapped pumpers here Look out below
BioBaloney,False,2019-05-31 14:54:00,5.52,PRPO What a POS scam Down again
ChartHawk,True,2019-05-31 14:54:00,5.52,PRPO Anyone who rambles that this stock is not worth 36 which is what it it trading at is short LOAD ALL YOU CAN
WhyDontYouDoYourDD,True,2019-05-31 14:49:00,5.525,PRPO law of attraction Way 2 many negative Nancys in da house While these red numbers make my eyes hurt your DD is what got u into this stock If u are in it for instant gratification u might get lucky next week you might not this stock is a hold and accumulate for the ultimate reward when everything comes 2 fruition Dont listen to what anyone tells you You can take what someone says to start your DD but never make a brash decision off of someone elses opinion That is just like putting your money in a bond fire and watching it go up in flames Just because it worked once or twice doesnt mean it will work every time In the longrun you will end up going broke Do your own DD and come to the realization that the CEO Fed up by over promising and severely under delivering For those that have done their DD are holding and not even worried The Bears are going to get burned once the news drops Next week 2 weeks next month nobody knows anymore Hold n accumulate
TumTumss,True,2019-05-31 14:49:00,5.525,PRPO but really i want prpo to pull a power move
SixStringKing,True,2019-05-31 14:48:00,5.52,PRPO I wonder how Jason Bonds jet is doing today
Sk33T,,2019-05-31 14:45:00,5.52,PRPO Port Folio swiss cheese postNobodies Fault but Mine Led Zep
Mlevere1988,True,2019-05-31 14:44:00,5.52,PRPO its starting to look like PM trading with such low volume
fedup2,,2019-05-31 14:44:00,5.52,PRPO When the major players are ready to make money this stock should fly Not likely any chart analysis or fundamentals breakdown will indicate when that will happen IMO
Burnabagel,,2019-05-31 14:43:00,5.52,PRPO whats she gonna do PH
Sunka,,2019-05-31 14:43:00,5.52,PRPO cant believe I was up 1700 on this and now Im 48 FML
TumTumss,,2019-05-31 14:43:00,5.52,PRPO bring your profits home DMPI
TumTumss,True,2019-05-31 14:39:00,5.5,DMPI one day PRPO will do this and well be like thank god
swimmingxc21,,2019-05-31 14:38:00,5.5,PRPO anybody get the tweet notification and then find the tweet delated Curious what it said
suzuki750,,2019-05-31 14:37:00,5.5,PRPO I way overpaid for my vest with this stock and I never even placed the order
TumTumss,True,2019-05-31 14:37:00,5.5,DMPI so dramatic PRPO
Drey5k,,2019-05-31 14:36:00,5.515,PRPO hey guys just came across HEBs announcement of rs on 610 RSI is under 30 SP under 11 entire week for this thing to spike Worth a look
Burnabagel,,2019-05-31 14:36:00,5.515,PRPO level II
Hou_Trader1,True,2019-05-31 14:34:00,5.509,PRPO Very low volume and shares that are held by butterfingers pushing down Looks worse than it is
Nhaff2019,True,2019-05-31 14:33:00,5.509,PRPO Misdiagnosed indeed
SixStringKing,True,2019-05-31 14:30:00,5.509,PRPO This stock needs a little mustard to make it just right
Thegiftandthecurse,True,2019-05-31 14:28:00,5.5,PRPO back sorry cubs tried to trap us at Sbot some shorts dont understand that float and volume set the tone Bringing profits here from both obln and sbot Lets make a run
Yef,True,2019-05-31 14:26:00,5.5,PRPO
Burnabagel,,2019-05-31 14:25:00,5.5,PRPO basing on trumps Mexico tariff threat this might go lower next week
namsingh,,2019-05-31 14:24:00,5.5,PRPO wow about 221k volume today lowest Ive ever seen
gwcobra03,,2019-05-31 14:19:00,5.553,PRPO we need some bad news time to soar
NinjaBob,True,2019-05-31 14:19:00,5.553,PRPO be adding soon Hourly 30 min charts moving toward Parabolic Reversals pushing Daily back up to base line
_R34_,True,2019-05-31 14:13:00,5.556,PRPO any charting enthusiastic wanna share their view
_R34_,True,2019-05-31 14:04:00,5.564,PRPO woahhh dont startle it shhh it moved 012 go on try for 02 go on
ChartHawk,True,2019-05-31 14:02:00,5.502,PRPO AD showing buying pressure max Traders loading for next leg up MacD just crossed on the 10
Omata,,2019-05-31 13:59:00,5.501,PRPO its going to soar just as soon as I sell Its my luck with stocks
Shinshady,True,2019-05-31 13:51:00,5.51,PRPO for the fam RGSE about to turn corner on profitability If u looking for some action while waiting on our ICP rocket
Realcashcow_,True,2019-05-31 13:50:00,5.51,PRPO this is going to surge to 6 soon
Nhaff2019,True,2019-05-31 13:49:00,5.51,PRPO Almost identical setup compared to BTCs big move last weekend
PKizzle,,2019-05-31 13:46:00,5.5,PRPO Question since this is still the most active board I got Anyone remember the free stock you got from opening accounts Does everyone get Zynga Lol that shit is like never red
_R34_,True,2019-05-31 13:46:00,5.5,PRPO look at 30min chart something big is gonna happen soon
