SmallShare,,2019-05-28 15:44:00,64.104,GILD rough session todayreal choppy dailyyoutubecomwatchvEcWudQb
bioguru33,,2019-05-28 15:35:00,64.177,GILD bye trash co
StockDoctorBio,True,2019-05-28 15:26:00,64.26,GILD could buy AMRN EXEL ICPT and still have 10 Billion left over cash and have huge pipeline and top line growth
HollywoodWolf777,,2019-05-28 15:06:00,64.405,GILD buy buy buy Gild so I can get out damit
goatballsOG,True,2019-05-28 15:01:00,64.352,TEVA BMY GILD PFE MRK Probability of recession increasing by the minute Healthcare in particular pharma could see buying
rakesh1980,True,2019-05-28 14:47:00,64.35,GILD remember this quoteLoad Load Load gl
HollywoodWolf777,False,2019-05-28 14:47:00,64.35,GILD dont be scared to let Gild fail
doctordinero,True,2019-05-28 14:40:00,64.379,GILD Added call LEAPS Jan 2021 65s
EstimizeAlerts,,2019-05-28 14:37:00,64.387,GILD reported Antiviral Sales last quarter Next report is on 0725 AMC Jury is still out on expectations Whats yoursestimizecomintrogildcha
HollywoodWolf777,False,2019-05-28 14:24:00,64.274,GILD trade war warning 48 hours from now Just free advice warning
HollywoodWolf777,False,2019-05-28 14:18:00,64.305,GILD all the buyers scared away on CNBC so when does the selling start
OceanThunder7,,2019-05-28 14:13:00,64.152,GILD keep selling
Bankpas,,2019-05-28 14:11:00,64.205,GILD buy GLPG and all your troubles are over
HollywoodWolf777,False,2019-05-28 14:04:00,64.251,GILD dont sell before the drop hahahah
giuseppe8469,,2019-05-28 14:00:00,64.331,GILD the only value this company has is some cash they could get inquired to be a cash cow for large bio with good scientist unlike gild
w270st,,2019-05-28 13:49:00,64.611,GILD Gilead should have made an acquisition before the drop Pipeline is weak Generic competition in HIV space Any thoughts on whom they will be looking to buy
OceanThunder7,,2019-05-28 13:38:00,64.639,GILD lol people will stoooopid next week
Iwillplay,,2019-05-28 13:31:00,64.641,GILD CNBC was pumping and trashing GS Funny
HollywoodWolf777,False,2019-05-28 13:30:00,64.648,GILD incoming drop
Trials233,,2019-05-28 13:27:00,64.735,GILD anyone posting a bullish tag on this is fkin delusional lmao Literally the worst stock in existence
newbie_here2learn,,2019-05-28 13:14:00,64.746,GILD Should GET SUCKER STOCK of the DECADE AWARD
StockNews,,2019-05-28 13:09:00,64.69,GILD Gilead Sciences Inc shares have come under pressure due to some pipeline misses and an aging product portf stocknewscomnewsgildgil
doctordinero,True,2019-05-28 13:03:00,64.666,GILD For context a three dollar drop on the thirteenth fully recovered in a day I care more about overall supplydemand behavior than daytoday price swings
OceanThunder7,True,2019-05-28 12:57:00,64.732,GILD a blockbuster move to buy AMGN
OceanThunder7,True,2019-05-28 12:56:00,64.764,GILD if anything Goldman might force Gilead to make a move
georgegobose,,2019-05-28 12:53:00,64.8,GILD Waiting the wingsABBV Upadacitinib FDA approvalPriority review right nowQ3 at the latestPuts an end to Filgotinib hopesThats at least 5 off the SP
OceanThunder7,True,2019-05-28 12:52:00,64.781,GILD Maybe MRK will buy GILD
rakesh1980,True,2019-05-28 12:39:00,64.727,GILD Time to load uplots of cash in hand nice dip
ClarenceBeaks,,2019-05-28 12:38:00,64.772,GILD welcome back George everyone is happy to see you again
TrendTraderX,True,2019-05-28 12:38:00,64.772,GILD Sachs must be buying the shares theyre getting people to sell here Inverse HS MACD over the zero line tons of cash on hand to acquire a pipeline this stock has almost nothing but upside
vu_jade,True,2019-05-28 12:35:00,64.751,VKTX GILD in need of another blockbuster pipeline
georgegobose,,2019-05-28 12:28:00,64.83,GILD Headed for fair value in the upper 40sGet out if you canIve been warning on them for well over a year
grnstock,,2019-05-28 11:41:00,65.31,GILD whatever GS say long GL
EstimizeAlerts,,2019-05-28 11:24:00,65.197,GILD analysts on Estimize are expecting 196 YoY revenue growth for Q2 down from 379 in Q1 Reporting 0725 AMCestimizecomintrogildcha
Benzinga,,2019-05-28 11:23:00,65.202,Goldman Downgrades Gilead Sciences We Find It Difficult To See The Stocks Multiple Expanding ABBV BMY GILD benzingacomanalystrating
OceanThunder7,True,2019-05-28 11:13:00,65.155,GILD if this baby goes green today we definitely see 70 by EONW
OceanThunder7,True,2019-05-28 11:06:00,65.233,GILD now holding 98 August 80 callsLets go ODay burn the shorts
HollywoodWolf777,False,2019-05-28 11:06:00,65.233,GILD gap down in the over market incoming
doctordinero,True,2019-05-28 11:05:00,65.262,GILD This will shake out the final few
Jazz111,,2019-05-28 10:41:00,64.868,GILD thanks goldman
pauldrew2006,,2019-05-28 10:32:00,64.873,GILD Surprised that the pt was 60 mine is 35
OceanThunder7,,2019-05-28 10:31:00,64.916,GILD we got peaks off a bullish w pattern can we close above 6580
HollywoodWolf777,False,2019-05-28 10:29:00,64.951,GILD single file line to the exit please Thanks
theflynews,,2019-05-28 10:20:00,65.217,Fly Intel Top five analyst downgrades GILD theflycomlandingPageNews
HollywoodWolf777,False,2019-05-28 10:19:00,65.16,GILD
georgegobose,,2019-05-28 10:05:00,65.364,GILD Like Ive been telling you guysGILD has been propping this thing up for a couple of yearsBut their pipeline is a jokeGSK gaining HIV shareABBV taking HCV
Sunnybahamas,True,2019-05-28 10:04:00,65.314,GILD Same GS analyst predicted SP at 60 in 2014 GILD SP went to 120 first
OceanThunder7,True,2019-05-28 10:01:00,65.152,GILD Taking shares before ASCO meeting If they think update will be bad why not downgrade after the news Or do they want cheaper shares before possibly good news
OceanThunder7,True,2019-05-28 09:58:00,65.056,GILD picked up more August 80 strike callsI dont believe Goldman one bit
HollywoodWolf777,False,2019-05-28 09:56:00,64.969,GILD
OceanThunder7,True,2019-05-28 09:50:00,65.209,GILD financeyahoocomnewsgoldSo on 41519 top 20 stocks to buy from Goldman Lol stealing shares
georgegobose,,2019-05-28 09:44:00,65.443,GILD Saw it coming a mile awayGILD cut to 60 by Goldman SachsWay too generous
doctordinero,True,2019-05-28 09:42:00,65.489,GILD Back to mid May price range Another opportunity
Scalper123,,2019-05-28 09:39:00,65.129,GILD goldman is losing its image as an analyst firm surprised stock would react to the only PT with downside sell drastically different than 30 other analysts
Meir_Barak_Tradenet,,2019-05-28 09:34:00,65.339,Analyst Meir Barak GILD 65
Sunnybahamas,True,2019-05-28 09:33:00,65.557,GILD SP roaring back
