Institutional_flow,,2019-05-28 15:53:00,88.45,XLV FXI PG puts paying OptionexpertPRM wwwtwittercomOptionexpertPRM
Top_Dog_Pro_Trader,,2019-05-28 14:58:00,88.842,BMRN XBI IBB SPX XLV BMRN the durability debate continues Until todays news it was will it last 23 years now its will it last 58 years lol Meanwhile MS and 5 other analysts are saying buy data supports base case
CrescentCityTrader,False,2019-05-28 14:54:00,88.932,XLV When the entire June put spread goes ITM in one day
cybercash28,,2019-05-28 14:28:00,89.092,EHTH Ascending triangle bo RSI only 5651 to 83 84 XLV
EquityFeedAlerts,,2019-05-28 12:16:00,89.532,BLOCK TRADE XLV 730700 shares 8951 121540
cybercash28,,2019-05-28 11:43:00,89.537,See that I said be patient and GH will break 80 It did PATIENCE is a MUST want a burger then go ahead and Jumping inout like chickens without heads or a PORSCHE IHI XLV
cybercash28,,2019-05-28 11:28:00,89.5,EHTH HH Triple top bo today PF has 111 PT Great setup Forming a bullish ascending triangle wish I can post my colorful chart for U to see easier XLV
Top_Dog_Pro_Trader,,2019-05-28 10:40:00,89.508,BMRN IBB XBI XLV SPX almost comical A lot of agony over comparisons to drugs that are non existent or way too early to make any reasonable judgement on If ValRox wasnt Gene therapy we would be talking about how close this is to a cure and how it blows away current therapies and the market opportunity Dont get sucked into believing the whining by some you will miss out this huge win for BMRN I do own SGMO risk there are many Besides current length of trial small patient size non randomized patient sample unknown long term effects its has years to go
cybercash28,,2019-05-28 10:07:00,90.147,VEEV HH Great to BTD and great LT XSW IGV XLV
Top_Dog_Pro_Trader,,2019-05-28 10:00:00,90.065,BMRN XBI IBB SPX XLV if you dont like the 8 year estimate on ValEox compare to existing HemA therapies ValRox blows them away This should be soaring it will at some point did add
cybercash28,,2019-05-28 09:56:00,89.965,EHTH HH Downtrend broken Great FA Latest PT 120 Good to BTD XLV
cybercash28,,2019-05-28 09:52:00,90.072,NVCR HH Beautiful bo see my charts and PT will break new high and to break 60 level IHI XLV
cybercash28,,2019-05-28 09:49:00,90.06,GH HH very good setup Great FA to break 80 then 95 106 IHI XLV
