Vikingsixty2,True,2019-02-13 15:49:00,0.3786,XOM z You knew it would go up SHLX WFT YUMA SN MRO USO UCO USEG
shortsdestroyer,True,2019-02-13 15:14:00,0.3798,SN what a piece of treasure
CanAm2,,2019-02-13 15:11:00,0.3798,SN What happens to SN when WTI is down tomorrow and trust me it will be Sink to the bottom of the ocean POS
CanAm2,,2019-02-13 15:08:00,0.3799,SN This is the only stock that I have in the red today Fing thing wont drop comon Filthy Sanchez
zyros,True,2019-02-13 14:50:00,0.3798,INNT CUT KTOV SN PRPO SGYP OHGI WFT ESEA MOSY NSPR SINT APHB YECO OGEN FPAYpresenting MNGA after rs offering 45
MChaseShorter,,2019-02-13 14:47:00,0.3791,SN
TraderSoup,True,2019-02-13 14:19:00,0.3795,LCI SPKE SN holding
Albertjpn,True,2019-02-13 12:53:00,0.3819,SN WE are going sideways but the support 37 pretty stable
CanAm2,,2019-02-13 11:31:00,0.3799,SN more resilient than I thought Ive got time you POS you know you are going down
CanAm2,,2019-02-13 11:19:00,0.3779,SN What a POS so glad I got out yesterday when it bounced
CanAm2,,2019-02-13 11:18:00,0.3775,SN There we go into the 37s now down below that I am going to sit back and wait
CanAm2,,2019-02-13 11:15:00,0.3799,SN And there we go just as I wrote that it went red
CanAm2,,2019-02-13 11:14:00,0.3806,SN Every other stock on my blotter has been green for two days and this is just trying to hold onto flat
MillanArcia,,2019-02-13 11:08:00,0.3824,SN Heading again to under 03 Just getting ready warming up ladies
EstimizeAlerts,,2019-02-13 11:03:00,0.3825,Wall St is expecting 54600 YoY EPS growth for SN in Q1 in Q4 Reporting 0507 BMOestimizecomintrosnchart
CanAm2,,2019-02-13 10:33:00,0.3803,SN Big build watch the bottom to drop out now Thinking more like 35 Good luck all
shortsdestroyer,True,2019-02-13 10:28:00,0.3888,SN surewait and buy at 3700
CanAm2,,2019-02-13 10:21:00,0.3888,SN Someone has been using the past two days of up oil and up market to unload this stock Dont be surprised if it drops again today
CanAm2,,2019-02-13 10:09:00,0.3871,SN Not buying this until it dips back to 37 then I will take a modest position
EstimizeAlerts,,2019-02-13 09:39:00,0.39,Heres what 10 Estimize analysts believe SN will report for Q4 2018 revenue Reporting 0226 BMOestimizecomintrosnchart
