pshelby,True,2019-02-13 14:55:00,0.7423,EYES Heading back to 80
Buneta,,2019-02-13 14:47:00,0.7492,EYES scalp it up
Nostrildammus,False,2019-02-13 13:47:00,0.7488,EYES FYI my use of Bearish is for long term not daytoday or intraday swings Been so since it was in double digits for good reasons
Nostrildammus,False,2019-02-13 13:23:00,0.7419,EYES BottomPickerSwings LMAO And longs again getting their panties in a wad over a move of 23 pennies Same old same old
Nostrildammus,False,2019-02-13 13:22:00,0.7412,EYES Coming soon to a theater near youand EYES HMNY gets delisted Listed stocks must trade above a dollar cnncombusinesslivenews
BottomPicker_Swings,True,2019-02-13 13:20:00,0.74,AMRH shorts in panic mode rofl fake walks galoreGet ready for EYES next
ACInvestorBlog,True,2019-02-13 13:06:00,0.7448,EYES back in play Accumulation rising
kyle_oliveira3,True,2019-02-13 12:44:00,0.7524,EYES Keep pattern forming here
ACInvestorBlog,True,2019-02-13 12:42:00,0.73,EYES Volume alert Chart double bottom pattern
TheMarketWizard1,True,2019-02-13 11:56:00,0.72,SLDB Broke 9 I gave alert at 737 buyEYEN CBIO VKTX EYES EARS SHLDQ CEI NAK ONTX TUES PYDS BKEP ONTX SCYX LMFA RSLS
kamikaze_andy,,2019-02-13 11:19:00,0.7102,EYES To the long nosed child Do not say I do not get it if you do not have the courage to unblock me discuss our points of view Coward
kamikaze_andy,,2019-02-13 11:07:00,0.7134,EYES 151 share ratio of institutions increasing shares vs decreasing Director amassed over 50 ownership Awaiting COMPANY PR on Orion
Nostrildammus,False,2019-02-13 11:01:00,0.7113,EYES kamikazeandy doesnt get it It took co almost a yr 12 to find 6th patient need 30100 for pivotal trial AFTER feasibility
kamikaze_andy,,2019-02-13 10:27:00,0.716,EYES feasibility study has 6 patients One year in only one quickly resolved seizure not requiring hospitalization subject still in trial
Nostrildammus,False,2019-02-13 09:57:00,0.7151,EYES Go down to page 3 read up on adverse effects already experienced httpsfinteliodocsec1266806000143774919002379eyes201902128khtm
Nostrildammus,False,2019-02-13 09:46:00,0.734,EYES And 8K was filed today after 6th implant in Jan not showing on Finviz yet but it may be on their site Read the risks and warnings
Nostrildammus,False,2019-02-13 09:39:00,0.7542,EYES Only news is that they implanted 6th patient in first of two long trials Took co over a year to find 6th patient Not good
Nostrildammus,False,2019-02-13 09:38:00,0.7542,EYES Folks posting false info here on some mystery patent without giving a link Violates Twits House Rules can be reported
