Zippy510,,2019-02-13 15:51:00,0.7598,PTN When this house of cards falls it is truly going to be epic
MyGreenGiant,,2019-02-13 14:24:00,0.7507,PTN Wild day over at PTX Hopefully will see that action over here one day
WildorTame,,2019-02-13 14:05:00,0.75,PTN Zippy is rightAs I suggested look CRMDWhy isnt PTN doing as wellZippy is Spot OnCongrats
WildorTame,,2019-02-13 14:02:00,0.75,PTN The chart since 1215Is this called support or a dead patient
Zippy510,,2019-02-13 13:46:00,0.7501,PTN Price fixing which is what is happening today is one of the MAIN reasons I do not trade heavier in PTN It is corrupt and pathetic
Zippy510,,2019-02-13 13:27:00,0.75,PTN Keep reloading that 75 All it will do is cause the collapse to happen that much faster as they take out lower prices to support
drumon,,2019-02-13 12:58:00,0.75,PTN this one is taking years talk about being long
33fire,,2019-02-13 12:06:00,0.751,PTN yep old PTX kept PTN Lol thats why Im gonna work the rest of my life Bad decisions
Zippy510,,2019-02-13 11:35:00,0.7533,PTN IN the end pricing is shit lately no liquidity from MMs their pricing is BS Diluting at 75 despite Level II display
Zippy510,,2019-02-13 11:33:00,0.7534,PTN Past weeks and yesterday have turned the security into shit MMs are trying to undo the damage they have caused Dilution kills
MyGreenGiant,,2019-02-13 10:17:00,0.7603,PTN Does anyone find it odd that they didnt test for daily use of Vyleesi Or was it avoided because of fears of BP problems Thoughts
