RobinhoodTraderz,,2019-02-13 15:15:00,0.96,Todays Top Losers BRS AEMD VERU GRPN HMY
Gman71,,2019-02-13 15:15:00,0.96,AEMD Ok its rally time Rocket man
GoldisDead,,2019-02-13 15:14:00,0.96,AEMD OK So Ive done some basic DD Im not seeing any reason to buy this stock but for the bounce Gimme your best pitch
Gman71,True,2019-02-13 15:12:00,0.96,AEMD Thats right put a scare to us true holders Aint budging at all Victory will ours very soon
Chemocles,True,2019-02-13 15:10:00,0.96,AEMD Thought I got in at the basement Didnt realize AEMD manufactured shovels
mad000,True,2019-02-13 15:10:00,0.96,AEMD ticker axxa news Bout to quadruple pps
JORDAN__BELFORT,,2019-02-13 15:07:00,0.96,AEMD keeps getting rekt more and more everyday
Gman71,True,2019-02-13 15:02:00,0.96,AEMD This stock hasnt seen this volume in over 18 months
Gman71,True,2019-02-13 15:00:00,0.96,AEMD how ironic is it when it hits 3pm 1 million shares traded
PoundTownTrader,,2019-02-13 14:53:00,0.952,AEMD the people here are entertaining There is nothing different today than Friday except they actually now have a plan that makes sense
Gman71,True,2019-02-13 14:52:00,0.95,AEMD Ok weve tested the low again today Its now time to shine Power hour will provide
BobBenson,True,2019-02-13 14:39:00,0.9682,AEMD Come on now who misses the days when we traded less than 10000 shares a dayRU buying at this discount
Ruhrpott1904,False,2019-02-13 14:34:00,0.9699,AEMD this is done RIP
MariaC82,,2019-02-13 14:31:00,0.9494,Price or Vol Decliners ao225pmEST BRS UFAB MDR YRIV AEMD
severin,,2019-02-13 14:29:00,0.9504,AEMD 700k volume and 20 drop
BobBenson,True,2019-02-13 14:23:00,0.9699,AEMD If you dont think this was a direct message to the BOD top managers on this stock price your fooling yourself News soon to help
REJECTED,False,2019-02-13 14:14:00,0.96,IBIO AEMD oh my goooodness some ppl have lost everything on these holding and pumping for so long Ehehe REJECTED Hold these bags 4 me
stockrocketman,,2019-02-13 14:06:00,0.9506,AEMD in here for the first time 95
severin,,2019-02-13 13:57:00,0.95,AEMD anyway strange today The low have been eaten up very quickly with much bigger volume Now dying on couple of shares
severin,,2019-02-13 13:51:00,0.95,AEMD so what Tomorrow 50cents or 70 cents
Chemocles,True,2019-02-13 13:42:00,0.975,AEMD Well I decided to dip my paw in the water and see how it feels GLTA
tradingmy2cents,True,2019-02-13 13:18:00,0.9675,AEMD Those who sold are going to bash noww2 Breakthrough designationsI like the odd of getting cancer patients cured whemopurifierIMHO
2under,,2019-02-13 13:17:00,0.9628,AEMD well after being gone a long time Im back in for a trade
BigMoneyElmo,,2019-02-13 13:12:00,0.9686,AEMD alot of faith is placed in Frakes and Rodell The 10Q practically says if either decides to leave the company is doomed
tradingmy2cents,True,2019-02-13 13:05:00,0.98,AEMD I added at bargain because I believe Dr Rodell will be successful in the strategic transaction get full vesting on his optionIMO
severin,False,2019-02-13 12:46:00,0.9775,AEMD so After so many years we can officially label this stock POS
lecorb,,2019-02-13 12:37:00,0.9924,Midday movers seekingalphacomnews34328 SOLO PTX DBD LSCC LINK UIS RKDA SLDB CNST AVLR UFAB MDR BRS AQ AEMD DYNT GRPN QLYS
Gman71,True,2019-02-13 12:34:00,0.9626,AEMD i still have my initial invest thoughstrong buy
Gman71,,2019-02-13 12:34:00,0.9626,AEMD Ill be honest about one thing i sold my shares i bought at 95 at 104 made 6100now i bought a few more at 96lets see
BobBenson,True,2019-02-13 12:33:00,0.9684,AEMD This stock price drops really sends a HUGE sign to the BOD that WTF we need action and movement It will come
Gman71,,2019-02-13 12:32:00,0.97,AEMD This guy only appears when stock goes lowernowhere to be found when up What a pathetic loser He probable still lives home with mom
jims9999,,2019-02-13 12:29:00,0.96,AEMD Did this happen last time I dont remember Looks like the gift is more like a nightmare Right Bobby boy
mad000,True,2019-02-13 12:29:00,0.96,AEMD NVLN is bout to squeeze running hurry
BobBenson,True,2019-02-13 12:27:00,0.9699,AEMD Someone wants to unload 50000 shares at 100 Nice gift to anyone who wants to buy and hold
severin,True,2019-02-13 12:20:00,0.9909,AEMD big expected selloff Goodbye
BobBenson,True,2019-02-13 12:17:00,1.017,AEMD Most of the selling I see is that it hit a stop loss Then once that it other stop losses hit after the other until we got here Gift
BobBenson,True,2019-02-13 12:01:00,1.035,AEMD Every earnings this drops down until we get news or slow growth until news Then rinse repeat Waiting for news forward
AdmiralAckbar77Twits,True,2019-02-13 11:57:00,1.037,AEMD This happened last time too And it went back up
severin,,2019-02-13 11:57:00,1.037,AEMD atm or what
rtornatore13,,2019-02-13 11:55:00,1.02,AEMD damn
BioFreak,,2019-02-13 11:51:00,1.034,AEMD timberrrrrrrr
BobBenson,True,2019-02-13 11:50:00,1.046,AEMD holly crap I just bought some 80000 shares at around 1 What kind of fun was that
Gman71,True,2019-02-13 11:49:00,1.06,AEMD Woooow i just made 6300 buying at 95 keep going up baby
jims9999,,2019-02-13 11:39:00,0.971,AEMD Bob are you buying more shares at this level
jims9999,,2019-02-13 11:34:00,1.05,AEMD Seems like Bob doesnt have any more powder Stock will be below a 100 soon enough
BobBenson,True,2019-02-13 11:30:00,1.101,AEMD ouch Now your getting a the point I want to buy even more shares hahaha thanks for the cheap shares chump
jims9999,,2019-02-13 10:35:00,1.162,AEMD Hey Bob when are they announcing Buy OUT I think you meant Bankrupt Next RS coming right up Bag Holders are in Place
BobBenson,True,2019-02-13 10:14:00,1.16,IBIO AEMD Shorts R so loaded up on these 2 stocks that they cant get out without driving up stock price Soon many will lose their house
skitime,,2019-02-13 10:02:00,1.19,AEMD may I ask you guys to keep this fool jims9999 in your tred no one wants him in IBIO thank again for your help
BobBenson,True,2019-02-13 10:01:00,1.174,AEMD EVERY EARNINGS we drop on stock price and then climb over the following weeks after earnings News normally comes out within weeks
jims9999,,2019-02-13 09:58:00,1.174,IBIO Management will be exposed on the Next ER Announcement Sub 50 cents watch AEMD sub 100 today DD
jims9999,,2019-02-13 09:38:00,1.165,IBIO AEMD If you Ignore the short bashers you will wind up like the stock holders in AEMD Stockholder Bag Holder Good luck
taguru,,2019-02-13 09:31:00,1.172,AEMD Aethlon Medical AEMD 120 plummeted 1241 yesterday tickeroncomeventid606835
