Moneymaker1969,,2019-05-30 15:45:00,4.31,CVM this is being manipulated down just like a couple weeks ago Same pattern
Superman1962,False,2019-05-30 15:41:00,4.31,CVM I have 100000 shares If it dropped at 4 I am going to drop everything tomorrow
isaac787,,2019-05-30 15:39:00,4.319,CVM HaPanic Sell go ahead See you at 3000 Amateurs are being played
calemay,,2019-05-30 15:34:00,4.32,CVM bought a chunk here The daily is Oversold AF Selling leveling off I expect the accumulation to continue here between 4 and 5 dollars
taz369,,2019-05-30 14:51:00,4.331,CVM yikes
Tutur17,,2019-05-30 14:43:00,4.316,CVM tutes adding mnasdaqcomsymbolcvmown
Tutur17,,2019-05-30 14:43:00,4.316,CVM excellent read seekingalphacominstablog
kjkjkjkjkj,,2019-05-30 14:42:00,4.316,CVM no support here technically if we close weak Sold the July 25 puts for 03
Tutur17,,2019-05-30 14:42:00,4.316,CVM killcvmshortscomfaqs
FatNinjaRider,,2019-05-30 14:40:00,4.329,CVM Well Im afraid here come the 3s
taz369,True,2019-05-30 13:12:00,4.437,CVM why have all these trades of 1 been going through literally a hundred of them in the last few hours two nice buys on the ask at 447 2300s and 448 5000s
taz369,True,2019-05-30 12:45:00,4.45,CVM churning back north come on baby Reversal is all I want stop this downtrend
dvargsinator,True,2019-05-30 12:21:00,4.412,CVM lookin to buy more very soon
Tutur17,,2019-05-30 12:09:00,4.396,CVM cash is king Cel Sci well fundedNo need for any offering until beg 2020 killcvmshortscomcash
Junior21,False,2019-05-30 12:05:00,4.37,CVM so when is the day is goes up 10 fold Or even a single bounce day Asking for a friend
Tutur17,,2019-05-30 11:51:00,4.371,CVM and surprise surprise ergomeds share price is ytd as of today close to 40 pct up financeyahoocomquoteerg
Tutur17,,2019-05-30 11:50:00,4.37,CVM ergomedmultikines current crocontributed usd 12000000 to multikines phase 3 trial drugdevcomergomedsignif
Tutur17,,2019-05-30 11:46:00,4.38,CVM dont forget multikine showed during phase 2 trials COMPLETE regression of cancer jamanetworkcomjournalsja
Tutur17,,2019-05-30 11:44:00,4.4,CVM tutes adding Dont miss out killcvmshortscomtutes
FatNinjaRider,,2019-05-30 11:40:00,4.405,CVM Still not ready to buy for long yet may still go further red
Weedkiller420,,2019-05-30 10:45:00,4.398,CVM 19000 shares at 435 12756 at 445 some ppl are buying big
jeremyaustin,,2019-05-30 10:34:00,4.398,CVM we just need anything positive Sky is the limit on CVM
Weedkiller420,True,2019-05-30 10:33:00,4.41,CVM Boxing it in establishing the trading range Will be Interesting to see volume
Weedkiller420,True,2019-05-30 10:25:00,4.427,CVM Many people forget that SOC isnt necessarily as good outside US and most ppl cannot afford to come to US for treatment So Multikine could easily crush their goal of 10 That looks like it is happening
beatcancer,,2019-05-30 10:10:00,4.472,CVM Another note of gratitude to Sushi on his article Hardly ever post and have been in this since the beginning Sushis due diligence is a major factor in making me a believer Thank you
LIL_BIRDIE_CVM,,2019-05-30 09:50:00,4.555,CVM CHIRP CHIRP seekingalphacominstablog CHIRP CHIRP
Tutur17,,2019-05-30 09:50:00,4.555,CVM cel sci getting more attention day by day vfcsstockhousecomblogart
Tutur17,,2019-05-30 09:46:00,4.56,CVM killcvmshortscomfaqs
