UOA,True,2019-05-30 15:59:00,9.065,CZR CZR 59k June 10 Calls trade 013 Ask Buy out rumor by end of month deadline waiting
jt_h,,2019-05-30 15:39:00,9.07,CZR somone bought 5903 10 calls for june 21
BlueRain,,2019-05-30 13:31:00,9.04,CZR Find stocks that are like CZR BBDITUBGE that are slowmoving creepers with enough volume and huge bidsoffers for fast entries and exitsTrade 3 of them a day if you have the fundsBuy 10k shares and scalp for 03 cents Each penny move 1003 trades x 03 900 bucksSay taxes is 50 so you now have 450 a day450 a day x 5 days each week 5x450 225020 trading days a month 9000I know you need money to do this but you get the idea
MariaC82,,2019-05-30 13:26:00,9.045,CZR Caesars call volume above normal and directionally bullish
BearWrastler,,2019-05-30 13:22:00,9.051,MGM WYNN LVS CZR 557 layoffs coming Mainly management fox5vegascommgmresortsa
BlueRain,,2019-05-30 13:14:00,9.066,CZR Look at volume candles starting at 1251 you will notice bulls losing soldiers green candles in that battle at the resistance front line They were overrun by selling soldiers Bull soldiers had temp back up support 20 and 50 day emas starting ataround 1230 after being rejected the first time at 1224 They were forced to retreat twice
BlueRain,,2019-05-30 13:01:00,9.081,CZR Remember there will always be sellers traders selling at everyresistance So there will be dips there you must watch volume bars when this happens to determine if sellers have enough strength behind them or if bulls will overtake them and breach that resistance If sellers winuse other indicators not sr levels that are further down to see if there is some temp support on dip that price might bounce off of if these dont hold expect dip to the next real sr level If these temp moving supports hold expect another attempt at breaching that resistance Remember price spends most of its time skirmishes trading between SR levels not at SR levels Whoever wins the skirmish bulls or bears will determine which way they will march to support or resistanceWhen the winner of skirmish arrives at support or resistance thats when the real battle begins front lines to win the war at support or resistance so they can gain ground and advance GLTAShow More
BlueRain,,2019-05-30 12:35:00,9.065,CZR Maybe the 20 and 50 emas will hold her up and act as a spring board
BlueRain,,2019-05-30 12:31:00,9.044,CZR Rejected right under 909 and wvap falling not a goon sign of strength but its early
spdandpwr,,2019-05-30 12:26:00,9.055,CZR damn this got slapped down really fast from the 909 that it hit Didnt even last for a second
BlueRain,,2019-05-30 12:04:00,9.045,CZR These levels still holding true Click pic for levels stocktwitscomBlueRainmes
Elgallodeoro,,2019-05-30 11:14:00,9.04,CZR That or the market didnt like my post on the 1050 offer
unlvrebel,,2019-05-30 11:08:00,9.04,CZR Nothing on the wire BUT the drop was on EXTREMELY low volume This could be a good thing
Elgallodeoro,,2019-05-30 11:02:00,9.004,CZR Something very negative must have hit the wire thats quite a drop
spdandpwr,,2019-05-30 11:01:00,9.002,CZR Entered at 904looking for a rebound at 890 otherwise Im a seller again lol
cboeman,True,2019-05-30 10:59:00,9.015,CZR definitely found resistance its 923 Whatever
unlvrebel,,2019-05-30 10:55:00,9.05,CZR That was a quick drop
smity2222,True,2019-05-30 10:53:00,9.035,CZR wth Lol This damn stock
Elgallodeoro,,2019-05-30 10:21:00,9.175,CZR Will Carl take 1050
cboeman,True,2019-05-30 10:00:00,9.195,CZR just hit 1 yr moving resistance on low volume Lets see if it reacts properly or falls again Newz would change all this
smity2222,True,2019-05-30 09:56:00,9.205,CZR weird its quiet in here Just had several awesome articles saying they think its for sure el dorado Technically tomorrow is last day of month and I think they wanted answer by then First time today I couldnt get calls 12 over bid they are going 34 over ask to buy early
