ShuelmTradeGreen,True,2019-05-30 15:57:00,1.256,BIOC who are these huge sellers on level 2
visual,True,2019-05-30 15:57:00,1.256,BIOC Presently bid 125 ask 126
robin4dahood,True,2019-05-30 15:56:00,1.256,BIOC 2 days of accumulation
Biomatt91,True,2019-05-30 15:55:00,1.255,OBLN This is now the new OTLK BIOC
Rmarrero50,True,2019-05-30 15:54:00,1.25,BIOC resistance all day at 126 Tomorrow will be better
111iperez,,2019-05-30 15:54:00,1.25,BIOC
visual,True,2019-05-30 15:54:00,1.25,BIOC what is fomo
Inout,True,2019-05-30 15:52:00,1.25,BIOC something is cooking
shafiq1972,,2019-05-30 15:48:00,1.251,BIOC fomo
OahuTrades,True,2019-05-30 15:47:00,1.25,BIOC
shafiq1972,,2019-05-30 15:47:00,1.25,BIOC be ready for Dino
CSICAD1,,2019-05-30 15:44:00,1.24,BIOC here comes the explanation
Nothing100percent,,2019-05-30 15:25:00,1.241,BIOC Check out BLIN Nice power hour
111iperez,,2019-05-30 15:24:00,1.24,BIOC i just followed tan man for his poetry
Nothing100percent,,2019-05-30 15:22:00,1.24,BIOC WOW
GoreDonGetCo,,2019-05-30 15:22:00,1.24,BIOC Someone holding down or rocking back and forth Doesnt look like anyone is making or losing money unless they are rocking it back and forth so thats my guess Easy on low volume if you have a fat bankroll
Nothing100percent,,2019-05-30 15:21:00,1.244,BIOC Yup Big news coming
tanman1985isback,False,2019-05-30 15:17:00,1.24,BIOC you dont believe in free speech if you only believe that it applies to those you agree with If you dont support it for those that you disagree with then you dont believe it at all 1 end of the day baby
maxworld,,2019-05-30 15:12:00,1.239,BIOC BIG news is coming Buy up
Bigtimeinvestor,True,2019-05-30 15:11:00,1.239,BIOC like watching red paint dry and get another coat ever day
tanman1985isback,False,2019-05-30 15:11:00,1.239,BIOC for all of you who are concerned that my account was made yesterday please dont worry I had a previous account which was suspended because I got reported for exercising My Free Speech There are many people on the site who despise free speech I have to tell you this because I dont want you to be concerned that Im giving you false information I am the Oracle a stock twits and I care about you
bubbles56,True,2019-05-30 15:10:00,1.24,BIOC
OahuTrades,True,2019-05-30 15:09:00,1.244,BIOC Lets see a nice EOD
111iperez,,2019-05-30 15:07:00,1.243,BIOC lmao
GoreDonGetCo,,2019-05-30 14:45:00,1.23,BIOC Wake me up when something happens
tanman1985isback,False,2019-05-30 14:37:00,1.235,BIOC People like to say tanman why are you here if you hate the stock To that I reply I am here for you the people I am here to protect you from threats foreign and domestic I am here to warn you to either short this stock or sell everything now and buy back at 1 I am here because I care about you all of you even those who threaten me and tell me to kill myself
doug305,,2019-05-30 14:36:00,1.234,BIOC tanman1985 its pretty obvious you are trading only one positionWhy do you work so hard to but fear into people No need to cure cancer but a better more accurate method to detect cancer that sounds very promising Eitherway at this price people can get some and just wait 1 move and your up 100 Support is holding above 120 I think you know this will go up and since all recent news are great you have to resort to put fear on people Honestly it looks like smart money is coming in and getting these price before takeoff
Nothing100percent,,2019-05-30 14:34:00,1.23,BIOC Mostly BOTS trading Look at the barcodes Just hold like we are all doing and itll go UP
111iperez,,2019-05-30 14:32:00,1.231,BIOC
Nothing100percent,,2019-05-30 14:32:00,1.231,BIOC Monthly VWAP reset on 63 Itll flat line until then Bounced off Daily 50 EMA on 523 The Daily 50 EMA is support If your shorting the risk far outweighs the reward Down 123 to 110 or UP 123 to 2 3 5 1000 who knows
tanman1985isback,False,2019-05-30 14:31:00,1.231,BIOC sell this already Please Dont let your ego get in the way
Kanny007,True,2019-05-30 14:30:00,1.231,BIOC yo shorties dont back off Cant wait to see bears run with 4 legs
Kanny007,,2019-05-30 14:25:00,1.23,BIOC Waiting for FDAs approval Lets guess what this thing is going to do next
Propane24,,2019-05-30 14:23:00,1.239,BIOC shut up and short it future buyer
tanman1985isback,False,2019-05-30 14:21:00,1.239,BIOC Trend line officially broken We going down I repeat we are going down
tanman1985isback,False,2019-05-30 14:14:00,1.237,BIOC Let it go dawg its over The ST Oracle has spoken I shall now call the company and get them to dilute the stock I am sorry I tried to warn you guys I tried But at some point I need to make big time decisions I am sorry We are going to take this thing down to 100 Final chance
visual,True,2019-05-30 14:14:00,1.237,BIOC Absolutely correct Friend
denver2482,,2019-05-30 14:13:00,1.237,BIOC its obvious wtf dont you people understand
pinksocking,,2019-05-30 14:12:00,1.237,BIOC who are these jerks pinning this thing at 123 they just bid 4100 on each market
denver2482,,2019-05-30 14:08:00,1.232,BIOC I cant complain Im at 97 for 3000 and I cant wait shes going to pop
tanman1985isback,False,2019-05-30 14:07:00,1.232,BIOC At 230 today will this thing go hyperbolic or will it crash into hell where it belongs
visual,True,2019-05-30 14:05:00,1.248,BIOC Shorts clearly got spooked but it will happen Doesnt matter how they try to make everybody afraid
jkhanspod,,2019-05-30 14:01:00,1.25,BIOC this will not trade over 2 unless they cure cancer well we know thats not happening
tanman1985isback,False,2019-05-30 14:00:00,1.249,BIOC The macadamia nut crossed the almond line This is sure to drop If you consider the waistline protrudes past the hips that means we will see 1 easily prostockpro
tanman1985isback,False,2019-05-30 13:58:00,1.234,BIOC On all the way downI saw you And you save me from myselfAnd wont forget the way you love meAnd on the way downI almost fell right throughBut I held unto BIOC even though it hurt me1 EOD
visual,True,2019-05-30 13:58:00,1.234,BIOC It is only your opinion
kokokaka,,2019-05-30 13:57:00,1.236,BIOC with strong fundamental all TA will be overwritten TA works until no strong fundamental
