elegantcapital,True,2019-02-28 15:20:00,0.4973,LIFE just keep buying Holding 125k shares
steeplechase,True,2019-02-28 15:01:00,0.4896,Breakout watchIDXG prelim 2018 revs beatsVTL reverse merger new pipelineLIFE prelim data up 720ICON 3 new partners 45X cash
steeplechase,True,2019-02-28 14:34:00,0.4874,LIFE Marco911 niram7 Maybe we get another PR released at the bell this afternoon Or could we see another 13G filed this evening
niram7,,2019-02-28 14:15:00,0.4906,LIFE very odd someone holding the price in this range for so long cant really understands it good news and not any movement
FlyingStocks,True,2019-02-28 13:59:00,0.4906,CIFS Scanners unusual vol on close watch Watching tday FTNW NVAX SGYP LIFE RKDA TTOO ZSAN SGYP ACET SQBG YRIV YRIV TGTX
MrHankwits,True,2019-02-28 13:43:00,0.4988,LIFE stock option recently approved at 052
MrHankwits,True,2019-02-28 13:11:00,0.499,LIFE they have good pipeline Insiders load Big Tutes holding All AVG price over 2 Cash on hand 3x market cap Running soon over 1
MrHankwits,True,2019-02-28 13:08:00,0.499,LIFE 100 trust on dr schimmel He won 100x with alny
MankindCap,True,2019-02-28 12:44:00,0.4995,LIFE Frustrating yes for the short term holders Every good PR only coils the spring Nothing but great news the last 34mos
Zypher,True,2019-02-28 12:39:00,0.481,LIFE Long 49 expecting some decent news soon
Rampart1,,2019-02-28 12:14:00,0.4998,LIFE This will move up when substantial news
mssrishti,False,2019-02-28 12:09:00,0.4998,LIFE this stock will never move up because you idiots keep selling every time it goes up 2 cents
FlyingStocks,True,2019-02-28 11:58:00,0.5,SGYP holding Gap up Sold ACET but on watch Watching DPW NVAX SGYP LIFE RKDA TTOO ZSAN
Marco911,True,2019-02-28 11:50:00,0.4825,LIFE break 5017 accumulating
mssrishti,,2019-02-28 11:42:00,0.5,LIFE why is this still at 50 Its been like this for months WHO has been keeping this in such a small range and when will it stop
Joeltider,,2019-02-28 11:28:00,0.4992,LIFE down few hundred but for whatever reason Ill hold this bag another 30 days and see
steeplechase,True,2019-02-28 11:09:00,0.4984,LIFE just hit a scanner ask is thin could run with volume
FlyingStocks,True,2019-02-28 11:05:00,0.4872,SGYP Bought in for some gap play Sold ACET got too risky sorry guys Watching DPW NVAX SGYP LIFE RKDA TTOO ZSAN
SilentBJJ,,2019-02-28 10:30:00,0.4899,LIFE Im in lets go
Rampart1,,2019-02-28 10:09:00,0.4823,LIFE this is normal lately company is solid this is money in the bank for a run
Joeltider,,2019-02-28 10:02:00,0.4809,LIFE holding till next run
steeplechase,True,2019-02-28 09:47:00,0.481,LIFE Chart is looking good as well breaks 100day SMA 56 should pop with volume glta
Marco911,True,2019-02-28 09:42:00,0.5025,LIFE get in before the crowd All ima say
Azstdvl,True,2019-02-28 09:41:00,0.5015,LIFE A days worth of volume in the first 10 minutes Hopefully the news will finally get this stock going in the right direction
Lalith,,2019-02-28 09:40:00,0.4991,LIFE This is the Stupid stock always goes down after news and now 048 they should release news in middle of the market to get volume
FlyingStocks,True,2019-02-28 09:39:00,0.4818,ACET Looks like a potential breakout Also watching DPW NVAX SGYP LIFE RKDA TTOO
steeplechase,True,2019-02-28 09:37:00,0.5049,LIFE up nicely after open Great news announced after the close Will get noticed on the scanners financeyahoocomnewsatyr
