StevePaulJobs,,2019-02-07 15:46:00,165.984,SPY AAPL MSFT AMZN FB NVDA GOOG overdone Should close bullish
giananthony,,2019-02-07 15:45:00,165.984,FB pull it back and let it rip to 167 close
SDJB,,2019-02-07 15:43:00,166.143,FB SPY be smart twittercomsergdjb
Funbucket,True,2019-02-07 15:41:00,165.89,FB here we go boys
pyaare_bull_bull,True,2019-02-07 15:36:00,165.656,FB closing above 160
tekashi6ix9ine,,2019-02-07 15:33:00,165.63,NQF QQQ FB AMZN NFLX GOOGL NVDA AAPL if NQ is flagging here i could guess another leg down unless it can power higher avoiding
DollarHuAkbar,True,2019-02-07 15:31:00,165.841,Bloomberg Trader BUY PUT QQQ 166 160 Spread calling 50 DMA on AMZN drop SPY DIA QQQ FB NFLX GOOGL TSLA BABA SMH XLE XLF
AnalystRatingsNetwork,,2019-02-07 15:22:00,165.686,German ruling could impede Facebooks datacombo moves FB FB marketbeatcomarticlesger
isaacruttner,False,2019-02-07 15:21:00,165.706,FB another red day coming tomorrow buy puts now
giananthony,True,2019-02-07 15:17:00,165.876,FB lets go vix setting down lets close with a push damn it
eman74,True,2019-02-07 15:17:00,165.876,APPN is this getting bought by someone Why the breakout on a down day I can see an AMZN MSFT AAPL or FB buying it out
Funbucket,True,2019-02-07 15:16:00,165.83,FB Im not scared Im doubling my calls
LifeAssociate,,2019-02-07 15:15:00,165.846,FB Im not happy anyone lost money Im just happy I made some
TradelikeTom,,2019-02-07 15:13:00,165.74,If you have edge you focus on it improve your trading around it There are 7 figure traders who just focus on 1 nicheSPY SPX QQQ FB
androsForm,,2019-02-07 15:12:00,165.621,FB announces new messaging and group features for businesses
renorail,,2019-02-07 15:10:00,165.68,FB a one green candle day would not be good on the hourly
Mrgold07,,2019-02-07 15:09:00,165.714,FB power hour lets see if we have super man come in
EstimizeAlerts,,2019-02-07 15:08:00,165.68,Heres what 137 Estimize analysts believe FB will report for Q1 2019 EPS Reporting 0424 AMCestimizecomintrofbchart
TrendRider1,True,2019-02-07 15:08:00,165.68,SPY QQQ AAPL BABA FB AMZN Mnuchin said teams are working day and night to get deal done Trump Xi should meet once deal is done Noise
giananthony,True,2019-02-07 15:08:00,165.68,FB holding decently but make a move damn it
Yeeld,True,2019-02-07 15:07:00,165.512,FB Germany bringing down this giant You dont fk with Zuck
zaktrade,,2019-02-07 15:06:00,165.555,FB Way overdone on todays China hysteria
DollarHuAkbar,True,2019-02-07 15:05:00,165.583,Watching AMZN Algo BUY straddle 15001600 market IRRATIONAL longer than you SOLVENT SPY DIA QQQ FB NFLX GOOGL AAPL TSLA BABA
InvestorPlace,,2019-02-07 15:03:00,165.547,3 Leading Stocks to Buy on the Dip FB CRM AMD investorplacecom2019023
