zsheps,True,2019-02-07 15:41:00,0.7489,PTN
Zippy5I0,True,2019-02-07 13:18:00,0.7562,PTN
ronf,,2019-02-07 13:07:00,0.7509,PTN The sense of confidence seems to be getting much stronger here We might start the slow ride north if we havent already
mikedeatworld,True,2019-02-07 11:26:00,0.75,PTN AMAG is very confident in getting BP data to FDA and approval Expecting to in their words CRUSH IT from a commercial standpoint
BwizeTwits,,2019-02-07 11:26:00,0.75,PTN AMAG beat earnings but is getting sold off anyway
Zippy510,,2019-02-07 11:06:00,0.7497,PTN MMs just sold the last few shares utilized during manipulative move upnow back to 7068 and establish new yearly lows downtrend
mikedeatworld,True,2019-02-07 11:05:00,0.7499,PTN Dosing Initiated for blood pressure in frequent uses data will be submitted to FDA before PDUFA date in June
alexstra,,2019-02-07 11:02:00,0.7498,PTN ptn will follows amag down to hell
ronf,,2019-02-07 10:28:00,0.7496,PTN 75k buy put us in the green
ronf,,2019-02-07 10:18:00,0.75,PTN I see green Zippy Better cover while you have the chance
Zippy510,,2019-02-07 10:03:00,0.7324,PTN Look at 6 month perfect downtrend in place and confirmed yet again by this manipulative move Back to 60s and likely lower
ronf,,2019-02-07 09:37:00,0.7401,PTN AMAG Go Team webtmxmoneycomarticleph
ronf,,2019-02-07 09:34:00,0.7422,PTN AMAG reports financial results Up 090 pre market Goal this year for PTNs VYLEESI Submit resullts by June 23 and launch 2H2019
