MarginMarvin,False,2019-02-07 15:59:00,1.686,TTNP any minute form D filed
yai,True,2019-02-07 15:51:00,1.686,TTNP can i please get 175 mm
spmusik,True,2019-02-07 15:47:00,1.682,TTNP glad I picked up 300 more 166
yai,,2019-02-07 15:44:00,1.68,TTNP you bears be gone vamos
StockIt21,True,2019-02-07 15:42:00,1.699,TTNPAH POP TREND CONTINUES
BullsWillRide,False,2019-02-07 15:39:00,1.7,TTNP Titan is a money scam Get with it
wackbag9,True,2019-02-07 15:38:00,1.698,TTNP
Torobravo_1,,2019-02-07 15:36:00,1.68,TTNP
JCarv5,,2019-02-07 15:32:00,1.682,TTNP GTFOH and put your money where its going to actually grow I put mine in HEXO
JCarv5,,2019-02-07 15:31:00,1.68,The problem is TTNP requires opioid addicts to want to stop using I can tell you from experience its the last thing they want
jnasral,,2019-02-07 15:28:00,1.67,TTNP Im really glad I crawled out of this garbage fire Tuesday morning at 182 it will take a month to see that again
yai,True,2019-02-07 15:17:00,1.66,TTNP eod 175
Bull_man,True,2019-02-07 15:09:00,1.661,TTNP
Bull_man,True,2019-02-07 15:09:00,1.66,TTNP
Bull_man,True,2019-02-07 15:08:00,1.661,TTNP Remember that Titan likes to drop news on Thursdays in AH
Bull_man,True,2019-02-07 15:08:00,1.66,TTNP Remember that Titan likes to drop news on Thursdays in AH
Lee_Iacocca,True,2019-02-07 14:50:00,1.669,TTNP were almost there guys shes a beaut
Torobravo_1,,2019-02-07 14:50:00,1.669,TTNP Hold big sales interest to buy going up
Quest876,,2019-02-07 14:44:00,1.66,TTNP trading 28 cents presplit pps3 bucks is only 50 cents presplit Great news i break even at 56 bucks ppsdoable possibly LOL SURE
Lee_Iacocca,True,2019-02-07 14:39:00,1.69,TTNP i made 5K by selling my car not that it helps any of YOU out i just wanted to brag for no reason
ChartMill,,2019-02-07 14:39:00,1.69,TTNP The EPS growth is accelerating in the next 2 years the growth will be better than in the last years chartmillcomanalyzephpu
Lee_Iacocca,True,2019-02-07 14:39:00,1.677,TTNP i made 5K by selling my car not that it helps any of YOU out i just wanted to brag for no reason
ChartMill,,2019-02-07 14:39:00,1.677,TTNP The EPS growth is accelerating in the next 2 years the growth will be better than in the last years chartmillcomanalyzephpu
Torobravo_1,,2019-02-07 14:38:00,1.69,TTNP I see close green
Torobravo_1,,2019-02-07 14:38:00,1.677,TTNP I see close green
milhouser69,True,2019-02-07 14:35:00,1.69,TTNP people still in here Moved over to SNAP GRUB on the dip for MASSIVE profit
milhouser69,True,2019-02-07 14:35:00,1.683,TTNP people still in here Moved over to SNAP GRUB on the dip for MASSIVE profit
TT17,True,2019-02-07 14:33:00,1.69,TTNP we need some news
TT17,True,2019-02-07 14:33:00,1.66,TTNP we need some news
Bull_BuyTheHorns,True,2019-02-07 14:23:00,1.675,TTNP Lmao at the bashers who come out on red days Ill screenshot your posts for the next time we pop Sell me your shares
yodapr,True,2019-02-07 14:20:00,1.671,TTNP
yai,True,2019-02-07 14:14:00,1.67,TTNP Wurdmeister i know you didnt forgot about us we still holding this down so come on hop on the board
Lee_Iacocca,,2019-02-07 14:02:00,1.669,MNGA increased my position in TTNP and RGSE may god have mercy on those continuing to hold here GLTA invested
StockNoobiee,True,2019-02-07 14:01:00,1.66,TTNP AH News
erice579,,2019-02-07 13:59:00,1.669,MNGA Im spread across RGSE TTNP CPST and heavy CGIX
Lee_Iacocca,True,2019-02-07 13:59:00,1.669,TTNP pulled most of my shares out of the dumpster fire formerly known as mengagas putting it here where i know its safe
skillzz,True,2019-02-07 13:58:00,1.669,TTNP zero worries market reaction to trade talks just hitting everything
Bull_man,True,2019-02-07 13:54:00,1.664,TTNP Patients bullsthis will soar on any good news
JaredBenny05,,2019-02-07 13:51:00,1.67,TTNP are we going back to the normal 5 down
JCarv5,,2019-02-07 13:48:00,1.662,TTNP This stock is hopeless Happy i only threw 400 into it before the RS Check out HEXO went deep there for 1250 shares
ZackAttack100K,,2019-02-07 13:47:00,1.67,TTNP lol 15 to 18 a share huh im dead
erice579,True,2019-02-07 13:46:00,1.661,MNGA Afternoon watchlist TENX CPST APND CRON CGIX RGSE TTNP good luck rough couple days
FrostyyTrader,,2019-02-07 13:36:00,1.664,TTNP The CEO has many many shares MM forsure Kinda sad this business model has so much potential
larryskadsem,True,2019-02-07 13:22:00,1.68,TTNP Best speculation has itgovernment negotiating over lower drug pricing looks like another shutdown looming GL
spmusik,True,2019-02-07 13:20:00,1.67,TTNP buying back someones shares right now thx
yodapr,True,2019-02-07 13:16:00,1.69,TTNP I WANT SELL ZKIN TAKE SOME PROFIT AND ADD MORE HERE
DwimpleBean,True,2019-02-07 13:12:00,1.673,TTNP Anxious to see what this does tomorrow given 10 day compliance goal Could go with wayor just the same Earnings is real prize
We__will__see,True,2019-02-07 12:30:00,1.68,TTNP 168 6 28 cents before rs not much wen need higher sp 6 Dollar WE NEED 6 DOLLAR
Bull_man,True,2019-02-07 12:27:00,1.689,TTNP still red
TheTOY,,2019-02-07 12:14:00,1.67,TTNP RGSE CRMD NBEV APHA RWLK TENX TRXC TRVN EDGE TNXP PTIE PYX Beware RH locked everyone out of MNGA They cant sell or buy
yodapr,,2019-02-07 12:07:00,1.689,Wall Street extends slide on report TrumpXi meeting unlikely before deadline reuterscomarticleususaCCCL CNET CREG TTNP CRMD EARS OGEN FLKS ZKIN
CEOBuys,,2019-02-07 12:00:00,1.687,Over the last years TTNPs CEO bought shares 3 times Check out ceobuyscom to learn more
yodapr,True,2019-02-07 11:46:00,1.68,TTNP LII E TRADE
yodapr,True,2019-02-07 11:45:00,1.68,TTNP LII
Quest876,,2019-02-07 11:37:00,1.68,TTNP ARE WE NOT IN COMPLIANCE NOWWEDNESDAY WAS THE 10TH DAY WE STAYED ABOVE A DOLLAR
yodapr,,2019-02-07 11:35:00,1.692,TTNP MARKET IS FUCK
Bull_man,True,2019-02-07 11:31:00,1.697,TTNP Green close
Bull_man,True,2019-02-07 11:31:00,1.68,TTNP Green close
GrafVonTodleben,True,2019-02-07 11:30:00,1.697,TTNP Anyone with lvl2
GrafVonTodleben,True,2019-02-07 11:30:00,1.68,TTNP Anyone with lvl2
Torobravo_1,,2019-02-07 11:26:00,1.697,TTNP with the sleeping bulls ttnp does not go down Imagine if the bulls wake up a little
Torobravo_1,,2019-02-07 11:26:00,1.68,TTNP with the sleeping bulls ttnp does not go down Imagine if the bulls wake up a little
yodapr,,2019-02-07 11:25:00,1.697,TTNP WTF
yodapr,,2019-02-07 11:25:00,1.7,TTNP WTF
dr3525,,2019-02-07 11:23:00,1.697,TTNP so many temper tantrums over movement here when the positive PR is in IT WILL BE REPORTED Its holding well and doing stock things
yodapr,True,2019-02-07 11:23:00,1.697,MARKET DOWN BUT TTNP IS STRONG
dr3525,,2019-02-07 11:23:00,1.683,TTNP so many temper tantrums over movement here when the positive PR is in IT WILL BE REPORTED Its holding well and doing stock things
yodapr,True,2019-02-07 11:23:00,1.683,MARKET DOWN BUT TTNP IS STRONG
larryskadsem,True,2019-02-07 11:20:00,1.697,TTNP okay okay okay Im sorry already ha
larryskadsem,True,2019-02-07 11:20:00,1.68,TTNP okay okay okay Im sorry already ha
Lee_Iacocca,True,2019-02-07 11:19:00,1.697,TTNP crazy how just a month ago i was so pissed but this has become my only LT reliable stock
Lee_Iacocca,True,2019-02-07 11:19:00,1.7,TTNP crazy how just a month ago i was so pissed but this has become my only LT reliable stock
Bull_man,True,2019-02-07 11:17:00,1.697,TTNP Its all air to 174
Bull_man,True,2019-02-07 11:17:00,1.68,TTNP Its all air to 174
larryskadsem,True,2019-02-07 11:16:00,1.697,TTNP Holding dry powder JIC
larryskadsem,True,2019-02-07 11:13:00,1.671,TTNP those who held pre RS arent so affected because the losses divided by 6 shares instead of one not bad at all once considered GL
Lee_Iacocca,True,2019-02-07 11:12:00,1.67,TTNP as long as we meet compliance ill be happy might stutter here and there but not too concerned with a few cents right now
FrostyyTrader,,2019-02-07 11:06:00,1.69,TTNP This is starting to get a little on my nerves the movement today is so choppy and inconsistent REALLY looking to hear some news soon
DarthTrader318,,2019-02-07 10:55:00,1.688,TTNP no news untill after compliance around the 12th witch is not really news and after chmp meeting around 28thon ema
Torobravo_1,,2019-02-07 10:50:00,1.687,TTNP short Between 165 you want to buy and 170 there is no difference Do not expect to lose money waiting
Torobravo_1,,2019-02-07 10:48:00,1.689,TTNP When something does not fall more like the ttnp case you have to wait for a strong rise because the fundamentals are so strong
blazinBull,True,2019-02-07 10:40:00,1.684,TTNP Im thinking 175 close PM news with breakout to 2 This ticker likes to make its moves pre and post
LizardkingNY,True,2019-02-07 10:39:00,1.68,TTNP You guys do realize this company is in CALIFORNIA RIGHT is only 738AM CALM THE FK DOWN News is AH OR Late afternoon
Just_A_Trader,,2019-02-07 10:31:00,1.673,TTNP Should we start bullmans daily close prediction Wed be starting so early maybe hell double his reward I guess 174
Just_A_Trader,,2019-02-07 10:26:00,1.67,TTNP Oooh could run a bit today Bids going up asks are thin and were right at the pumping hour
ZackAttack100K,,2019-02-07 10:25:00,1.677,TTNP lol everyone quiet now tho
ZackAttack100K,,2019-02-07 10:22:00,1.675,TTNP Where is this big jump or big run everyone keeps posting about T his literally went up n down 3 cents with barely any volume
yodapr,True,2019-02-07 10:22:00,1.675,ZKIN CCCL TTNP CRMD EARS SAEX OGEN FLKS MARKET IS RED BLOOD TIME TO BUY IS
jonnycrunch,True,2019-02-07 10:16:00,1.674,TTNP sold this am gained all my losses back playing SLDB bounce may re enter this now at current price level thats using your noggin LOL
jonnyk203,,2019-02-07 10:14:00,1.678,TTNP what a joke
Torobravo_1,,2019-02-07 10:13:00,1.683,TTNP hold your sahersall is very good here
Torobravo_1,,2019-02-07 10:12:00,1.672,TTNP 165 area is the pivot for run up
youphoria91,,2019-02-07 10:11:00,1.685,TTNP short it as much as possible and if they ever release news than hold for the up and sell at peak because it will come back down
youphoria91,,2019-02-07 10:10:00,1.69,TTNP extremely bad administration never put out news ever and when they do its wishy washy bullshit super easy to short this stock still
erice579,True,2019-02-07 10:05:00,1.69,MNGA CPST earnings at close today CGIX received a BUY Rating RGSE cautious Hold await Earnings TTNP found ground and steady
larryskadsem,True,2019-02-07 09:58:00,1.709,TTNP Soon as the shackles are off this will have some Whipsaw actionHold on to something its gonna get crazy GLTA
Thomasgs,,2019-02-07 09:57:00,1.692,TTNP lets get cocky here We dont need news or volume Were going up anywayNBRVCZRMITKSPYQQQ
